"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Muy buena",0.11,0.117,0.104,0.153,0.097,0.113,0.093,0.118,0.121,0.091,0.192,0.054,0.1,0.163,0.139,0.031,0.02,0.169,0.105,0.079,0.091,0.129
"Buena",0.233,0.252,0.215,0.173,0.234,0.265,0.245,0.247,0.236,0.218,0.348,0.175,0.133,0.293,0.336,0.132,0.085,0.221,0.224,0.214,0.231,0.249
"Regular",0.347,0.335,0.358,0.311,0.341,0.334,0.408,0.296,0.34,0.399,0.289,0.389,0.287,0.318,0.307,0.417,0.43,0.142,0.331,0.37,0.426,0.339
"Mala",0.186,0.162,0.209,0.207,0.182,0.191,0.17,0.19,0.184,0.185,0.114,0.226,0.318,0.148,0.145,0.239,0.278,0.143,0.195,0.195,0.177,0.177
"Muy mala",0.124,0.134,0.114,0.156,0.146,0.097,0.084,0.149,0.119,0.107,0.057,0.156,0.162,0.078,0.073,0.181,0.187,0.325,0.145,0.142,0.075,0.106
