"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.364,0.347,0.38,0.337,0.378,0.392,0.322,0.392,0.337,0.369,0.677,0.171,0.208,0.697,0.601,0.03,0.123,0.087,0.338,0.347,0.326,0.398
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.275,0.261,0.288,0.192,0.207,0.326,0.439,0.268,0.256,0.303,0.102,0.448,0.265,0.143,0.147,0.844,0.545,0.094,0.317,0.239,0.297,0.252
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.238,0.284,0.193,0.32,0.281,0.181,0.135,0.21,0.265,0.232,0.14,0.302,0.245,0.126,0.159,0.104,0.148,0.771,0.216,0.287,0.229,0.236
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.027,0.027,0.028,0.031,0.029,0.023,0.026,0.017,0.029,0.036,0.022,0.013,0.12,0.006,0.026,0.009,0.103,0.004,0.032,0.014,0.024,0.029
"Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.023,0.023,0.023,0.028,0.025,0.021,0.016,0.024,0.027,0.017,0.015,0.019,0.019,0.012,0.031,0.004,0.021,0.019,0.027,0.012,0.035,0.023
"En blanco",0.035,0.031,0.039,0.043,0.04,0.028,0.027,0.055,0.033,0.019,0.022,0.025,0.059,0.007,0.023,0.003,0.015,0.015,0.036,0.05,0.034,0.028
"No sabe",0.038,0.027,0.049,0.049,0.04,0.029,0.035,0.034,0.053,0.024,0.022,0.022,0.084,0.009,0.013,0.006,0.045,0.01,0.034,0.051,0.055,0.034
