"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.36,0.349,0.37,0.334,0.383,0.377,0.315,0.387,0.332,0.367,0.691,0.155,0.205,0.697,0.6,0.03,0.123,0.087,0.338,0.346,0.326,0.388
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.298,0.28,0.315,0.208,0.22,0.367,0.465,0.285,0.282,0.329,0.104,0.491,0.303,0.143,0.147,0.844,0.545,0.094,0.316,0.239,0.296,0.307
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.221,0.267,0.177,0.316,0.263,0.155,0.119,0.194,0.25,0.213,0.13,0.277,0.2,0.126,0.16,0.104,0.148,0.772,0.216,0.288,0.23,0.195
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro País",0.02,0.02,0.021,0.02,0.022,0.017,0.023,0.017,0.021,0.023,0.012,0.012,0.119,0.006,0.026,0.009,0.103,0.003,0.032,0.014,0.024,0.013
"Myriam Bregman a presidente y Nicolás del Caño a vicepresidente por el Frente de Izquierda",0.025,0.025,0.025,0.03,0.03,0.023,0.013,0.028,0.026,0.021,0.016,0.019,0.024,0.012,0.031,0.004,0.021,0.019,0.027,0.012,0.035,0.028
"En blanco",0.036,0.032,0.04,0.044,0.041,0.029,0.028,0.056,0.034,0.02,0.026,0.024,0.059,0.007,0.023,0.003,0.015,0.015,0.037,0.05,0.034,0.031
"No sabe",0.04,0.027,0.052,0.048,0.041,0.032,0.037,0.033,0.055,0.027,0.021,0.022,0.09,0.009,0.013,0.006,0.045,0.01,0.034,0.051,0.055,0.038
