"var","categoria","Gran excedente habitual","Gran excedente excepcional","Pequeño excedente habitual","Pequeño excedente excepcional","Alcanza gastos familia","No alcanza gastos familia","Solo NBFamiliares","No alcanza NBFamiliares","No sabe"
"P06","Mucho",0.535,0.487,0.532,0.465,0.412,0.275,0.391,0.346,0.484
"P06","Bastante",0.189,0.214,0.302,0.281,0.255,0.261,0.324,0.262,0.249
"P06","Poco",0.201,0.223,0.149,0.225,0.275,0.374,0.244,0.301,0.071
"P06","Nada",0.066,0.076,0.012,0.028,0.046,0.065,0.033,0.074,0.136
"P06","No sabe",0.009,0,0.005,0.001,0.012,0.025,0.008,0.017,0.06
"P07","Siempre",0.33,0.321,0.21,0.219,0.194,0.202,0.24,0.281,0.266
"P07","Casi siempre",0.296,0.344,0.453,0.426,0.358,0.32,0.422,0.33,0.33
"P07","Casi nunca",0.301,0.268,0.27,0.264,0.324,0.364,0.268,0.264,0.278
"P07","Nunca, pero esta es una excepción",0.073,0.067,0.067,0.091,0.124,0.114,0.07,0.125,0.126
"P10","Tiene Decidido que va a ir a votar",0.942,0.917,0.968,0.942,0.92,0.727,0.807,0.877,0.907
"P10","Tiene dudas sobre si va a ir a  votar",0.032,0.035,0.022,0.048,0.051,0.097,0.178,0.082,0.021
"P10","Tiene Decidido que no va a ir a votar",0.026,0.048,0.01,0.01,0.029,0.176,0.015,0.041,0.072
"P13","Unión por la Patria",0.512,0.455,0.5,0.426,0.315,0.232,0.32,0.271,0.268
"P13","Juntos por el Cambio ",0.152,0.203,0.249,0.239,0.28,0.243,0.27,0.248,0.272
"P13","Liberales",0.169,0.226,0.163,0.152,0.23,0.19,0.225,0.205,0.179
"P13","Izquierda",0.039,0.028,0.026,0.028,0.039,0.02,0.039,0.037,0
"P13","Hacemos por Nuestro país",0.068,0.066,0.03,0.083,0.045,0.093,0.053,0.11,0.106
"P13","No sabe",0.06,0.022,0.032,0.072,0.091,0.222,0.093,0.129,0.175
"P14","Sergio Massa a Presidente y Agustín Rossi a Vicepresidente por Unión por la Patria. ",0.564,0.512,0.501,0.433,0.35,0.353,0.336,0.309,0.314
