"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Muy positivo",0.355,0.386,0.324,0.359,0.38,0.372,0.281,0.398,0.335,0.339,0.499,0.253,0.215,0.547,0.422,0.131,0.178,0.305,0.341,0.287,0.38,0.389
"Positivo",0.23,0.225,0.235,0.255,0.208,0.224,0.261,0.245,0.215,0.232,0.262,0.202,0.303,0.174,0.298,0.157,0.17,0.352,0.221,0.241,0.215,0.235
"Neutral",0.179,0.171,0.187,0.188,0.188,0.161,0.177,0.169,0.202,0.164,0.12,0.225,0.142,0.108,0.191,0.193,0.212,0.216,0.191,0.181,0.166,0.171
"Algo negativo",0.085,0.081,0.089,0.084,0.075,0.088,0.1,0.058,0.082,0.111,0.043,0.115,0.081,0.055,0.041,0.171,0.204,0.07,0.08,0.111,0.079,0.079
"Negativo",0.106,0.106,0.106,0.073,0.102,0.104,0.145,0.071,0.113,0.13,0.039,0.169,0.161,0.093,0.02,0.295,0.204,0.057,0.116,0.124,0.091,0.093
"No sabe",0.045,0.031,0.059,0.041,0.047,0.051,0.036,0.059,0.053,0.024,0.037,0.036,0.098,0.023,0.028,0.053,0.032,0,0.051,0.056,0.069,0.033
