"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei","Centro","Norte","Sur","Buenos Aires"
"Muy positiva",0.233,0.249,0.218,0.275,0.246,0.224,0.182,0.265,0.223,0.215,0.371,0.153,0.078,0.392,0.254,0.098,0.1,0.254,0.231,0.18,0.206,0.26
"Positiva",0.206,0.217,0.194,0.231,0.192,0.218,0.192,0.21,0.186,0.223,0.274,0.157,0.255,0.267,0.411,0.128,0.114,0.114,0.201,0.217,0.131,0.214
"Neutral",0.259,0.239,0.279,0.27,0.269,0.246,0.247,0.24,0.276,0.258,0.185,0.298,0.286,0.128,0.243,0.299,0.406,0.36,0.259,0.256,0.295,0.256
"Algo negativa",0.107,0.114,0.101,0.075,0.109,0.102,0.138,0.105,0.116,0.1,0.054,0.151,0.146,0.115,0.049,0.206,0.199,0.078,0.119,0.12,0.109,0.092
"Negativa",0.105,0.115,0.095,0.069,0.099,0.119,0.13,0.101,0.09,0.124,0.037,0.163,0.085,0.074,0.012,0.196,0.108,0.166,0.099,0.128,0.135,0.096
"No sabe",0.09,0.066,0.113,0.08,0.085,0.091,0.111,0.079,0.109,0.08,0.079,0.078,0.15,0.024,0.031,0.073,0.073,0.028,0.091,0.099,0.124,0.082
