"var","categoria","Union por la Patria","Cambiemos","Liberales","Izquierda"
"P26","Totalmente seguro",0.678,0.71,0.685,0.661
"P26","Bastante seguro",0.14,0.17,0.127,0.14
"P26","Algo seguro",0.104,0.085,0.138,0.052
"P26","Para nada seguro",0.078,0.035,0.05,0.147
"P27","Tiene Decidido que va a ir a votar",0.921,0.921,0.872,0.876
"P27","Tiene dudas sobre si va a ir a  votar",0.057,0.06,0.101,0.082
"P27","Tiene Decidido que no va a ir a votar",0.022,0.019,0.027,0.042
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.763,0.131,0.225,0.332
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.102,0.794,0.249,0.245
"P28","En blanco",0.042,0.033,0.361,0.253
"P28","No sabe",0.093,0.042,0.165,0.17
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.357,0.736,0.19,0.216
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.095,0.193,0.632,0.244
"P29","En blanco",0.339,0.032,0.105,0.47
"P29","No sabe",0.209,0.039,0.073,0.07
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.812,0.16,0.145,0.484
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.074,0.325,0.638,0.233
"P30","En blanco",0.079,0.332,0.153,0.226
"P30","No sabe",0.035,0.183,0.064,0.057
"P38","Inflación",0.386,0.366,0.377,0.171
"P38","Desempleo",0.113,0.062,0.078,0.04
"P38","Corrupción",0.123,0.376,0.375,0.364
"P38","Inseguridad",0.126,0.102,0.087,0.174
"P38","Precio del dólar",0.022,0.01,0,0
"P38","Pobreza",0.1,0.032,0.054,0.171
"P38","Narcotráfico",0.002,0.004,0.009,0
"P38","Tarifas",0.005,0.004,0,0
"P38","Otro",0.104,0.033,0.02,0.08
"P38","No sabe",0.019,0.011,0,0
