"var","categoria","Union por la Patria","Cambiemos","Liberales","Izquierda","No sabe"
"P10","Unión por la Patria",0.682,0.053,0.093,0.217,0.092
"P10","Juntos por el Cambio",0.122,0.755,0.149,0.069,0.217
"P10","De los liberales libertarios",0.098,0.127,0.665,0.155,0.153
"P10","De la Izquierda",0.052,0.012,0.046,0.391,0.056
"P10","Hacemos por nuestro país",0.018,0.03,0.012,0.055,0.053
"P10","Otro",0.004,0.016,0.019,0.072,0.081
"P10","En blanco",0.012,0,0,0.02,0.067
"P10","No sabe",0.012,0.007,0.016,0.021,0.281
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.677,0.099,0.13,0.178,0.15
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.137,0.723,0.159,0.007,0.102
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.106,0.129,0.67,0.13,0.229
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.04,0.003,0,0.581,0.05
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.015,0.031,0.031,0.061,0.162
"P13","En blanco",0.013,0.005,0.01,0.026,0.095
"P13","No sabe",0.012,0.01,0,0.017,0.212
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.694,0.069,0.174,0.082,0.163
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.138,0.805,0.161,0.046,0.066
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.115,0.071,0.599,0.049,0.042
"P17","La candidata a Jefe de Gobierno de la izquierda",0.009,0.011,0.001,0.616,0.027
"P17","En blanco",0.019,0.023,0.028,0.073,0.383
"P17","No sabe",0.025,0.021,0.037,0.134,0.319
"P26","Totalmente seguro",0.715,0.725,0.747,0.711,0.322
"P26","Bastante seguro",0.134,0.172,0.128,0.134,0.156
"P26","Algo seguro",0.101,0.077,0.111,0.056,0.216
"P26","Para nada seguro",0.05,0.026,0.014,0.099,0.306
"P27","Tiene Decidido que va a ir a votar",0.939,0.93,0.891,0.895,0.738
"P27","Tiene dudas sobre si va a ir a  votar",0.04,0.057,0.104,0.061,0.162
"P27","Tiene Decidido que no va a ir a votar",0.021,0.013,0.005,0.044,0.1
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.8,0.127,0.22,0.356,0.244
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.095,0.817,0.266,0.253,0.232
"P28","En blanco",0.044,0.024,0.369,0.222,0.192
"P28","No sabe",0.061,0.032,0.145,0.169,0.332
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.369,0.759,0.203,0.216,0.219
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.09,0.19,0.666,0.256,0.263
"P29","En blanco",0.349,0.022,0.094,0.47,0.205
"P29","No sabe",0.192,0.029,0.037,0.058,0.313
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.845,0.161,0.146,0.485,0.221
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.064,0.324,0.655,0.246,0.344
"P30","En blanco",0.069,0.339,0.165,0.238,0.162
"P30","No sabe",0.022,0.176,0.034,0.031,0.273
"P38","Inflación",0.391,0.371,0.372,0.178,0.33
"P38","Desempleo",0.114,0.048,0.087,0.016,0.165
"P38","Corrupción",0.126,0.381,0.383,0.364,0.223
"P38","Inseguridad",0.135,0.104,0.098,0.181,0.029
"P38","Precio del dólar",0.019,0.01,0,0,0.02
"P38","Pobreza",0.096,0.034,0.032,0.178,0.118
"P38","Narcotráfico",0.002,0.005,0.005,0,0.011
"P38","Tarifas",0.005,0.004,0,0,0
"P38","Otro",0.092,0.033,0.023,0.083,0.093
"P38","No sabe",0.02,0.01,0,0,0.011
