"var","categoria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza","En blanco","No sabe"
"P10","Unión por la Patria",0.186,0.086,0.621,0.534
"P10","Juntos por el Cambio",0.695,0.184,0.114,0.088
"P10","De los liberales libertarios",0.067,0.591,0.056,0.055
"P10","De la Izquierda",0.01,0.025,0.112,0.082
"P10","Hacemos por nuestro país",0.017,0.053,0.011,0.024
"P10","Otro",0.014,0.032,0.023,0.074
"P10","En blanco",0.002,0.003,0.035,0.027
"P10","No sabe",0.009,0.026,0.028,0.116
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.198,0.088,0.652,0.634
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.69,0.18,0.075,0.04
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.051,0.656,0.041,0.04
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.013,0.035,0.112,0.057
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.034,0.022,0.049,0.071
"P13","En blanco",0.007,0.009,0.046,0.039
"P13","No sabe",0.007,0.01,0.025,0.119
"P16","Union por la Patria",0.213,0.105,0.636,0.559
"P16","Cambiemos",0.674,0.344,0.063,0.128
"P16","Liberales",0.065,0.433,0.094,0.06
"P16","Izquierda",0.016,0.04,0.112,0.022
"P16","No sabe",0.032,0.078,0.095,0.231
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.185,0.13,0.61,0.546
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.672,0.29,0.082,0.136
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.073,0.436,0.086,0.071
"P17","La candidata a Jefe de Gobierno de la izquierda",0.02,0.026,0.093,0.053
"P17","En blanco",0.027,0.067,0.07,0.091
"P17","No sabe",0.023,0.051,0.059,0.103
"P26","Totalmente seguro",0.702,0.717,0.725,0.652
"P26","Bastante seguro",0.165,0.153,0.096,0.111
"P26","Algo seguro",0.1,0.084,0.116,0.12
"P26","Para nada seguro",0.033,0.046,0.063,0.117
"P27","Tiene Decidido que va a ir a votar",0.957,0.899,0.879,0.84
"P27","Tiene dudas sobre si va a ir a  votar",0.032,0.088,0.069,0.126
"P27","Tiene Decidido que no va a ir a votar",0.011,0.013,0.052,0.034
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.297,0.121,0.734,0.67
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.664,0.467,0.05,0.048
"P28","En blanco",0.015,0.276,0.171,0.044
"P28","No sabe",0.024,0.136,0.045,0.238
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.369,0.071,0.67,0.628
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.201,0.761,0.064,0.06
"P30","En blanco",0.288,0.105,0.25,0.067
"P30","No sabe",0.142,0.063,0.016,0.245
"P38","Inflación",0.344,0.37,0.399,0.417
"P38","Desempleo",0.067,0.073,0.074,0.166
"P38","Corrupción",0.351,0.375,0.123,0.11
"P38","Inseguridad",0.107,0.12,0.125,0.074
"P38","Precio del dólar",0.011,0,0.019,0.033
"P38","Pobreza",0.054,0.021,0.117,0.116
"P38","Narcotráfico",0.005,0.002,0,0.01
"P38","Tarifas",0.003,0,0.01,0.005
"P38","Otro",0.046,0.036,0.111,0.056
"P38","No sabe",0.012,0.003,0.022,0.013
"P10_imputada","Unión por la Patria",0.186,0.089,0.628,0.541
"P10_imputada","Juntos por el Cambio",0.697,0.187,0.12,0.185
"P10_imputada","De los liberales libertarios",0.07,0.6,0.066,0.059
"P10_imputada","De la Izquierda",0.01,0.025,0.117,0.088
"P10_imputada","Hacemos por nuestro país",0.021,0.064,0.011,0.023
"P10_imputada","Otro",0.015,0.032,0.022,0.074
"P10_imputada","En blanco",0.001,0.003,0.036,0.03
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.198,0.088,0.671,0.651
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.694,0.19,0.075,0.06
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.054,0.656,0.047,0.084
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.013,0.035,0.112,0.057
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.034,0.022,0.049,0.101
"P13_imputada","En blanco",0.007,0.009,0.046,0.047
"P16_imputada","Union por la Patria",0.222,0.121,0.666,0.655
"P16_imputada","Cambiemos",0.692,0.37,0.096,0.183
"P16_imputada","Liberales",0.069,0.47,0.121,0.134
"P16_imputada","Izquierda",0.017,0.039,0.117,0.028
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.19,0.139,0.644,0.594
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.682,0.302,0.096,0.15
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.074,0.451,0.086,0.097
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.023,0.038,0.102,0.052
"P17_imputada","En blanco",0.031,0.07,0.072,0.107
