"var","categoria","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio","En blanco","No sabe"
"P10","Unión por la Patria",0.633,0.047,0.037,0.074
"P10","Juntos por el Cambio",0.161,0.744,0.088,0.106
"P10","De los liberales libertarios",0.093,0.154,0.585,0.397
"P10","De la Izquierda",0.046,0.013,0.134,0.103
"P10","Hacemos por nuestro país",0.021,0.019,0.019,0.097
"P10","Otro",0.02,0.01,0.047,0.094
"P10","En blanco",0.001,0.003,0.043,0.032
"P10","No sabe",0.025,0.01,0.047,0.097
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.695,0.05,0.029,0.08
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.139,0.742,0.043,0.098
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.072,0.158,0.687,0.406
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.041,0.007,0.065,0.178
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.022,0.033,0.093,0.047
"P13","En blanco",0.009,0.002,0.083,0.034
"P13","No sabe",0.022,0.008,0,0.157
"P16","Union por la Patria",0.646,0.059,0.116,0.199
"P16","Cambiemos",0.16,0.787,0.101,0.166
"P16","Liberales",0.105,0.096,0.574,0.28
"P16","Izquierda",0.038,0.021,0.078,0.074
"P16","No sabe",0.051,0.037,0.131,0.281
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.587,0.073,0.137,0.238
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.165,0.746,0.125,0.177
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.116,0.111,0.46,0.326
"P17","La candidata a Jefe de Gobierno de la izquierda",0.045,0.016,0.067,0.067
"P17","En blanco",0.032,0.034,0.139,0.09
"P17","No sabe",0.055,0.02,0.072,0.102
"P26","Totalmente seguro",0.69,0.721,0.766,0.512
"P26","Bastante seguro",0.134,0.167,0.091,0.169
"P26","Algo seguro",0.124,0.079,0.076,0.159
"P26","Para nada seguro",0.052,0.033,0.067,0.16
"P27","Tiene Decidido que va a ir a votar",0.957,0.912,0.837,0.831
"P27","Tiene dudas sobre si va a ir a  votar",0.034,0.067,0.105,0.157
"P27","Tiene Decidido que no va a ir a votar",0.009,0.021,0.058,0.012
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.413,0.718,0.071,0.156
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.085,0.255,0.641,0.452
"P29","En blanco",0.324,0.017,0.249,0.093
"P29","No sabe",0.178,0.01,0.039,0.299
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.815,0.129,0.044,0.137
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.065,0.36,0.704,0.55
"P30","En blanco",0.072,0.342,0.234,0.113
"P30","No sabe",0.048,0.169,0.018,0.2
"P38","Inflación",0.392,0.362,0.307,0.343
"P38","Desempleo",0.137,0.033,0.049,0.122
"P38","Corrupción",0.116,0.394,0.461,0.354
"P38","Inseguridad",0.12,0.117,0.079,0.066
"P38","Precio del dólar",0.026,0.004,0.004,0
"P38","Pobreza",0.115,0.036,0.011,0.035
"P38","Narcotráfico",0.001,0.008,0,0
"P38","Tarifas",0.006,0.003,0,0.003
"P38","Otro",0.068,0.035,0.089,0.068
"P38","No sabe",0.019,0.008,0,0.009
"P10_imputada","Unión por la Patria",0.637,0.049,0.037,0.081
"P10_imputada","Juntos por el Cambio",0.171,0.747,0.088,0.184
"P10_imputada","De los liberales libertarios",0.102,0.157,0.585,0.409
"P10_imputada","De la Izquierda",0.046,0.015,0.134,0.103
"P10_imputada","Hacemos por nuestro país",0.021,0.019,0.064,0.097
"P10_imputada","Otro",0.021,0.01,0.047,0.094
"P10_imputada","En blanco",0.002,0.003,0.045,0.032
"P13_imputada","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.699,0.05,0.029,0.157
"P13_imputada","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.145,0.747,0.043,0.12
"P13_imputada","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.076,0.161,0.687,0.449
"P13_imputada","Los candidatos a presidente y vicepresidente de la izquierda",0.041,0.007,0.065,0.178
"P13_imputada","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.03,0.033,0.093,0.048
"P13_imputada","En blanco",0.009,0.002,0.083,0.048
"P16_imputada","Union por la Patria",0.664,0.067,0.119,0.328
"P16_imputada","Cambiemos",0.175,0.808,0.145,0.228
"P16_imputada","Liberales",0.122,0.103,0.64,0.364
"P16_imputada","Izquierda",0.039,0.022,0.096,0.08
"P17_imputada","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.618,0.075,0.149,0.262
"P17_imputada","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.175,0.754,0.146,0.211
"P17_imputada","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.12,0.118,0.468,0.343
"P17_imputada","Los candidatos a Jefe de Gobierno de la izquierda",0.051,0.017,0.094,0.067
"P17_imputada","En blanco",0.036,0.036,0.143,0.117
