"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna","Massa","Grabois","Bullrich","Rodriguez Larreta","Milei"
"Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.265,0.244,0.283,0.296,0.336,0.218,0.158,0.335,0.217,0.277,0.661,0.098,0.197,0.757,0.626,0.065,0.181,0.089
"Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.377,0.338,0.408,0.16,0.293,0.528,0.62,0.242,0.371,0.429,0.095,0.593,0.337,0.111,0.11,0.81,0.516,0.041
"Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.221,0.276,0.176,0.387,0.222,0.142,0.105,0.219,0.248,0.201,0.138,0.227,0.234,0.073,0.094,0.074,0.126,0.781
"Los candidatos a presidente y vicepresidente de la izquierda",0.042,0.038,0.045,0.051,0.046,0.04,0.025,0.062,0.046,0.031,0.028,0.016,0.036,0.024,0.084,0.013,0.031,0.007
"Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.039,0.04,0.038,0.046,0.04,0.03,0.039,0.061,0.041,0.03,0.035,0.032,0.097,0.014,0.061,0.008,0.074,0.055
"En blanco",0.018,0.023,0.014,0.017,0.014,0.016,0.027,0.021,0.026,0.011,0.008,0.011,0.036,0.008,0.011,0.004,0.02,0.008
"No sabe",0.038,0.041,0.036,0.043,0.049,0.026,0.026,0.06,0.051,0.021,0.035,0.023,0.063,0.013,0.014,0.026,0.052,0.019
