"var","categoria","Leandro Santoro a Jefe de Gobierno por Union por la Patria","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza","La candidata a Jefe de Gobierno de la izquierda","En blanco","No sabe"
"P10","Unión por la Patria",0.618,0.09,0.112,0.283,0.157,0.126
"P10","Juntos por el Cambio",0.157,0.743,0.176,0.048,0.282,0.145
"P10","De los liberales libertarios",0.115,0.118,0.598,0.156,0.219,0.162
"P10","De la Izquierda",0.068,0.01,0.03,0.379,0.022,0.103
"P10","Hacemos por nuestro país",0.017,0.02,0.037,0.026,0.035,0.094
"P10","Otro",0.004,0.011,0.016,0.072,0.133,0.078
"P10","En blanco",0.005,0,0.001,0.01,0.096,0.019
"P10","No sabe",0.016,0.008,0.03,0.026,0.056,0.273
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.703,0.073,0.114,0.343,0.175,0.279
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.107,0.761,0.163,0.038,0.15,0.123
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.076,0.117,0.68,0.099,0.187,0.277
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.05,0.004,0.006,0.466,0.066,0.074
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.024,0.025,0.028,0.037,0.204,0.066
"P13","En blanco",0.013,0.007,0.004,0.017,0.153,0.006
"P13","No sabe",0.027,0.013,0.005,0,0.065,0.175
"P16","Union por la Patria",0.723,0.091,0.197,0.074,0.099,0.132
"P16","Cambiemos",0.112,0.831,0.188,0.143,0.19,0.175
"P16","Liberales",0.104,0.061,0.583,0.006,0.085,0.111
"P16","Izquierda",0.012,0.004,0.011,0.712,0.052,0.096
"P16","No sabe",0.049,0.013,0.021,0.065,0.574,0.486
"P26","Totalmente seguro",0.71,0.741,0.728,0.64,0.374,0.463
"P26","Bastante seguro",0.146,0.15,0.15,0.122,0.203,0.162
"P26","Algo seguro",0.098,0.086,0.087,0.056,0.237,0.152
"P26","Para nada seguro",0.046,0.023,0.035,0.182,0.186,0.223
"P27","Tiene Decidido que va a ir a votar",0.925,0.955,0.874,0.862,0.659,0.853
"P27","Tiene dudas sobre si va a ir a  votar",0.065,0.03,0.119,0.087,0.209,0.08
"P27","Tiene Decidido que no va a ir a votar",0.01,0.015,0.007,0.051,0.132,0.067
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.749,0.135,0.24,0.436,0.227,0.431
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.123,0.798,0.302,0.203,0.315,0.201
"P28","En blanco",0.053,0.031,0.291,0.2,0.301,0.171
"P28","No sabe",0.075,0.036,0.167,0.161,0.157,0.197
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.336,0.775,0.222,0.278,0.271,0.265
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.116,0.164,0.652,0.175,0.327,0.286
"P29","En blanco",0.351,0.03,0.083,0.404,0.222,0.215
"P29","No sabe",0.197,0.031,0.043,0.143,0.18,0.234
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.755,0.196,0.22,0.409,0.168,0.432
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.095,0.318,0.631,0.233,0.321,0.278
"P30","En blanco",0.088,0.328,0.104,0.27,0.354,0.145
"P30","No sabe",0.062,0.158,0.045,0.088,0.157,0.145
"P38","Inflación",0.424,0.35,0.346,0.254,0.256,0.426
"P38","Desempleo",0.095,0.044,0.112,0.053,0.138,0.19
"P38","Corrupción",0.153,0.405,0.285,0.322,0.216,0.221
"P38","Inseguridad",0.076,0.122,0.161,0.075,0.176,0
"P38","Precio del dólar",0.03,0.002,0,0,0.032,0.016
"P38","Pobreza",0.095,0.036,0.058,0.192,0.02,0.078
"P38","Narcotráfico",0.002,0.005,0.005,0,0,0.017
"P38","Tarifas",0.007,0.002,0,0.013,0,0
"P38","Otro",0.098,0.027,0.03,0.091,0.162,0.013
"P38","No sabe",0.02,0.007,0.003,0,0,0.039
