"var","categoria","Unión por la Patria","Juntos por el Cambio","De los liberales libertarios","De la Izquierda","Hacemos por nuestro país","Otro","En blanco","No sabe"
"P13","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.786,0.116,0.099,0.107,0.006,0.102,0.14,0.096
"P13","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.115,0.79,0.103,0.111,0.067,0.126,0,0.064
"P13","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por la Libertad Avanza",0.058,0.057,0.742,0.149,0.381,0.121,0.043,0.17
"P13","Los candidatos a presidente y vicepresidente de la izquierda",0.014,0.014,0.011,0.502,0.046,0.187,0,0.004
"P13","Juan Schiaretti a presidente y Florencio Randazzo a vicepresidente por Hacemos por Nuestro Pais",0.011,0.014,0.009,0.087,0.493,0.335,0.047,0.087
"P13","En blanco",0.007,0.004,0.014,0.035,0.007,0.109,0.367,0.036
"P13","No sabe",0.009,0.005,0.022,0.009,0,0.02,0.403,0.543
"P16","Union por la Patria",0.779,0.084,0.134,0.3,0.188,0.049,0.335,0.098
"P16","Cambiemos",0.093,0.805,0.268,0.111,0.484,0.33,0,0.083
"P16","Liberales",0.058,0.057,0.501,0.147,0.071,0.139,0,0.071
"P16","Izquierda",0.037,0.007,0.032,0.341,0.085,0.144,0.083,0.027
"P16","No sabe",0.033,0.047,0.065,0.101,0.172,0.338,0.582,0.721
"P17","Leandro Santoro a Jefe de Gobierno por Union por la Patria",0.672,0.103,0.151,0.389,0.174,0.051,0.152,0.138
"P17","Jorge Macri a Jefe de Gobierno por Juntos por el Cambio",0.154,0.767,0.244,0.095,0.316,0.208,0,0.106
"P17","Ramiro Marra a Jefe de Gobierno por la Libertad Avanza",0.075,0.07,0.479,0.103,0.223,0.12,0.025,0.159
"P17","La candidata a Jefe de Gobierno de la izquierda",0.038,0.004,0.026,0.271,0.032,0.108,0.043,0.028
"P17","En blanco",0.034,0.037,0.058,0.025,0.07,0.325,0.65,0.098
"P17","No sabe",0.027,0.019,0.042,0.117,0.185,0.188,0.13,0.471
"P26","Totalmente seguro",0.729,0.725,0.717,0.6,0.558,0.464,0.183,0.294
"P26","Bastante seguro",0.132,0.162,0.15,0.132,0.196,0.15,0.328,0.09
"P26","Algo seguro",0.102,0.079,0.113,0.134,0.152,0.183,0.167,0.198
"P26","Para nada seguro",0.037,0.034,0.02,0.134,0.094,0.203,0.322,0.418
"P27","Tiene Decidido que va a ir a votar",0.947,0.918,0.93,0.768,0.931,0.586,0.646,0.817
"P27","Tiene dudas sobre si va a ir a  votar",0.032,0.062,0.054,0.146,0.069,0.325,0.229,0.129
"P27","Tiene Decidido que no va a ir a votar",0.021,0.02,0.016,0.086,0,0.089,0.125,0.054
"P28","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.871,0.134,0.159,0.347,0.277,0.282,0.04,0.319
"P28","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.087,0.821,0.351,0.13,0.327,0.181,0.153,0.174
"P28","En blanco",0.016,0.023,0.32,0.326,0.077,0.211,0.51,0.193
"P28","No sabe",0.026,0.022,0.17,0.197,0.319,0.326,0.297,0.314
"P29","Patricia Bullrich a Presidente y Luis Petri a Vicepresidente por Juntos por el Cambio",0.352,0.827,0.17,0.139,0.324,0.273,0.076,0.174
"P29","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.083,0.11,0.758,0.173,0.521,0.315,0.076,0.247
"P29","En blanco",0.372,0.043,0.045,0.478,0.066,0.139,0.576,0.164
"P29","No sabe",0.193,0.02,0.027,0.21,0.089,0.273,0.272,0.415
"P30","Sergio Massa a Presidente y Agustin Rossi a Vicepresidente por Union por la Patria",0.86,0.192,0.153,0.425,0.142,0.191,0.038,0.156
"P30","Javier Milei a Presidente y Victoria Villarruel a Vicepresidente por La Libertad Avanza",0.049,0.263,0.752,0.181,0.543,0.285,0.047,0.323
"P30","En blanco",0.057,0.378,0.074,0.233,0.183,0.197,0.738,0.146
"P30","No sabe",0.034,0.167,0.021,0.161,0.132,0.327,0.177,0.375
"P38","Inflación",0.433,0.349,0.371,0.087,0.444,0.361,0.433,0.217
"P38","Desempleo",0.126,0.04,0.076,0.123,0,0.253,0.031,0.118
"P38","Corrupción",0.086,0.399,0.381,0.256,0.419,0.126,0.184,0.376
"P38","Inseguridad",0.117,0.119,0.099,0.146,0.046,0.041,0.31,0
"P38","Precio del dólar",0.013,0.006,0.016,0.023,0,0.019,0,0.031
"P38","Pobreza",0.113,0.033,0.037,0.107,0,0.024,0.042,0.189
"P38","Narcotráfico",0.002,0.005,0.004,0,0,0,0,0.026
"P38","Tarifas",0.008,0.003,0,0,0,0,0,0
"P38","Otro",0.082,0.037,0.014,0.233,0.091,0.145,0,0.043
"P38","No sabe",0.02,0.009,0.002,0.025,0,0.031,0,0
