"var","categoria","Luis Samyn Duco","Gonzalo Meschengieser","Micaela Ferraro","Javier Forlenza","Jose Paesani","Malena Galmarini","Pipo Gorosito"
"P06","Julio Zamora",0.57,0.761,0.385,0.654,0.872,0.867,0.616
"P06","Segundo Cernadas",0.104,0,0,0,0,0.049,0.051
"P06","Otro candidato",0.106,0.239,0.223,0,0.128,0.034,0.048
"P06","En blanco",0.192,0,0.36,0,0,0.019,0.119
"P06","No sabe",0.028,0,0.032,0.346,0,0.031,0.166
"P07","A los candidatos del Frente de todos",0.556,0.362,0.619,1,0.78,0.832,0.881
"P07","A los candidatos de Juntos por el cambio",0.172,0.638,0.275,0,0,0,0.057
"P07","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.184,0,0.01,0,0.22,0.162,0
"P07","A los candidatos de la Izquierda",0,0,0.074,0,0,0.006,0.015
"P07","A los candidatos Liberales",0.088,0,0.022,0,0,0,0.047
"P12","Malena Galmarini por el Frente de todos",0.578,0.185,0.698,0.72,0.389,0.759,0.441
"P12","Gisela Zamora por Frente vecinal unidos",0.36,0.815,0.263,0.28,0.611,0.136,0.388
"P12","Segundo cernadas por Juntos por el Cambio",0.042,0,0.025,0,0,0.058,0.165
"P12","Rodriguez Laborde por el Frente de Randazzo",0,0,0,0,0,0,0.006
"P12","A los candidatos del frente de izquierda",0.02,0,0.014,0,0,0.005,0
"P12","Cervetto por los liberales",0,0,0,0,0,0.042,0
"P13","Pipo Gorosito por el Frente de todos",0.565,0.222,0.791,0.657,0.544,0.536,0.658
"P13","Gisela Zamora por Frente vecinal unidos",0.334,0.778,0.175,0.266,0.456,0.367,0.293
"P13","Segundo cernadas por Juntos por el cambio",0.059,0,0,0,0,0.067,0.044
"P13","Rodriguez Laborde por el Frente de Randazzo",0,0,0.015,0.077,0,0,0.005
"P13","A los candidatos del frente de izquierda",0.027,0,0,0,0,0.02,0
"P13","Cervetto por los liberales",0.015,0,0.019,0,0,0.01,0
"P14","Micaela Ferraro por el Frente de todos",0.515,0.113,0.834,0.753,0.348,0.443,0.501
"P14","Gisela Zamora por Frente vecinal unidos",0.284,0.887,0.149,0.247,0.467,0.279,0.378
"P14","Segundo cernadas por juntos por el cambio",0.162,0,0.017,0,0,0.076,0.053
"P14","Rodriguez Laborde por el Frente de Randazzo",0.003,0,0,0,0,0.006,0.019
"P14","A los candidatos del frente de izquierda",0.022,0,0,0,0.185,0.062,0.013
"P14","Cervetto por los liberales",0.014,0,0,0,0,0.134,0.036
"P15","Luis Samin Duco por el Frente de todos",0.62,0.364,0.536,0.797,0.54,0.493,0.439
"P15","Gisela Zamora por Frente vecinal unidos",0.327,0.636,0.411,0.203,0.46,0.362,0.455
"P15","Segundo cernadas por juntos por el cambio",0.019,0,0.021,0,0,0.072,0.05
"P15","Rodriguez Laborde por el Frente de Randazzo",0.004,0,0,0,0,0,0.006
"P15","A los candidatos del frente de izquierda",0.03,0,0.032,0,0,0.067,0
"P15","Cervetto por los liberales",0,0,0,0,0,0.006,0.05
"P16","Muy bueno",0.5,0.964,0.096,0.142,0.405,0.207,0.419
"P16","Bueno",0.315,0.036,0.357,0.435,0.505,0.462,0.365
"P16","Ni bueno ni malo",0.116,0,0.442,0.326,0.044,0.255,0.081
"P16","Malo",0.012,0,0.076,0.097,0,0.009,0.135
"P16","Muy malo",0.05,0,0.014,0,0.046,0.024,0
"P16","No sabe",0.007,0,0.015,0,0,0.043,0
"P18","Muy buena",0.476,0.058,0.404,0.84,0.402,0.557,0.492
"P18","Buena",0.267,0.122,0.282,0,0.242,0.218,0.245
"P18","Ni buena ni mala",0.086,0,0.314,0,0.304,0.2,0.08
"P18","Mala",0.103,0.82,0,0.16,0,0.025,0.096
"P18","Muy mala",0.068,0,0,0,0.052,0,0.087
"P18","No sabe",0,0,0,0,0,0,0
"P19","Muy buena",0.158,0,0,0,0,0.011,0.148
"P19","Buena",0.071,0.82,0,0,0,0.058,0.021
"P19","Ni buena ni mala",0.113,0,0.176,0.159,0.304,0.016,0.115
"P19","Mala",0.143,0,0.035,0.057,0.346,0.096,0.136
"P19","Muy mala",0.507,0.18,0.789,0.784,0.35,0.806,0.58
"P19","No sabe",0.008,0,0,0,0,0.013,0
"P20","Muy buena",0.61,0.123,0.843,0.927,0.296,0.55,0.66
"P20","Buena",0.082,0.059,0.046,0.073,0.275,0.106,0.064
"P20","Ni buena ni mala",0.027,0,0.081,0,0.319,0.102,0.054
"P20","Mala",0,0,0,0,0,0.051,0.173
"P20","Muy mala",0.281,0.818,0.03,0,0.11,0.191,0.049
"P20","No sabe",0,0,0,0,0,0,0
"P21","Muy buena",0.18,0.061,0.015,0.362,0,0.03,0
"P21","Buena",0.11,0,0,0,0.348,0,0.149
"P21","Ni buena ni mala",0.103,0.82,0.019,0.071,0.191,0.11,0.148
"P21","Mala",0.132,0,0.328,0.223,0.103,0.193,0.066
"P21","Muy mala",0.475,0.119,0.611,0.344,0.358,0.662,0.637
"P21","No sabe",0,0,0.027,0,0,0.005,0
"P22","Muy buena",0.583,0.061,0.472,0.587,0.492,0.525,0.491
"P22","Buena",0.1,0.059,0.419,0,0.05,0.123,0.103
"P22","Ni buena ni mala",0.021,0,0.054,0.072,0.353,0.184,0.287
"P22","Mala",0.02,0.819,0,0.341,0,0.134,0.064
"P22","Muy mala",0.259,0.061,0.055,0,0.105,0.034,0.055
"P22","No sabe",0.017,0,0,0,0,0,0
"P23","Muy buena",0.058,0.936,0,0,0,0.24,0.052
"P23","Buena",0.26,0,0.013,0,0.675,0.243,0.133
"P23","Ni buena ni mala",0.396,0.022,0.265,0.088,0.072,0.047,0.627
"P23","Mala",0.104,0.021,0.013,0.044,0.108,0.308,0.052
"P23","Muy mala",0.177,0.021,0.709,0.824,0.145,0.129,0.136
"P23","No sabe",0.005,0,0,0.044,0,0.033,0
"P24","Muy buena",0.051,0,0.039,0.027,0.073,0.228,0.024
"P24","Buena",0.291,0.036,0.009,0.221,0.804,0.591,0.232
"P24","Ni buena ni mala",0.517,0.018,0.835,0.725,0.048,0.173,0.169
"P24","Mala",0.008,0,0.009,0.027,0.024,0.008,0.055
"P24","Muy mala",0.118,0.946,0.087,0,0.024,0,0.086
"P24","No sabe",0.015,0,0.021,0,0.027,0,0.434
"P25","Muy buena",0.037,0,0.03,0.027,0.048,0.471,0.057
"P25","Buena",0.299,0.036,0.026,0.221,0.805,0.313,0.232
"P25","Ni buena ni mala",0.19,0.018,0.378,0.725,0.123,0.195,0.523
"P25","Mala",0.024,0,0.479,0.027,0,0.013,0.063
"P25","Muy mala",0.346,0.946,0.087,0,0.024,0.008,0.125
