"var","categoria","A los candidatos del Frente de todos","A los candidatos de Juntos por el cambio","A los candidatos del frente unidos por tigre","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo","A los candidatos de la Izquierda","A los candidatos Liberales"
"P06","Julio Zamora",0.747,0.257,0.631,0.365,0.21,0.223
"P06","Segundo Cernadas",0.025,0.486,0.079,0.241,0.26,0.219
"P06","Otro candidato",0.087,0.16,0.201,0.183,0.155,0.282
"P06","En blanco",0.083,0.002,0.002,0.072,0.059,0.173
"P06","No sabe",0.058,0.095,0.087,0.139,0.316,0.103
"P07","A los candidatos del Frente de todos",0.877,0.077,0.192,0.037,0.349,0.024
"P07","A los candidatos de Juntos por el cambio",0.053,0.825,0.18,0.221,0.059,0.13
"P07","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.032,0.069,0.445,0.62,0.054,0.038
"P07","A los candidatos de la Izquierda",0.013,0.008,0.048,0.108,0.31,0.02
"P07","A los candidatos Liberales",0.025,0.021,0.135,0.014,0.228,0.788
"P08","Diego Santilli por el PRO en Juntos por el Cambio",0.433,0.599,0.505,0.128,0,0.365
"P08","Facundo Manes por el radicalismo en Juntos por el Cambio",0.567,0.401,0.495,0.872,1,0.635
"P12","Malena Galmarini por el Frente de todos",0.649,0.027,0.132,0.12,0.189,0.025
"P12","Gisela Zamora por Frente vecinal unidos",0.274,0.128,0.258,0.169,0.036,0.08
"P12","Segundo cernadas por Juntos por el Cambio",0.03,0.801,0.262,0.094,0.138,0.065
"P12","Rodriguez Laborde por el Frente de Randazzo",0.001,0.033,0.141,0.393,0.022,0
"P12","A los candidatos del frente de izquierda",0.028,0.007,0.064,0.163,0.571,0
"P12","Cervetto por los liberales",0.018,0.004,0.143,0.061,0.044,0.83
"P13","Pipo Gorosito por el Frente de todos",0.652,0.012,0.147,0.049,0.013,0.034
"P13","Gisela Zamora por Frente vecinal unidos",0.276,0.067,0.516,0.245,0.389,0.044
"P13","Segundo cernadas por Juntos por el cambio",0.024,0.898,0.13,0.075,0.079,0.119
"P13","Rodriguez Laborde por el Frente de Randazzo",0.003,0.012,0.093,0.426,0.032,0
"P13","A los candidatos del frente de izquierda",0.036,0.001,0.026,0.148,0.471,0.014
"P13","Cervetto por los liberales",0.009,0.01,0.088,0.057,0.016,0.789
"P14","Micaela Ferraro por el Frente de todos",0.581,0.007,0.188,0.009,0.006,0.043
"P14","Gisela Zamora por Frente vecinal unidos",0.312,0.063,0.371,0.332,0.146,0.105
"P14","Segundo cernadas por juntos por el cambio",0.029,0.871,0.195,0.166,0.101,0.089
"P14","Rodriguez Laborde por el Frente de Randazzo",0.014,0.034,0.111,0.3,0.096,0
"P14","A los candidatos del frente de izquierda",0.048,0.006,0.025,0.171,0.628,0.016
"P14","Cervetto por los liberales",0.016,0.019,0.11,0.022,0.023,0.747
"P15","Luis Samin Duco por el Frente de todos",0.574,0.013,0.194,0.114,0.019,0.015
"P15","Gisela Zamora por Frente vecinal unidos",0.338,0.03,0.412,0.301,0.209,0.056
"P15","Segundo cernadas por juntos por el cambio",0.034,0.915,0.157,0.079,0.109,0.13
"P15","Rodriguez Laborde por el Frente de Randazzo",0.004,0.036,0.145,0.332,0.095,0.016
"P15","A los candidatos del frente de izquierda",0.044,0.001,0.037,0.125,0.543,0.015
"P15","Cervetto por los liberales",0.006,0.005,0.055,0.049,0.025,0.768
"P16","Muy bueno",0.343,0.071,0.281,0.02,0.108,0.019
"P16","Bueno",0.328,0.124,0.338,0.345,0,0.298
"P16","Ni bueno ni malo",0.208,0.472,0.085,0.381,0.36,0.28
"P16","Malo",0.053,0.166,0.139,0.06,0.312,0.133
"P16","Muy malo",0.044,0.155,0.131,0.188,0.147,0.262
"P16","No sabe",0.024,0.012,0.026,0.006,0.073,0.008
"P18","Muy buena",0.606,0.053,0.31,0.114,0.045,0.022
"P18","Buena",0.206,0.023,0.075,0.071,0.147,0.014
"P18","Ni buena ni mala",0.123,0.056,0.116,0.24,0.389,0.038
"P18","Mala",0.029,0.213,0.195,0.223,0.269,0.046
"P18","Muy mala",0.036,0.655,0.272,0.352,0.104,0.88
"P18","No sabe",0,0,0.032,0,0.046,0
"P19","Muy buena",0.074,0.199,0.204,0.032,0.169,0.037
"P19","Buena",0.03,0.258,0.004,0.16,0.008,0.267
"P19","Ni buena ni mala",0.075,0.238,0.303,0.149,0.136,0.189
"P19","Mala",0.137,0.196,0.264,0.449,0.203,0.267
"P19","Muy mala",0.669,0.108,0.127,0.21,0.446,0.234
"P19","No sabe",0.015,0.001,0.098,0,0.038,0.006
"P20","Muy buena",0.681,0.058,0.218,0.013,0.083,0.014
"P20","Buena",0.105,0.004,0.197,0.083,0.117,0.126
