"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Fernandez","Macri","Lavagna"
"Julio Zamora",0.463,0.484,0.444,0.343,0.533,0.474,0.49,0.473,0.494,0.391,0.696,0.219,0.465
"Segundo Cernadas",0.209,0.2,0.218,0.173,0.19,0.257,0.285,0.136,0.202,0.327,0.032,0.49,0.117
"Otro candidato",0.171,0.152,0.188,0.207,0.141,0.194,0.145,0.185,0.177,0.137,0.135,0.172,0.394
"En blanco",0.065,0.076,0.053,0.14,0.043,0.008,0.054,0.069,0.072,0.043,0.043,0.056,0.024
"No sabe",0.092,0.088,0.097,0.137,0.093,0.067,0.026,0.137,0.055,0.102,0.094,0.063,0
