"var","categoria","Segundo Cernadas","Nicolas Massot"
"P06","Julio Zamora",0.351,0.475
"P06","Segundo Cernadas",0.412,0.257
"P06","Otro candidato",0.123,0.152
"P06","En blanco",0.004,0.002
"P06","No sabe",0.11,0.114
"P07","A los candidatos del Frente de todos",0.162,0.165
"P07","A los candidatos de Juntos por el cambio",0.763,0.766
"P07","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.041,0.051
"P07","A los candidatos de la Izquierda",0.019,0.003
"P07","A los candidatos Liberales",0.015,0.015
"P12","Malena Galmarini por el Frente de todos",0.026,0.041
"P12","Gisela Zamora por Frente vecinal unidos",0.101,0.176
"P12","Segundo cernadas por Juntos por el Cambio",0.84,0.67
"P12","Rodriguez Laborde por el Frente de Randazzo",0.021,0.088
"P12","A los candidatos del frente de izquierda",0.007,0.011
"P12","Cervetto por los liberales",0.005,0.014
"P13","Pipo Gorosito por el Frente de todos",0.04,0
"P13","Gisela Zamora por Frente vecinal unidos",0.032,0.138
"P13","Segundo cernadas por Juntos por el cambio",0.903,0.786
"P13","Rodriguez Laborde por el Frente de Randazzo",0.022,0.059
"P13","A los candidatos del frente de izquierda",0,0.003
"P13","Cervetto por los liberales",0.003,0.014
"P14","Micaela Ferraro por el Frente de todos",0.014,0.042
"P14","Gisela Zamora por Frente vecinal unidos",0.023,0.168
"P14","Segundo cernadas por juntos por el cambio",0.932,0.695
"P14","Rodriguez Laborde por el Frente de Randazzo",0.009,0.068
"P14","A los candidatos del frente de izquierda",0,0.011
"P14","Cervetto por los liberales",0.022,0.016
"P15","Luis Samin Duco por el Frente de todos",0.024,0.081
"P15","Gisela Zamora por Frente vecinal unidos",0.015,0.086
"P15","Segundo cernadas por juntos por el cambio",0.952,0.79
"P15","Rodriguez Laborde por el Frente de Randazzo",0.009,0.03
"P15","A los candidatos del frente de izquierda",0,0.004
"P15","Cervetto por los liberales",0,0.009
"P16","Muy bueno",0.124,0.074
"P16","Bueno",0.197,0.156
"P16","Ni bueno ni malo",0.301,0.492
"P16","Malo",0.186,0.134
"P16","Muy malo",0.179,0.132
"P16","No sabe",0.013,0.012
"P18","Muy buena",0.085,0.109
"P18","Buena",0.04,0.009
"P18","Ni buena ni mala",0.08,0.007
"P18","Mala",0.152,0.328
"P18","Muy mala",0.643,0.547
"P18","No sabe",0,0
"P19","Muy buena",0.191,0.158
"P19","Buena",0.257,0.19
"P19","Ni buena ni mala",0.231,0.326
"P19","Mala",0.213,0.221
"P19","Muy mala",0.105,0.105
"P19","No sabe",0.003,0
"P20","Muy buena",0.06,0.109
"P20","Buena",0.003,0.005
"P20","Ni buena ni mala",0.077,0.124
"P20","Mala",0.076,0.18
"P20","Muy mala",0.761,0.582
"P20","No sabe",0.023,0
"P21","Muy buena",0.364,0.318
"P21","Buena",0.245,0.345
"P21","Ni buena ni mala",0.205,0.203
"P21","Mala",0.092,0.028
"P21","Muy mala",0.094,0.093
"P21","No sabe",0,0.013
"P22","Muy buena",0.065,0.121
"P22","Buena",0.026,0.014
"P22","Ni buena ni mala",0.032,0.023
"P22","Mala",0.183,0.192
"P22","Muy mala",0.692,0.65
"P22","No sabe",0.002,0
"P23","Muy buena",0.53,0.652
"P23","Buena",0.288,0.218
"P23","Ni buena ni mala",0.158,0.056
"P23","Mala",0.012,0
"P23","Muy mala",0.009,0.074
"P23","No sabe",0.003,0
"P24","Muy buena",0.06,0.11
"P24","Buena",0.016,0.094
"P24","Ni buena ni mala",0.067,0.186
"P24","Mala",0.236,0.123
"P24","Muy mala",0.512,0.331
"P24","No sabe",0.109,0.156
"P25","Muy buena",0.065,0.046
"P25","Buena",0.058,0.171
"P25","Ni buena ni mala",0.098,0.033
"P25","Mala",0.115,0.118
"P25","Muy mala",0.664,0.632
"P25","No sabe",0,0
"P26","Muy buena",0.103,0.099
"P26","Buena",0.113,0.089
"P26","Ni buena ni mala",0.268,0.35
"P26","Mala",0.159,0.237
"P26","Muy mala",0.295,0.225
"P26","No sabe",0.062,0
"P27","Muy buena",0.23,0.056
"P27","Buena",0.37,0.388
"P27","Ni buena ni mala",0.265,0.435
"P27","Mala",0.036,0.029
"P27","Muy mala",0.02,0.058
"P27","No sabe",0.079,0.034
"P28","Si",0.545,0.561
"P28","No",0.455,0.439
