"var","categoria","Julio Zamora","Segundo Cernadas","Otro candidato","En blanco","No sabe"
"P07","A los candidatos del Frente de todos",0.621,0.049,0.24,0.245,0.401
"P07","A los candidatos de Juntos por el cambio",0.173,0.82,0.343,0.314,0.243
"P07","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.151,0.048,0.194,0.076,0.101
"P07","A los candidatos de la Izquierda",0.011,0.006,0.075,0.081,0.123
"P07","A los candidatos Liberales",0.044,0.077,0.148,0.284,0.132
"P08","Diego Santilli por el PRO en Juntos por el Cambio",0.467,0.624,0.54,0.436,0.745
"P08","Facundo Manes por el radicalismo en Juntos por el Cambio",0.533,0.376,0.46,0.564,0.255
"P09","A los candidatos del Frente de todos",0.589,0.043,0.228,0.625,0.236
"P09","A los candidatos de Juntos por el cambio",0.182,0.739,0.378,0.013,0.35
"P09","A los candidatos del frente unidos por tigre",0.132,0.035,0.14,0.004,0.094
"P09","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.049,0.07,0.083,0.092,0.098
"P09","A los candidatos de la Izquierda",0.019,0.051,0.048,0.051,0.151
"P09","A los candidatos Liberales",0.029,0.062,0.123,0.215,0.071
"P10","Luis Samyn Duco",0.291,0.606,0.41,0.518,0.142
"P10","Gonzalo Meschengieser",0.048,0,0.112,0,0
"P10","Micaela Ferraro",0.056,0,0.243,0.275,0.046
"P10","Javier Forlenza",0.049,0,0,0,0.256
"P10","Jose Paesani",0.026,0,0.029,0,0
"P10","Malena Galmarini",0.369,0.24,0.11,0.043,0.127
"P10","Pipo Gorosito",0.161,0.154,0.096,0.164,0.429
"P11","Segundo Cernadas",0.539,0.717,0.561,0.741,0.604
"P11","Nicolas Massot",0.461,0.283,0.439,0.259,0.396
"P12","Malena Galmarini por el Frente de todos",0.425,0.004,0.199,0.381,0.272
"P12","Gisela Zamora por Frente vecinal unidos",0.261,0.098,0.11,0.209,0.166
"P12","Segundo cernadas por Juntos por el Cambio",0.188,0.715,0.314,0.109,0.314
"P12","Rodriguez Laborde por el Frente de Randazzo",0.039,0.059,0.117,0.062,0.021
"P12","A los candidatos del frente de izquierda",0.034,0.054,0.082,0.023,0.154
"P12","Cervetto por los liberales",0.053,0.07,0.178,0.216,0.073
"P13","Pipo Gorosito por el Frente de todos",0.366,0.03,0.256,0.666,0.196
"P13","Gisela Zamora por Frente vecinal unidos",0.337,0.035,0.134,0.007,0.253
"P13","Segundo cernadas por Juntos por el cambio",0.178,0.79,0.352,0.014,0.3
"P13","Rodriguez Laborde por el Frente de Randazzo",0.034,0.053,0.076,0.019,0.04
"P13","A los candidatos del frente de izquierda",0.043,0.012,0.058,0.03,0.13
"P13","Cervetto por los liberales",0.042,0.08,0.124,0.264,0.081
"P14","Micaela Ferraro por el Frente de todos",0.339,0,0.238,0.582,0.189
"P14","Gisela Zamora por Frente vecinal unidos",0.326,0.081,0.101,0.009,0.19
"P14","Segundo cernadas por juntos por el cambio",0.163,0.809,0.441,0.021,0.279
"P14","Rodriguez Laborde por el Frente de Randazzo",0.064,0.016,0.092,0.021,0.042
"P14","A los candidatos del frente de izquierda",0.058,0.016,0.051,0.037,0.202
"P14","Cervetto por los liberales",0.05,0.078,0.077,0.33,0.098
"P15","Luis Samin Duco por el Frente de todos",0.372,0.005,0.17,0.375,0.228
"P15","Gisela Zamora por Frente vecinal unidos",0.313,0.043,0.137,0.179,0.211
"P15","Segundo cernadas por juntos por el cambio",0.172,0.841,0.386,0.027,0.362
"P15","Rodriguez Laborde por el Frente de Randazzo",0.059,0.023,0.106,0.032,0.052
"P15","A los candidatos del frente de izquierda",0.055,0.008,0.09,0.051,0.066
"P15","Cervetto por los liberales",0.029,0.08,0.111,0.336,0.081
"P16","Muy bueno",0.266,0.006,0.155,0.274,0.231
"P16","Bueno",0.376,0.115,0.076,0.198,0.098
"P16","Ni bueno ni malo",0.203,0.397,0.463,0.273,0.43
"P16","Malo",0.057,0.243,0.151,0.077,0.135
"P16","Muy malo",0.088,0.223,0.101,0.109,0.09
"P16","No sabe",0.01,0.016,0.054,0.069,0.016
"P18","Muy buena",0.398,0.012,0.216,0.587,0.335
"P18","Buena",0.15,0.024,0.067,0.096,0.077
"P18","Ni buena ni mala",0.134,0.024,0.181,0.015,0.118
"P18","Mala",0.14,0.123,0.159,0.028,0.132
"P18","Muy mala",0.178,0.817,0.374,0.222,0.298
"P18","No sabe",0,0,0.003,0.052,0.04
"P19","Muy buena",0.076,0.198,0.115,0.346,0.244
"P19","Buena",0.086,0.303,0.092,0.036,0.02
"P19","Ni buena ni mala",0.132,0.215,0.321,0.166,0.149
"P19","Mala",0.223,0.191,0.221,0.019,0.121
"P19","Muy mala",0.458,0.091,0.251,0.365,0.426
"P19","No sabe",0.025,0.002,0,0.068,0.04
"P20","Muy buena",0.428,0.021,0.259,0.437,0.286
"P20","Buena",0.112,0.046,0.032,0,0.061
"P20","Ni buena ni mala",0.112,0.02,0.054,0.073,0.179
"P20","Mala",0.115,0.007,0.045,0,0.146
"P20","Muy mala",0.227,0.906,0.598,0.418,0.314
"P20","No sabe",0.006,0,0.012,0.072,0.014
"P21","Muy buena",0.12,0.252,0.197,0.37,0.262
"P21","Buena",0.147,0.366,0.156,0.047,0.085
"P21","Ni buena ni mala",0.187,0.196,0.256,0.037,0.132
"P21","Mala",0.14,0.067,0.074,0.119,0.128
"P21","Muy mala",0.401,0.117,0.311,0.207,0.393
"P21","No sabe",0.005,0.002,0.006,0.22,0
"P22","Muy buena",0.4,0.015,0.126,0.613,0.213
"P22","Buena",0.106,0.059,0.196,0,0.059
"P22","Ni buena ni mala",0.132,0.013,0.083,0.088,0.17
"P22","Mala",0.115,0.104,0.15,0.016,0.112
"P22","Muy mala",0.226,0.807,0.445,0.229,0.432
"P22","No sabe",0.021,0.002,0,0.054,0.014
"P23","Muy buena",0.171,0.627,0.203,0.084,0.235
"P23","Buena",0.173,0.235,0.223,0.08,0.17
"P23","Ni buena ni mala",0.199,0.072,0.286,0.058,0.253
"P23","Mala",0.133,0.03,0.028,0.159,0.074
"P23","Muy mala",0.26,0.036,0.231,0.536,0.224
"P23","No sabe",0.064,0,0.029,0.083,0.044
"P24","Muy buena",0.16,0.046,0.078,0.041,0.046
"P24","Buena",0.241,0.008,0.06,0,0.005
"P24","Ni buena ni mala",0.249,0.089,0.307,0.153,0.265
"P24","Mala",0.075,0.249,0.141,0,0.09
"P24","Muy mala",0.22,0.586,0.339,0.752,0.159
"P24","No sabe",0.055,0.022,0.075,0.054,0.435
"P25","Muy buena",0.193,0.004,0.082,0.041,0.073
"P25","Buena",0.202,0.009,0.03,0,0.211
"P25","Ni buena ni mala",0.25,0.036,0.187,0.296,0.176
"P25","Mala",0.081,0.12,0.165,0.018,0.217
"P25","Muy mala",0.257,0.831,0.519,0.645,0.302
"P25","No sabe",0.017,0,0.017,0,0.021
"P26","Muy buena",0.278,0.025,0.067,0.25,0.135
"P26","Buena",0.364,0.063,0.09,0,0.113
"P26","Ni buena ni mala",0.198,0.233,0.381,0.204,0.35
"P26","Mala",0.093,0.226,0.193,0.022,0.027
"P26","Muy mala",0.048,0.448,0.236,0.524,0.118
"P26","No sabe",0.019,0.005,0.033,0,0.257
"P27","Muy buena",0.107,0.204,0.015,0.024,0.054
"P27","Buena",0.103,0.445,0.103,0.046,0.086
"P27","Ni buena ni mala",0.218,0.249,0.556,0.198,0.365
"P27","Mala",0.153,0.038,0.076,0,0
"P27","Muy mala",0.272,0.042,0.135,0.679,0.195
"P27","No sabe",0.147,0.022,0.115,0.053,0.3
"P28","Si",0.559,0.429,0.365,0.319,0.638
"P28","No",0.441,0.571,0.635,0.681,0.362
