"var","categoria","Malena Galmarini por el Frente de todos","Gisela Zamora por Frente vecinal unidos","Segundo cernadas por Juntos por el Cambio","Rodriguez Laborde por el Frente de Randazzo","A los candidatos del frente de izquierda","Cervetto por los liberales"
"P06","Julio Zamora",0.736,0.668,0.282,0.361,0.3,0.309
"P06","Segundo Cernadas",0.003,0.111,0.475,0.239,0.211,0.183
"P06","Otro candidato",0.095,0.078,0.131,0.3,0.198,0.288
"P06","En blanco",0.071,0.057,0.017,0.061,0.021,0.135
"P06","No sabe",0.095,0.086,0.095,0.039,0.27,0.085
"P07","A los candidatos del Frente de todos",0.854,0.498,0.061,0,0.331,0.081
"P07","A los candidatos de Juntos por el cambio",0.054,0.317,0.77,0.224,0.03,0.085
"P07","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.053,0.11,0.102,0.735,0.13,0.209
"P07","A los candidatos de la Izquierda",0.006,0.026,0.009,0.018,0.458,0.037
"P07","A los candidatos Liberales",0.033,0.049,0.058,0.023,0.051,0.588
"P08","Diego Santilli por el PRO en Juntos por el Cambio",0.429,0.489,0.566,0.504,0.162,0.626
"P08","Facundo Manes por el radicalismo en Juntos por el Cambio",0.571,0.511,0.434,0.496,0.838,0.374
"P09","A los candidatos del Frente de todos",0.853,0.534,0.034,0.005,0.182,0.081
"P09","A los candidatos de Juntos por el cambio",0.032,0.226,0.828,0.211,0.043,0.015
"P09","A los candidatos del frente unidos por tigre",0.051,0.147,0.087,0.287,0.123,0.186
"P09","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.027,0.057,0.019,0.478,0.187,0.047
"P09","A los candidatos de la Izquierda",0.031,0.009,0.019,0.019,0.465,0.024
"P09","A los candidatos Liberales",0.006,0.027,0.013,0,0,0.647
"P10","Luis Samyn Duco",0.308,0.372,0.21,0,0.694,0
"P10","Gonzalo Meschengieser",0.013,0.106,0,0,0,0
"P10","Micaela Ferraro",0.106,0.077,0.036,0,0.146,0
"P10","Javier Forlenza",0.056,0.042,0,0,0,0
"P10","Jose Paesani",0.014,0.043,0,0,0,0
"P10","Malena Galmarini",0.366,0.127,0.267,0,0.16,1
"P10","Pipo Gorosito",0.137,0.233,0.487,1,0,0
"P11","Segundo Cernadas",0.49,0.469,0.659,0.267,0.526,0.382
"P11","Nicolas Massot",0.51,0.531,0.341,0.733,0.474,0.618
