"var","categoria","Pipo Gorosito por el Frente de todos","Gisela Zamora por Frente vecinal unidos","Segundo cernadas por Juntos por el cambio","Rodriguez Laborde por el Frente de Randazzo","A los candidatos del frente de izquierda","Cervetto por los liberales"
"P06","Julio Zamora",0.66,0.765,0.26,0.381,0.467,0.275
"P06","Segundo Cernadas",0.024,0.034,0.506,0.263,0.055,0.228
"P06","Otro candidato",0.131,0.087,0.146,0.247,0.176,0.229
"P06","En blanco",0.116,0.002,0.002,0.02,0.03,0.165
"P06","No sabe",0.069,0.112,0.086,0.089,0.272,0.103
"P07","A los candidatos del Frente de todos",0.834,0.524,0.056,0.029,0.343,0.017
"P07","A los candidatos de Juntos por el cambio",0.036,0.169,0.824,0.265,0.027,0.169
"P07","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.051,0.223,0.064,0.683,0.126,0.126
"P07","A los candidatos de la Izquierda",0.032,0.013,0.016,0,0.495,0.003
"P07","A los candidatos Liberales",0.047,0.071,0.04,0.023,0.009,0.685
"P08","Diego Santilli por el PRO en Juntos por el Cambio",0.194,0.39,0.584,0.452,1,0.68
"P08","Facundo Manes por el radicalismo en Juntos por el Cambio",0.806,0.61,0.416,0.548,0,0.32
"P09","A los candidatos del Frente de todos",0.905,0.482,0.028,0.023,0.295,0.046
"P09","A los candidatos de Juntos por el cambio",0.014,0.102,0.882,0.088,0.008,0.045
"P09","A los candidatos del frente unidos por tigre",0.059,0.259,0.042,0.234,0.063,0.126
"P09","A los candidatos del Peronismo no kirchnerista, Lavagnismo o randazismo",0.011,0.072,0.014,0.626,0.206,0.048
"P09","A los candidatos de la Izquierda",0.002,0.071,0.009,0.029,0.406,0.008
"P09","A los candidatos Liberales",0.009,0.014,0.025,0,0.022,0.727
"P10","Luis Samyn Duco",0.292,0.3,0.393,0,0.59,0.488
"P10","Gonzalo Meschengieser",0.016,0.099,0,0,0,0
"P10","Micaela Ferraro",0.136,0.052,0,0.267,0,0.212
"P10","Javier Forlenza",0.045,0.032,0,0.546,0,0
"P10","Jose Paesani",0.021,0.031,0,0,0,0
