"var","categoria","Si","Puede ser","No"
"P11","A Tolosa Paz por el Frente de todos",0.359,0.221,0.088
"P11","A Santilli y Manes por Juntos",0.431,0.218,0.283
"P11","A Del Caño por el Frente de Izquierda",0.039,0,0.112
"P11","A Espert por Avanza libertad",0.088,0,0
"P11","A Randazo por “Vamos con vos""",0.007,0.041,0.083
"P11","A Hotton por “+Valores”",0.022,0.063,0
"P11","Votaría en blanco o anularía",0.054,0.457,0.434
