"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Alberto Fernández",0.424,0.345,0.51,0.639,0.386,0.449,0.171,0.474,0.54,0.078,0.043,0.578,0.18,0.508,0.414,0.433,0.513,0.035,0
"A Sergio Massa",0.106,0.15,0.057,0,0.141,0.116,0.144,0.124,0.074,0.124,0.199,0.056,0.075,0.214,0.138,0,0.055,0.313,0
"A algún candidato del peronismo",0.211,0.228,0.193,0.213,0.191,0.141,0.386,0.214,0.21,0.208,0.305,0.076,0.593,0.257,0.029,0.474,0.119,0.597,0
"A algún candidato del kirchnerismo",0.259,0.277,0.24,0.148,0.282,0.294,0.299,0.188,0.176,0.59,0.453,0.29,0.152,0.021,0.419,0.093,0.313,0.055,1
