"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"A Alberto Fernández",0.253,0.157,0.359,0.213,0.265,0.349,0.117,0.223,0.402,0.029,0.025,0.408,0.162,0.478,0.02,0.034,0.301,0.02,0
"A Sergio Massa",0.093,0.106,0.078,0,0.12,0.103,0.135,0.151,0.034,0.071,0.204,0.06,0.032,0.206,0.044,0.009,0.058,0.238,0
"A algún candidato del peronismo",0.155,0.159,0.151,0.213,0.119,0.089,0.284,0.096,0.211,0.184,0.251,0.042,0.534,0.069,0.032,0.443,0.035,0.661,0
"A Cristina Fernández de Kirchner",0.499,0.578,0.412,0.574,0.496,0.459,0.464,0.53,0.353,0.716,0.52,0.49,0.272,0.247,0.904,0.514,0.606,0.081,1
