"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.163,0.193,0.135,0.128,0.164,0.125,0.295,0.248,0.104,0.115,0.251,0.13,0.176,0.023,0.142,0.282,0.171,0.197,0.006,6
"Buena",0.136,0.15,0.122,0.072,0.153,0.14,0.199,0.173,0.116,0.103,0.128,0.165,0.115,0.139,0.172,0.058,0.178,0.114,0.025,6
"Ni buena ni mala",0.209,0.188,0.229,0.164,0.209,0.269,0.186,0.18,0.247,0.18,0.179,0.234,0.372,0.206,0.131,0.142,0.265,0.132,0.222,6
"Mala",0.194,0.181,0.207,0.23,0.19,0.196,0.135,0.183,0.217,0.164,0.122,0.218,0.086,0.254,0.204,0.222,0.201,0.21,0.266,6
"Muy mala",0.255,0.244,0.265,0.344,0.252,0.227,0.146,0.156,0.283,0.41,0.312,0.21,0.222,0.216,0.346,0.285,0.135,0.328,0.481,6
"No sabe",0.043,0.044,0.042,0.062,0.032,0.043,0.039,0.06,0.033,0.028,0.008,0.043,0.029,0.162,0.005,0.011,0.05,0.019,0,6
"Positiva",0.299,0.343,0.257,0.2,0.317,0.265,0.494,0.421,0.22,0.218,0.379,0.295,0.291,0.162,0.314,0.34,0.349,0.311,0.031,4
"Neutra",0.209,0.188,0.229,0.164,0.209,0.269,0.186,0.18,0.247,0.18,0.179,0.234,0.372,0.206,0.131,0.142,0.265,0.132,0.222,4
"Negativa",0.449,0.425,0.472,0.574,0.442,0.423,0.281,0.339,0.5,0.574,0.434,0.428,0.308,0.47,0.55,0.507,0.336,0.538,0.747,4
"No sabe",0.043,0.044,0.042,0.062,0.032,0.043,0.039,0.06,0.033,0.028,0.008,0.043,0.029,0.162,0.005,0.011,0.05,0.019,0,4
