"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.091,0.13,0.052,0.094,0.087,0.063,0.143,0.163,0.037,0.058,0.099,0.07,0.081,0.019,0.049,0.252,0.121,0.093,0,6
"Buena",0.141,0.16,0.123,0.201,0.106,0.129,0.167,0.15,0.134,0.138,0.163,0.118,0.103,0.235,0.185,0.069,0.168,0.155,0.063,6
"Ni buena ni mala",0.343,0.29,0.395,0.251,0.357,0.365,0.415,0.364,0.364,0.251,0.374,0.337,0.482,0.36,0.32,0.254,0.385,0.299,0.152,6
"Mala",0.185,0.17,0.2,0.221,0.173,0.189,0.154,0.134,0.229,0.195,0.177,0.16,0.248,0.14,0.237,0.227,0.157,0.205,0.374,6
"Muy mala",0.186,0.177,0.193,0.205,0.212,0.186,0.076,0.132,0.192,0.286,0.142,0.218,0.049,0.201,0.195,0.195,0.102,0.197,0.411,6
"No sabe",0.054,0.073,0.037,0.028,0.065,0.068,0.045,0.057,0.044,0.072,0.045,0.097,0.037,0.045,0.014,0.003,0.067,0.051,0,6
"Positiva",0.232,0.29,0.175,0.295,0.193,0.192,0.31,0.313,0.171,0.196,0.262,0.188,0.184,0.254,0.234,0.321,0.289,0.248,0.063,4
"Neutra",0.343,0.29,0.395,0.251,0.357,0.365,0.415,0.364,0.364,0.251,0.374,0.337,0.482,0.36,0.32,0.254,0.385,0.299,0.152,4
"Negativa",0.371,0.347,0.393,0.426,0.385,0.375,0.23,0.266,0.421,0.481,0.319,0.378,0.297,0.341,0.432,0.422,0.259,0.402,0.785,4
"No sabe",0.054,0.073,0.037,0.028,0.065,0.068,0.045,0.057,0.044,0.072,0.045,0.097,0.037,0.045,0.014,0.003,0.067,0.051,0,4
