"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.125,0.1,0.149,0.201,0.108,0.086,0.112,0.167,0.11,0.066,0.162,0.164,0.103,0.136,0.041,0.054,0.103,0.177,0.017,6
"Buena",0.123,0.133,0.113,0.047,0.115,0.153,0.223,0.159,0.106,0.086,0.129,0.141,0.13,0.196,0.059,0.056,0.139,0.102,0.397,6
"Ni buena ni mala",0.219,0.249,0.19,0.196,0.223,0.223,0.242,0.23,0.221,0.191,0.202,0.192,0.262,0.225,0.211,0.285,0.261,0.202,0.101,6
"Mala",0.188,0.218,0.159,0.118,0.21,0.219,0.187,0.174,0.19,0.217,0.161,0.203,0.114,0.125,0.216,0.256,0.193,0.22,0.164,6
"Muy mala",0.272,0.221,0.323,0.313,0.288,0.265,0.168,0.187,0.3,0.392,0.296,0.221,0.342,0.198,0.452,0.251,0.211,0.261,0.289,6
"No sabe",0.073,0.079,0.066,0.125,0.056,0.054,0.068,0.083,0.073,0.048,0.05,0.079,0.049,0.12,0.021,0.098,0.093,0.038,0.032,6
"Positiva",0.248,0.233,0.262,0.248,0.223,0.239,0.335,0.326,0.216,0.152,0.291,0.305,0.233,0.332,0.1,0.11,0.242,0.279,0.414,4
"Neutra",0.219,0.249,0.19,0.196,0.223,0.223,0.242,0.23,0.221,0.191,0.202,0.192,0.262,0.225,0.211,0.285,0.261,0.202,0.101,4
"Negativa",0.46,0.439,0.482,0.431,0.498,0.484,0.355,0.361,0.49,0.609,0.457,0.424,0.456,0.323,0.668,0.507,0.404,0.481,0.453,4
"No sabe",0.073,0.079,0.066,0.125,0.056,0.054,0.068,0.083,0.073,0.048,0.05,0.079,0.049,0.12,0.021,0.098,0.093,0.038,0.032,4
