"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez"
"Javier Milei","Positiva",0.239,0.309,0.173,0.348,0.269,0.144,0.168,0.243,0.218,0.282,0.304,0.272,0.079,0.36,0.174,0.12,0.142
"Javier Milei","Neutra",0.246,0.276,0.217,0.282,0.224,0.241,0.265,0.279,0.229,0.216,0.181,0.262,0.292,0.218,0.157,0.365,0.185
"Javier Milei","Negativa",0.444,0.389,0.496,0.313,0.413,0.536,0.555,0.386,0.48,0.478,0.471,0.41,0.481,0.201,0.657,0.487,0.6
"Javier Milei","No sabe",0.071,0.026,0.114,0.057,0.094,0.079,0.012,0.092,0.073,0.024,0.044,0.056,0.148,0.221,0.012,0.028,0.073
"Horacio Rodriguez Larreta","Positiva",0.303,0.304,0.301,0.226,0.327,0.288,0.388,0.297,0.318,0.281,0.372,0.252,0.267,0.363,0.325,0.314,0.172
"Horacio Rodriguez Larreta","Neutra",0.175,0.16,0.19,0.176,0.186,0.192,0.11,0.196,0.144,0.203,0.269,0.163,0.219,0.135,0.072,0.22,0.179
"Horacio Rodriguez Larreta","Negativa",0.464,0.487,0.442,0.465,0.461,0.486,0.434,0.428,0.482,0.5,0.313,0.506,0.497,0.371,0.59,0.46,0.625
"Horacio Rodriguez Larreta","No sabe",0.058,0.049,0.067,0.133,0.026,0.034,0.068,0.079,0.056,0.016,0.046,0.079,0.017,0.131,0.013,0.006,0.024
"Sergio Massa","Positiva",0.191,0.193,0.189,0.047,0.137,0.255,0.455,0.205,0.194,0.156,0.172,0.196,0.383,0.056,0.248,0.158,0.293
"Sergio Massa","Neutra",0.281,0.262,0.299,0.271,0.291,0.308,0.218,0.336,0.264,0.203,0.224,0.278,0.318,0.404,0.193,0.305,0.385
"Sergio Massa","Negativa",0.464,0.491,0.437,0.597,0.486,0.396,0.316,0.37,0.479,0.626,0.528,0.463,0.299,0.34,0.554,0.513,0.266
"Sergio Massa","No sabe",0.064,0.054,0.075,0.085,0.086,0.041,0.011,0.089,0.063,0.015,0.076,0.063,0,0.2,0.005,0.024,0.056
"Alberto Fernandez","Positiva",0.299,0.319,0.28,0.167,0.299,0.377,0.384,0.388,0.265,0.184,0.268,0.309,0.229,0.408,0.243,0.288,0.4
"Alberto Fernandez","Neutra",0.204,0.2,0.208,0.259,0.161,0.221,0.213,0.195,0.216,0.196,0.192,0.204,0.444,0.179,0.058,0.243,0.304
"Alberto Fernandez","Negativa",0.475,0.473,0.477,0.516,0.537,0.374,0.399,0.371,0.518,0.605,0.525,0.484,0.276,0.413,0.601,0.455,0.288
"Alberto Fernandez","No sabe",0.022,0.008,0.035,0.058,0.003,0.028,0.004,0.046,0.001,0.015,0.015,0.003,0.051,0,0.098,0.014,0.008
"CFK","Positiva",0.403,0.423,0.385,0.346,0.362,0.461,0.514,0.401,0.391,0.438,0.335,0.416,0.361,0.466,0.346,0.466,0.635
"CFK","Neutra",0.08,0.091,0.068,0.052,0.101,0.086,0.047,0.128,0.045,0.057,0.05,0.104,0.214,0,0.02,0.105,0.091
"CFK","Negativa",0.493,0.473,0.512,0.55,0.523,0.428,0.433,0.419,0.557,0.502,0.615,0.458,0.425,0.534,0.543,0.409,0.273
"CFK","No sabe",0.024,0.013,0.035,0.052,0.014,0.025,0.006,0.052,0.007,0.003,0,0.022,0,0,0.091,0.02,0.001
"Patricia Bullrich","Positiva",0.292,0.33,0.257,0.297,0.299,0.242,0.356,0.306,0.269,0.318,0.406,0.287,0.073,0.283,0.242,0.376,0.126
"Patricia Bullrich","Neutra",0.142,0.157,0.128,0.166,0.131,0.128,0.164,0.097,0.176,0.157,0.2,0.153,0.207,0.038,0.159,0.081,0.111
"Patricia Bullrich","Negativa",0.501,0.469,0.531,0.441,0.499,0.576,0.46,0.5,0.502,0.5,0.332,0.483,0.72,0.471,0.594,0.543,0.699
"Patricia Bullrich","No sabe",0.065,0.044,0.084,0.096,0.071,0.054,0.02,0.097,0.053,0.025,0.062,0.077,0,0.208,0.005,0,0.064
"Mauricio Macri","Positiva",0.235,0.238,0.233,0.255,0.247,0.171,0.286,0.193,0.283,0.216,0.217,0.268,0.162,0.254,0.218,0.203,0.076
"Mauricio Macri","Neutra",0.126,0.133,0.119,0.143,0.114,0.115,0.155,0.116,0.116,0.167,0.176,0.11,0.106,0.102,0.178,0.096,0.086
"Mauricio Macri","Negativa",0.61,0.582,0.637,0.573,0.605,0.679,0.553,0.637,0.585,0.608,0.569,0.582,0.732,0.601,0.599,0.685,0.809
"Mauricio Macri","No sabe",0.029,0.047,0.011,0.029,0.034,0.035,0.006,0.054,0.016,0.009,0.038,0.04,0,0.043,0.005,0.016,0.029
