"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Al candidato del Frente de Todos",0.314,0.356,0.272,0.253,0.253,0.366,0.489,0.404,0.26,0.247,0.312,0.298,0.479,0.136,0.295,0.463,0.513,0.145,0.012
"Al candidato de Juntos por el Cambio",0.205,0.187,0.222,0.145,0.238,0.168,0.264,0.144,0.241,0.253,0.24,0.17,0.09,0.319,0.166,0.25,0.125,0.433,0.082
"Al candidato de la Izquierda",0.085,0.078,0.093,0.081,0.1,0.066,0.082,0.107,0.057,0.102,0.077,0.086,0.042,0.08,0.175,0.037,0.041,0.116,0.071
"A otro candidato",0.186,0.176,0.196,0.274,0.177,0.19,0.072,0.105,0.218,0.281,0.22,0.186,0.151,0.257,0.162,0.118,0.131,0.155,0.331
"No sabe",0.21,0.203,0.217,0.247,0.232,0.21,0.093,0.24,0.224,0.117,0.151,0.26,0.238,0.208,0.202,0.132,0.19,0.151,0.504
