"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.073,0.089,0.056,0.095,0.071,0.068,0.052,0.082,0.049,0.109,0.125,0.072,0.02,0.052,0.107,0.034,0.027,0.175,0.006,6
"Buena",0.091,0.103,0.079,0.16,0.065,0.08,0.077,0.064,0.125,0.072,0.108,0.076,0.061,0.066,0.14,0.106,0.057,0.171,0.021,6
"Ni buena ni mala",0.315,0.29,0.34,0.156,0.387,0.344,0.303,0.313,0.315,0.317,0.344,0.312,0.43,0.365,0.205,0.274,0.344,0.265,0.456,6
"Mala",0.085,0.117,0.053,0.095,0.083,0.057,0.126,0.073,0.095,0.09,0.049,0.083,0.116,0.006,0.059,0.21,0.113,0.06,0.05,6
"Muy mala",0.154,0.087,0.222,0.252,0.106,0.139,0.165,0.149,0.152,0.167,0.154,0.09,0.238,0.137,0.331,0.134,0.132,0.142,0.188,6
"No sabe",0.282,0.314,0.25,0.242,0.288,0.312,0.277,0.319,0.264,0.245,0.22,0.367,0.135,0.374,0.158,0.242,0.327,0.187,0.279,6
"Positiva",0.164,0.192,0.135,0.255,0.136,0.148,0.129,0.146,0.174,0.181,0.233,0.148,0.081,0.118,0.247,0.14,0.084,0.346,0.027,4
"Neutra",0.315,0.29,0.34,0.156,0.387,0.344,0.303,0.313,0.315,0.317,0.344,0.312,0.43,0.365,0.205,0.274,0.344,0.265,0.456,4
"Negativa",0.239,0.204,0.275,0.347,0.189,0.196,0.291,0.222,0.247,0.257,0.203,0.173,0.354,0.143,0.39,0.344,0.245,0.202,0.238,4
"No sabe",0.282,0.314,0.25,0.242,0.288,0.312,0.277,0.319,0.264,0.245,0.22,0.367,0.135,0.374,0.158,0.242,0.327,0.187,0.279,4
