"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.035,0.031,0.04,0.1,0.013,0.012,0.038,0.031,0.035,0.046,0.07,0.012,0.053,0.064,0.036,0.021,0.028,0.052,0,6
"Buena",0.046,0.045,0.048,0.077,0.04,0.036,0.034,0.059,0.043,0.029,0.04,0.046,0.025,0.121,0.026,0.014,0.039,0.07,0.009,6
"Ni buena ni mala",0.338,0.357,0.319,0.234,0.385,0.371,0.31,0.292,0.358,0.388,0.303,0.391,0.429,0.224,0.32,0.319,0.341,0.368,0.39,6
"Mala",0.094,0.127,0.059,0.081,0.106,0.048,0.156,0.135,0.08,0.039,0.084,0.069,0.159,0,0.053,0.253,0.098,0.118,0.109,6
"Muy mala",0.106,0.095,0.117,0.17,0.081,0.094,0.096,0.131,0.092,0.085,0.051,0.072,0,0.172,0.189,0.171,0.067,0.083,0.223,6
"No sabe",0.381,0.345,0.417,0.338,0.375,0.439,0.366,0.352,0.392,0.413,0.452,0.41,0.334,0.419,0.376,0.222,0.427,0.309,0.269,6
"Positiva",0.081,0.076,0.088,0.177,0.053,0.048,0.072,0.09,0.078,0.075,0.11,0.058,0.078,0.185,0.062,0.035,0.067,0.122,0.009,4
"Neutra",0.338,0.357,0.319,0.234,0.385,0.371,0.31,0.292,0.358,0.388,0.303,0.391,0.429,0.224,0.32,0.319,0.341,0.368,0.39,4
"Negativa",0.2,0.222,0.176,0.251,0.187,0.142,0.252,0.266,0.172,0.124,0.135,0.141,0.159,0.172,0.242,0.424,0.165,0.201,0.332,4
"No sabe",0.381,0.345,0.417,0.338,0.375,0.439,0.366,0.352,0.392,0.413,0.452,0.41,0.334,0.419,0.376,0.222,0.427,0.309,0.269,4
