"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","Fernandez","Macri","Lavagna"
"Javier Milei","Muy buena",0.141,0.205,0.08,0.239,0.181,0.035,0.073,0.146,0.13,0.158,0.146,0.183,0.049,0.174,0.111,0.067,0.078,0.194,0.034
"Javier Milei","Buena",0.098,0.104,0.093,0.109,0.088,0.109,0.095,0.097,0.088,0.124,0.158,0.089,0.03,0.186,0.063,0.053,0.064,0.117,0.582
"Javier Milei","Ni buena ni mala",0.246,0.276,0.217,0.282,0.224,0.241,0.265,0.279,0.229,0.216,0.181,0.262,0.292,0.218,0.157,0.365,0.185,0.373,0.198
"Javier Milei","Mala",0.136,0.139,0.134,0.066,0.147,0.139,0.199,0.121,0.173,0.085,0.151,0.129,0.139,0.108,0.185,0.111,0.188,0.112,0.058
"Javier Milei","Muy mala",0.308,0.25,0.362,0.247,0.266,0.397,0.356,0.265,0.307,0.393,0.32,0.281,0.342,0.093,0.472,0.376,0.412,0.176,0.128
"Javier Milei","No sabe",0.071,0.026,0.114,0.057,0.094,0.079,0.012,0.092,0.073,0.024,0.044,0.056,0.148,0.221,0.012,0.028,0.073,0.028,0
"Horacio Rodriguez Larreta","Muy buena",0.169,0.147,0.19,0.127,0.187,0.145,0.232,0.222,0.127,0.153,0.206,0.137,0.183,0.244,0.147,0.162,0.088,0.351,0.11
"Horacio Rodriguez Larreta","Buena",0.134,0.157,0.111,0.099,0.14,0.143,0.156,0.075,0.191,0.128,0.166,0.115,0.084,0.119,0.178,0.152,0.084,0.237,0.228
"Horacio Rodriguez Larreta","Ni buena ni mala",0.175,0.16,0.19,0.176,0.186,0.192,0.11,0.196,0.144,0.203,0.269,0.163,0.219,0.135,0.072,0.22,0.179,0.15,0.505
"Horacio Rodriguez Larreta","Mala",0.152,0.213,0.094,0.085,0.193,0.132,0.178,0.172,0.148,0.117,0.105,0.168,0.195,0.124,0.126,0.185,0.215,0.089,0.087
"Horacio Rodriguez Larreta","Muy mala",0.312,0.274,0.348,0.38,0.268,0.354,0.256,0.256,0.334,0.383,0.208,0.338,0.302,0.247,0.464,0.275,0.41,0.13,0.07
"Horacio Rodriguez Larreta","No sabe",0.058,0.049,0.067,0.133,0.026,0.034,0.068,0.079,0.056,0.016,0.046,0.079,0.017,0.131,0.013,0.006,0.024,0.043,0
