"var","categoria","El gobierno nacional","El gobierno provincial anterior del MPN","El actual gobierno provincial de Rolo Figueroa","Todos igual","No sabe"
"P08","Siempre",0.348,0.142,0.294,0.177,0.232
"P08","Casi siempre",0.326,0.366,0.367,0.323,0.244
"P08","Casi nunca",0.221,0.368,0.23,0.335,0.185
"P08","Nunca, pero esta es una excepción",0.105,0.124,0.109,0.165,0.339
"P09","Muy buena",0.264,0.138,0.041,0.069,0.065
"P09","Buena",0.31,0.276,0.112,0.192,0.331
"P09","Ni buena ni mala",0.296,0.395,0.297,0.474,0.353
"P09","Mala",0.106,0.122,0.412,0.136,0.106
"P09","Muy mala",0.016,0.05,0.134,0.118,0.031
"P09","No sabe",0.008,0.019,0.004,0.011,0.114
"P10","Muy buena",0.298,0.196,0.054,0.11,0.249
"P10","Buena",0.326,0.349,0.154,0.203,0.316
"P10","Ni buena ni mala",0.274,0.285,0.361,0.396,0.336
"P10","Mala",0.075,0.11,0.223,0.14,0.02
"P10","Muy mala",0.014,0.049,0.185,0.102,0
"P10","No sabe",0.013,0.011,0.023,0.049,0.079
"P13","Si",0.518,0.719,0.681,0.52,0.344
"P13","No",0.273,0.117,0.171,0.113,0.188
"P13","No sabe",0.209,0.164,0.148,0.367,0.468
"P14","Si",0.552,0.751,0.715,0.625,0.456
"P14","No",0.266,0.104,0.096,0.179,0.191
"P14","No sabe",0.182,0.145,0.189,0.196,0.353
"P15","Si",0.605,0.848,0.724,0.648,0.462
"P15","No",0.27,0.108,0.149,0.086,0.223
"P15","No sabe",0.125,0.044,0.127,0.266,0.315
"P16","Si",0.587,0.552,0.541,0.561,0.331
"P16","No",0.298,0.365,0.362,0.253,0.301
"P16","No sabe",0.115,0.083,0.097,0.186,0.368
"P18","Es un logro muy importante del Gobierno provincial",0.345,0.247,0.068,0.224,0.273
"P18","Está bien, pero es insuficiente para resolver la situación de emergencia",0.484,0.552,0.455,0.467,0.211
"P18","No alcanza para nada y son negocios del gobierno Provincial",0.123,0.114,0.354,0.182,0.152
