"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","Figueroa","Koopmam","Rioseco","Eguía","Massa","Milei","Neuquén","Otra localidad"
"El gobierno de Javier Milei",0.272,0.269,0.275,0.201,0.265,0.338,0.291,0.261,0.218,0.352,0.27,0.21,0.526,0.094,0.55,0.09,0.297,0.248
"El gobierno de Alberto Fernández",0.561,0.555,0.567,0.629,0.556,0.529,0.523,0.582,0.588,0.506,0.553,0.616,0.328,0.808,0.268,0.723,0.545,0.576
"Ambos",0.141,0.135,0.148,0.145,0.145,0.112,0.176,0.104,0.171,0.135,0.135,0.172,0.128,0.094,0.163,0.163,0.142,0.14
"No sabe",0.026,0.041,0.01,0.025,0.034,0.021,0.01,0.053,0.023,0.007,0.042,0.002,0.018,0.004,0.019,0.024,0.016,0.036
