"var","categoria","Javier Milei por la Libertad Avanza","Patricia Bullrich por Juntos por el Cambio","En blanco","No sabe"
"P04","Siempre",0.236,0.255,0.24,0.234
"P04","Casi siempre",0.38,0.451,0.478,0.421
"P04","Casi nunca",0.324,0.216,0.252,0.281
"P04","Nunca, pero esta es una excepción",0.06,0.078,0.03,0.064
"P06","Del Frente de Todos y el peronismo",0.087,0.062,0.796,0.626
"P06","De Juntos por el cambio",0.199,0.627,0.053,0.138
"P06","De los Liberales libertarios",0.626,0.255,0.02,0.031
"P06","De la Izquierda",0.015,0.009,0.063,0.043
"P06","No sabe",0.073,0.047,0.068,0.162
"P07","A Sergio Massa",0.43,0.42,0.236,0.154
"P07","A Daniel Scioli",0.253,0.053,0.067,0.171
"P07","A algún candidato del peronismo",0.056,0.272,0.043,0.068
"P07","A algún candidato del kirchnerismo",0.261,0.255,0.654,0.607
"P08","A Sergio Massa",0.285,0.257,0.137,0.165
"P08","A Daniel Scioli",0.253,0.044,0.029,0.13
"P08","A algún candidato del peronismo",0.079,0.276,0.052,0.045
"P08","A Cristina Fernández de Kirchner",0.383,0.423,0.782,0.66
"P09","A Horacio Rodriguez Larreta",0.258,0.139,0.224,0.388
"P09","A Patricia Bullrich",0.597,0.766,0.184,0.197
"P09","A Facundo Manes",0.062,0.048,0.512,0.301
"P09","A Gerardo Morales",0.083,0.047,0.08,0.114
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.073,0.049,0.722,0.537
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.14,0.534,0.031,0.082
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.107,0.149,0.03,0.056
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.627,0.216,0.019,0.04
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.005,0.067,0.032
"P10","En blanco",0.009,0.005,0.042,0.031
"P10","No sabe",0.025,0.042,0.089,0.222
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.574,0.2,0.028,0.046
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.095,0.061,0.677,0.535
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.136,0.446,0.038,0.078
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.131,0.186,0.029,0.042
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.021,0.034,0.034,0.036
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.013,0.027,0.015,0.042
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.01,0.083,0.073
"P11","En blanco",0.002,0.005,0.03,0.009
"P11","No sabe",0.012,0.031,0.066,0.139
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.096,0.061,0.613,0.466
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.112,0.434,0.036,0.093
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.151,0.199,0.036,0.058
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.03,0.043,0.03,0.037
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.015,0.027,0.012,0.028
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.566,0.2,0.056,0.049
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.004,0.072,0.042
"P12","En blanco",0.007,0.004,0.066,0.022
"P12","No sabe",0.012,0.028,0.079,0.205
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.195,0.102,0.455,0.327
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.103,0.373,0.158,0.172
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.108,0.207,0.058,0.108
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.065,0.141,0.056,0.085
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.028,0.041,0.019,0.032
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.465,0.103,0.022,0.026
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.005,0.077,0.047
"P16","En blanco",0.007,0.006,0.07,0.003
"P16","No sabe",0.017,0.022,0.085,0.2
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.081,0.052,0.746,0.559
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.13,0.517,0.03,0.071
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.103,0.158,0.034,0.067
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.641,0.223,0.01,0.028
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.007,0.072,0.032
"P17","En blanco",0.006,0.011,0.048,0.025
"P17","No sabe",0.023,0.032,0.06,0.218
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.611,0.178,0.035,0.051
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.086,0.067,0.695,0.498
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.135,0.531,0.035,0.078
