"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Si",0.591,0.608,0.574,0.526,0.619,0.62,0.55,0.607,0.571,0.602,0.606,0.559,0.607,0.605,0.561
"No",0.409,0.392,0.426,0.474,0.381,0.38,0.45,0.393,0.429,0.398,0.394,0.441,0.393,0.395,0.439
