"var","categoria","Agustín Rossi por el Frente de Todos","Patricia Bullrich por Juntos por el Cambio","En blanco","No sabe"
"P04","Siempre",0.25,0.238,0.251,0.247
"P04","Casi siempre",0.448,0.455,0.383,0.395
"P04","Casi nunca",0.267,0.24,0.281,0.282
"P04","Nunca, pero esta es una excepción",0.035,0.067,0.085,0.076
"P06","Del Frente de Todos y el peronismo",0.853,0.035,0.202,0.221
"P06","De Juntos por el cambio",0.051,0.582,0.108,0.162
"P06","De los Liberales libertarios",0.042,0.326,0.478,0.343
"P06","De la Izquierda",0.024,0.009,0.082,0.057
"P06","No sabe",0.03,0.048,0.13,0.217
"P07","A Sergio Massa",0.261,0.081,0.257,0.083
"P07","A Daniel Scioli",0.094,0.136,0.079,0.09
"P07","A algún candidato del peronismo",0.037,0.506,0.109,0.093
"P07","A algún candidato del kirchnerismo",0.608,0.277,0.555,0.734
"P08","A Sergio Massa",0.174,0.064,0.185,0.053
"P08","A Daniel Scioli",0.045,0.136,0.085,0.123
"P08","A algún candidato del peronismo",0.033,0.523,0.225,0.033
"P08","A Cristina Fernández de Kirchner",0.748,0.277,0.505,0.791
"P09","A Horacio Rodriguez Larreta",0.066,0.152,0.323,0.244
"P09","A Patricia Bullrich",0.236,0.776,0.226,0.479
"P09","A Facundo Manes",0.499,0.034,0.3,0.188
"P09","A Gerardo Morales",0.199,0.038,0.151,0.089
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.825,0.01,0.132,0.149
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.01,0.495,0.079,0.111
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.023,0.163,0.042,0.08
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.038,0.275,0.542,0.367
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.035,0.008,0.08,0.018
"P10","En blanco",0.007,0.006,0.078,0.027
"P10","No sabe",0.062,0.043,0.047,0.248
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.048,0.256,0.477,0.356
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.786,0.028,0.136,0.152
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.027,0.421,0.067,0.101
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.019,0.201,0.066,0.066
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.025,0.025,0.052,0.034
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0.024,0.035,0.052
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.046,0.016,0.069,0.066
"P11","En blanco",0.006,0.005,0.05,0.002
"P11","No sabe",0.039,0.024,0.048,0.171
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.735,0.041,0.065,0.109
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.034,0.392,0.066,0.131
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.024,0.212,0.1,0.083
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.025,0.038,0.036,0.051
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0.027,0.026,0.023
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.076,0.256,0.481,0.319
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.035,0.007,0.084,0.026
"P12","En blanco",0.02,0.006,0.079,0.019
"P12","No sabe",0.047,0.021,0.063,0.239
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.494,0.086,0.231,0.202
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.204,0.325,0.044,0.119
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.065,0.193,0.081,0.112
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.063,0.125,0.077,0.072
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.018,0.039,0.028,0.036
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.032,0.2,0.324,0.202
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.047,0.005,0.078,0.022
"P16","En blanco",0.014,0.007,0.084,0.033
"P16","No sabe",0.063,0.02,0.053,0.202
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.855,0.016,0.135,0.141
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.01,0.472,0.082,0.125
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.018,0.174,0.062,0.069
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.033,0.289,0.507,0.371
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.043,0.007,0.078,0.019
"P17","En blanco",0.008,0.011,0.081,0.021
"P17","No sabe",0.033,0.031,0.055,0.254
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.061,0.251,0.475,0.35
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.796,0.038,0.103,0.129
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.016,0.474,0.105,0.151
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.024,0.186,0.087,0.067
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.031,0.008,0.054,0.02
"P18","En blanco",0.01,0.014,0.109,0.042
"P18","No sabe",0.062,0.029,0.067,0.241
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.754,0.019,0.13,0.128
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.047,0.471,0.115,0.128
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.029,0.208,0.054,0.063
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.043,0.254,0.5,0.356
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.049,0.007,0.056,0.018
"P19","En blanco",0.015,0.01,0.096,0.04
"P19","No sabe",0.063,0.031,0.049,0.267
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.836,0.021,0.149,0.156
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.016,0.61,0.08,0.111
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.04,0.302,0.538,0.39
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.048,0.012,0.064,0.029
