"var","categoria","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.248,0.244,0.215,0.145,0.139,0.196
"P04","Casi siempre",0.416,0.45,0.349,0.44,0.409,0.417
"P04","Casi nunca",0.264,0.25,0.316,0.318,0.316,0.307
"P04","Nunca, pero esta es una excepción",0.072,0.056,0.12,0.097,0.136,0.08
"P06","Del Frente de Todos y el peronismo",0.859,0.06,0.042,0.237,0.291,0.271
"P06","De Juntos por el cambio",0.064,0.776,0.075,0.044,0.181,0.247
"P06","De los Liberales libertarios",0.024,0.1,0.821,0.088,0.104,0.042
"P06","De la Izquierda",0.014,0.008,0.015,0.473,0.05,0.046
"P06","No sabe",0.039,0.056,0.047,0.158,0.374,0.394
"P07","A Sergio Massa",0.299,0.034,0.407,0.401,0.044,0.037
"P07","A Daniel Scioli",0.113,0.169,0.254,0,0,0.091
"P07","A algún candidato del peronismo",0.047,0.357,0.228,0.034,0.037,0.201
"P07","A algún candidato del kirchnerismo",0.541,0.44,0.111,0.565,0.919,0.671
"P08","A Sergio Massa",0.217,0,0.24,0,0.044,0.008
"P08","A Daniel Scioli",0.052,0.191,0.224,0,0,0.03
"P08","A algún candidato del peronismo",0.036,0.369,0.178,0,0.037,0.246
"P08","A Cristina Fernández de Kirchner",0.695,0.44,0.358,1,0.919,0.716
"P09","A Horacio Rodriguez Larreta",0.069,0.114,0.205,0.181,0.323,0.531
"P09","A Patricia Bullrich",0.217,0.817,0.552,0.065,0.221,0.3
"P09","A Facundo Manes",0.588,0.028,0.139,0.524,0.228,0.12
"P09","A Gerardo Morales",0.126,0.041,0.104,0.23,0.228,0.049
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.87,0.009,0.013,0.124,0.11,0.085
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.018,0.724,0.058,0.04,0.013,0.068
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.02,0.169,0.047,0.038,0.137,0.2
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.031,0.057,0.845,0.079,0.077,0.037
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.005,0.014,0.594,0.04,0.02
"P10","En blanco",0.01,0.01,0.007,0.065,0.471,0.055
"P10","No sabe",0.042,0.026,0.016,0.06,0.152,0.535
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.049,0.038,0.765,0.037,0.065,0.022
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.813,0.043,0.041,0.139,0.067,0.082
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.04,0.595,0.064,0.033,0.043,0.084
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.023,0.227,0.088,0.034,0.136,0.16
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.027,0.029,0.015,0.166,0.072,0.067
