"var","categoria","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P23","En blanco",0.013,0.011,0.035,0.033,0.094,0.008,0.042,0.453,0.045
"P23","No sabe",0.02,0.025,0.094,0.108,0.224,0.02,0.09,0.199,0.643
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.628,0.276,0.178,0.206,0.103,0.047,0.202,0.231,0.24
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.073,0.346,0.587,0.283,0.369,0.056,0.042,0.027,0.053
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.238,0.171,0.176,0.314,0.154,0.853,0.049,0.061,0.09
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.021,0.007,0.014,0.117,0.008,0.659,0.003,0.005
"P24","En blanco",0.016,0.054,0.018,0.084,0.106,0.009,0.011,0.538,0.039
"P24","No sabe",0.034,0.132,0.034,0.099,0.151,0.027,0.037,0.14,0.573
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.642,0.233,0.114,0.197,0.131,0.081,0.081,0.212,0.168
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.118,0.379,0.609,0.305,0.375,0.032,0.065,0.017,0.058
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.204,0.202,0.206,0.261,0.156,0.83,0.039,0.066,0.089
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.024,0.009,0.011,0.055,0.015,0.659,0.053,0.01
"P27","En blanco",0.016,0.062,0.022,0.107,0.172,0.014,0.081,0.528,0.061
"P27","No sabe",0.013,0.1,0.04,0.119,0.111,0.028,0.075,0.124,0.614
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.582,0.25,0.13,0.152,0.09,0.044,0.251,0.15,0.226
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.095,0.608,0.552,0.442,0.349,0.107,0.026,0.109,0.081
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.228,0.065,0.17,0.217,0.143,0.813,0.031,0.057,0.084
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.015,0.013,0.019,0.055,0.002,0.639,0.06,0.002
"P28","En blanco",0.018,0.02,0.043,0.079,0.156,0.01,0.02,0.508,0.085
"P28","No sabe",0.062,0.042,0.092,0.091,0.207,0.024,0.033,0.116,0.522
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.593,0.219,0.124,0.162,0.1,0.124,0.178,0.164,0.212
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.096,0.424,0.594,0.306,0.326,0.023,0.028,0.05,0.085
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.223,0.2,0.21,0.332,0.185,0.804,0.039,0.129,0.061
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.009,0.012,0.018,0.059,0.006,0.666,0.003,0.01
"P29","En blanco",0.018,0.046,0.017,0.082,0.089,0.016,0.051,0.549,0.068
"P29","No sabe",0.053,0.102,0.043,0.1,0.241,0.027,0.038,0.105,0.564
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.585,0.273,0.186,0.183,0.113,0.057,0.23,0.253,0.321
