"var","categoria","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.244,0.252,0.218,0.19,0.174,0.174
"P04","Casi siempre",0.428,0.432,0.371,0.394,0.423,0.406
"P04","Casi nunca",0.267,0.243,0.305,0.328,0.293,0.341
"P04","Nunca, pero esta es una excepción",0.061,0.073,0.106,0.088,0.11,0.079
"P06","Del Frente de Todos y el peronismo",0.75,0.113,0.127,0.286,0.286,0.324
"P06","De Juntos por el cambio",0.112,0.671,0.128,0.024,0.155,0.211
"P06","De los Liberales libertarios",0.083,0.154,0.694,0.087,0.075,0.039
"P06","De la Izquierda",0.016,0.011,0.01,0.471,0.048,0.034
"P06","No sabe",0.039,0.051,0.041,0.132,0.436,0.392
"P07","A Sergio Massa",0.265,0.443,0.402,0.267,0.115,0.148
"P07","A Daniel Scioli",0.12,0.089,0.128,0.143,0.012,0.067
"P07","A algún candidato del peronismo",0.053,0.134,0.179,0,0.079,0.098
"P07","A algún candidato del kirchnerismo",0.562,0.334,0.291,0.59,0.794,0.687
"P08","A Sergio Massa",0.195,0.321,0.17,0,0.084,0.09
"P08","A Daniel Scioli",0.064,0.089,0.05,0.143,0.012,0.017
"P08","A algún candidato del peronismo",0.03,0.093,0.214,0,0.11,0.185
"P08","A Cristina Fernández de Kirchner",0.711,0.497,0.566,0.857,0.794,0.708
"P09","A Horacio Rodriguez Larreta",0.142,0.134,0.125,0.118,0.413,0.426
"P09","A Patricia Bullrich",0.419,0.797,0.611,0.393,0.226,0.3
"P09","A Facundo Manes",0.403,0.027,0.176,0.295,0.248,0.208
"P09","A Gerardo Morales",0.036,0.042,0.088,0.194,0.113,0.066
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.714,0.095,0.1,0.173,0.152,0.204
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.072,0.593,0.115,0.008,0.056,0.084
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.029,0.16,0.047,0.037,0.159,0.172
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.098,0.117,0.697,0.102,0.056,0.029
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.003,0.009,0.58,0.065,0.014
"P10","En blanco",0.017,0.006,0.009,0.056,0.386,0.061
"P10","No sabe",0.058,0.026,0.023,0.044,0.126,0.436
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.103,0.099,0.631,0.052,0.091,0.026
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.689,0.108,0.121,0.179,0.136,0.15
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.079,0.495,0.116,0.006,0.06,0.067
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.031,0.213,0.086,0.036,0.145,0.149
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.027,0.028,0.018,0.153,0.073,0.065
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.011,0.019,0.006,0.048,0.207,0.038
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.013,0.013,0.007,0.48,0.027,0.136
"P11","En blanco",0.011,0.001,0.002,0.034,0.201,0.021
"P11","No sabe",0.036,0.024,0.013,0.012,0.06,0.348
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.624,0.098,0.116,0.202,0.107,0.15
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.066,0.485,0.094,0.025,0.083,0.102
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.064,0.197,0.122,0.038,0.164,0.124
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.023,0.042,0.021,0.065,0.051,0.099
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.022,0.01,0.01,0.093,0.043
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.118,0.124,0.608,0.041,0.032,0.027
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.004,0.001,0.012,0.529,0.056,0.042
"P12","En blanco",0.024,0.008,0.006,0.071,0.344,0.042
"P12","No sabe",0.072,0.023,0.011,0.019,0.07,0.371
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.567,0.093,0.189,0.088,0.096,0.055
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.18,0.431,0.102,0.082,0.07,0.057
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.058,0.218,0.1,0.041,0.128,0.127
