"var","categoria","A Horacio Rodriguez Larreta","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.003,0.002,0.012,0.014
"P23","En blanco",0.06,0.008,0.066,0.053
"P23","No sabe",0.182,0.029,0.161,0.09
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.049,0.045,0.36,0.296
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.772,0.543,0.366,0.537
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.138,0.165,0.08,0.017
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0,0.001,0.004,0.014
"P24","En blanco",0.027,0.07,0.134,0.026
"P24","No sabe",0.014,0.176,0.056,0.11
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.023,0.04,0.303,0.067
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.855,0.567,0.426,0.647
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.066,0.2,0.052,0.143
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.005,0.003,0.011,0
"P27","En blanco",0.032,0.081,0.131,0.046
"P27","No sabe",0.019,0.109,0.077,0.097
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.022,0.01,0.272,0.078
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.697,0.879,0.346,0.659
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.035,0.051,0.048,0.14
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0,0.001,0.012,0
"P28","En blanco",0.083,0.02,0.183,0.054
"P28","No sabe",0.163,0.039,0.139,0.069
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.023,0.038,0.331,0.069
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.805,0.609,0.445,0.717
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.065,0.18,0.053,0.146
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0,0.003,0.005,0
"P29","En blanco",0.033,0.058,0.091,0.036
"P29","No sabe",0.074,0.112,0.075,0.032
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.08,0.081,0.339,0.24
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.641,0.822,0.324,0.486
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.055,0.069,0.152,0.161
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0,0,0.005,0
"P30","En blanco",0.052,0.012,0.098,0.059
"P30","No sabe",0.172,0.016,0.082,0.054
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.024,0.038,0.336,0.07
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.791,0.614,0.336,0.644
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.086,0.192,0.137,0.149
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0,0.001,0.005,0
"P33","En blanco",0.018,0.076,0.08,0.051
"P33","No sabe",0.081,0.079,0.106,0.086
"P34","Sergio Massa por el Frente de Todos",0.023,0.019,0.438,0.091
