"var","categoria","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.202,0.239,0.232,0.227,0.135,0.23,0.173
"P04","Casi siempre",0.31,0.407,0.447,0.452,0.475,0.354,0.393
"P04","Casi nunca",0.356,0.282,0.253,0.237,0.311,0.281,0.354
"P04","Nunca, pero esta es una excepción",0.132,0.072,0.068,0.084,0.079,0.135,0.08
"P06","Del Frente de Todos y el peronismo",0.058,0.831,0.061,0.124,0.202,0.255,0.355
"P06","De Juntos por el cambio",0.096,0.074,0.665,0.629,0.095,0.122,0.15
"P06","De los Liberales libertarios",0.769,0.031,0.206,0.101,0.061,0.154,0.042
"P06","De la Izquierda",0.019,0.012,0.017,0.016,0.551,0.069,0.083
"P06","No sabe",0.058,0.052,0.051,0.13,0.091,0.4,0.37
"P07","A Sergio Massa",0.36,0.277,0.229,0.332,0.378,0.284,0.131
"P07","A Daniel Scioli",0.083,0.098,0.172,0.479,0.017,0.052,0.097
"P07","A algún candidato del peronismo",0.059,0.064,0.575,0.12,0.091,0.043,0.185
"P07","A algún candidato del kirchnerismo",0.498,0.561,0.024,0.069,0.514,0.621,0.587
"P08","A Sergio Massa",0.197,0.188,0.011,0.197,0.072,0.271,0.073
"P08","A Daniel Scioli",0.081,0.043,0.219,0.16,0.037,0.062,0.065
"P08","A algún candidato del peronismo",0.061,0.042,0.588,0.398,0.092,0.018,0.173
"P08","A Cristina Fernández de Kirchner",0.661,0.727,0.182,0.245,0.799,0.649,0.689
"P09","A Horacio Rodriguez Larreta",0.168,0.074,0.067,0.497,0.076,0.071,0.051
"P09","A Patricia Bullrich",0.529,0.707,0.877,0.344,0.306,0.446,0.578
"P09","A Facundo Manes",0.113,0.194,0.025,0.079,0.475,0.371,0.205
"P09","A Gerardo Morales",0.19,0.025,0.031,0.08,0.143,0.112,0.166
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.053,0.797,0.025,0.086,0.144,0.141,0.196
