"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P04","Siempre",0.294,0.278,0.2,0.199
"P04","Casi siempre",0.3,0.414,0.318,0.421
"P04","Casi nunca",0.32,0.24,0.386,0.302
"P04","Nunca, pero esta es una excepción",0.086,0.068,0.096,0.078
"P08","A Sergio Massa",0.526,0.083,0.175,0.021
"P08","A Daniel Scioli",0.024,0.491,0.019,0.001
"P08","A algún candidato del peronismo",0.039,0.053,0.514,0.018
"P08","A Cristina Fernández de Kirchner",0.411,0.373,0.292,0.96
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.866,0.792,0.484,0.785
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.003,0.026,0.133,0.012
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.008,0.009,0.029,0.001
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.05,0.082,0.029,0.018
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.018,0,0.017,0.008
"P10","En blanco",0.003,0.061,0.029,0.026
"P10","No sabe",0.052,0.03,0.279,0.15
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.03,0.018,0.066,0.059
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.815,0.733,0.446,0.69
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.049,0.102,0.129,0.024
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.002,0.014,0.095,0.002
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.042,0.012,0.01,0.006
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0,0,0.012
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.011,0.026,0.024
"P11","En blanco",0.009,0.008,0.037,0.032
"P11","No sabe",0.034,0.102,0.191,0.151
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.658,0.718,0.395,0.735
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.031,0.02,0.133,0.027
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.088,0.127,0.013,0.014
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.023,0,0.041,0.002
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.008,0.002,0,0.002
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.051,0.028,0.047,0.018
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.004,0.017,0.01
"P12","En blanco",0.025,0.014,0.055,0.04
"P12","No sabe",0.101,0.087,0.299,0.152
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.727,0.915,0.545,0.701
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.042,0.042,0.12,0.038
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.03,0.023,0.042,0.006
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.037,0.009,0.02,0.015
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.003,0.004,0.002
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.01,0,0.013,0.018
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.034,0,0.013,0.024
"P16","En blanco",0.004,0.003,0.033,0.034
"P16","No sabe",0.111,0.005,0.21,0.162
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.866,0.795,0.512,0.829
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.012,0.035,0.131,0.011
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.011,0.017,0.009,0
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.025,0.013,0.06,0.009
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.057,0.014,0.027
"P17","En blanco",0.029,0,0.026,0.019
"P17","No sabe",0.047,0.083,0.248,0.105
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.087,0.053,0.042,0.06
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.766,0.708,0.526,0.767
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.019,0.037,0.142,0.001
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.02,0.077,0.022,0.002
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.026,0.003,0.019,0.017
"P18","En blanco",0.025,0.012,0.011,0.027
"P18","No sabe",0.057,0.11,0.238,0.126
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.739,0.67,0.517,0.709
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.105,0.1,0.087,0.077
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.003,0.083,0.052,0.001
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.059,0.119,0.032,0.003
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.003,0,0.026
"P19","En blanco",0.024,0.003,0.013,0.036
"P19","No sabe",0.055,0.022,0.299,0.148
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.923,0.814,0.495,0.787
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.004,0.045,0.137,0.024
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.037,0.054,0.07,0.005
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0,0.005,0.01
"P20","En blanco",0.004,0,0.012,0.043
"P20","No sabe",0.016,0.087,0.281,0.131
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.704,0.778,0.521,0.709
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.116,0.056,0.131,0.041
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.077,0.06,0.128,0.027
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.015,0.02,0,0.016
"P23","En blanco",0.012,0.003,0.032,0.041
"P23","No sabe",0.076,0.083,0.188,0.166
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.855,0.806,0.525,0.737
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.054,0.064,0.173,0.031
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.03,0.039,0.083,0.027
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.016,0.003,0.007,0.015
"P24","En blanco",0.001,0.004,0.034,0.043
