"var","categoria","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.248,0.251,0.237,0.209,0.223,0.195
"P04","Casi siempre",0.433,0.452,0.367,0.466,0.451,0.443
"P04","Casi nunca",0.254,0.238,0.306,0.264,0.244,0.327
"P04","Nunca, pero esta es una excepción",0.065,0.059,0.09,0.061,0.082,0.035
"P06","Del Frente de Todos y el peronismo",0.739,0.23,0.038,0.267,0.224,0.342
"P06","De Juntos por el cambio",0.059,0.65,0.25,0.051,0.334,0.291
"P06","De los Liberales libertarios",0.165,0.051,0.654,0.079,0.076,0.043
"P06","De la Izquierda",0.008,0.013,0.015,0.563,0.043,0.027
"P06","No sabe",0.029,0.056,0.043,0.04,0.323,0.297
"P07","A Sergio Massa",0.259,0.408,0.05,0.591,0.075,0.079
"P07","A Daniel Scioli",0.087,0.131,0.101,0.13,0.056,0.069
"P07","A algún candidato del peronismo",0.032,0.208,0.558,0,0.108,0.116
"P07","A algún candidato del kirchnerismo",0.622,0.253,0.291,0.279,0.761,0.736
"P08","A Sergio Massa",0.17,0.302,0.279,0.403,0.075,0.067
"P08","A Daniel Scioli",0.044,0.131,0.1,0.13,0.049,0.064
"P08","A algún candidato del peronismo",0.027,0.197,0.321,0,0.062,0.181
"P08","A Cristina Fernández de Kirchner",0.759,0.37,0.3,0.467,0.814,0.688
"P09","A Horacio Rodriguez Larreta",0.06,0.205,0.07,0,0.095,0.122
"P09","A Patricia Bullrich",0.436,0.678,0.849,0.835,0.735,0.798
"P09","A Facundo Manes",0.446,0.058,0.03,0.165,0.136,0.063
"P09","A Gerardo Morales",0.058,0.059,0.051,0,0.034,0.017
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.702,0.209,0.019,0.161,0.164,0.233
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.03,0.466,0.261,0.033,0.327,0.253
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.015,0.247,0.045,0.029,0.05,0.095
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.17,0.029,0.642,0.07,0.075,0.014
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.013,0.004,0.63,0.01,0.013
"P10","En blanco",0.012,0.009,0.005,0.008,0.253,0.035
"P10","No sabe",0.059,0.027,0.024,0.069,0.121,0.357
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.189,0.032,0.57,0.045,0.038,0.014
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.671,0.213,0.041,0.174,0.162,0.215
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.04,0.357,0.262,0.034,0.303,0.213
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.009,0.291,0.083,0.029,0.044,0.101
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.018,0.041,0.014,0.201,0.049,0.046
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.029,0.004,0.019,0.142,0.046
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.012,0.013,0.488,0.059,0.09
