"var","categoria","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.787,0.073,0.057,0.147,0.08,0.086
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.045,0.592,0.142,0.038,0.126,0.121
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.049,0.204,0.053,0.076,0.195,0.173
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.009,0.006,0.002,0.473,0.021,0.015
"P18","En blanco",0.007,0.012,0.02,0.085,0.458,0.024
"P18","No sabe",0.038,0.027,0.015,0.14,0.102,0.567
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.746,0.054,0.063,0.06,0.151,0.113
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.078,0.585,0.146,0.059,0.108,0.116
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.048,0.223,0.041,0.048,0.187,0.165
"P19","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.039,0.105,0.723,0.086,0.036,0.046
"P19","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.022,0.003,0.003,0.488,0.013,0.038
"P19","En blanco",0.016,0.005,0.007,0.132,0.377,0.004
"P19","No sabe",0.051,0.025,0.017,0.127,0.128,0.518
"P20","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.821,0.063,0.066,0.109,0.232,0.151
"P20","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.063,0.809,0.083,0.041,0.141,0.067
"P20","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.043,0.083,0.836,0.074,0.03,0.043
"P20","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.03,0.007,0.007,0.573,0.024,0.007
"P20","En blanco",0.007,0.008,0.003,0.049,0.448,0.013
"P20","No sabe",0.036,0.03,0.005,0.154,0.125,0.719
"P23","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.661,0.116,0.103,0.089,0.203,0.161
"P23","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.136,0.701,0.161,0.02,0.114,0.064
"P23","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.102,0.147,0.715,0.09,0.032,0.052
"P23","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.032,0.002,0.009,0.623,0.009,0.004
"P23","En blanco",0.02,0.008,0.005,0.052,0.518,0.01
"P23","No sabe",0.049,0.026,0.007,0.126,0.124,0.709
"P24","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.803,0.075,0.081,0.139,0.156,0.131
"P24","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.072,0.521,0.092,0.031,0.205,0.219
"P24","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.061,0.227,0.799,0.023,0.041,0.055
"P24","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.005,0.006,0.68,0.016,0.004
"P24","En blanco",0.009,0.051,0.009,0.05,0.5,0.012
"P24","No sabe",0.038,0.121,0.013,0.077,0.082,0.579
"P27","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.659,0.096,0.143,0.135,0.156,0.155
"P27","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.152,0.509,0.125,0.013,0.165,0.197
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.109,0.229,0.699,0.064,0.033,0.057
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.005,0.007,0.656,0.004,0.005
"P27","En blanco",0.017,0.054,0.016,0.092,0.591,0.02
"P27","No sabe",0.044,0.107,0.01,0.04,0.051,0.566
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.762,0.054,0.057,0.105,0.08,0.151
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.078,0.825,0.116,0.033,0.122,0.06
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.041,0.083,0.806,0.069,0.014,0.014
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.006,0.003,0.681,0.004,0
"P28","En blanco",0.029,0.009,0.008,0.03,0.697,0.039
"P28","No sabe",0.07,0.023,0.01,0.082,0.083,0.736
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.632,0.053,0.221,0.07,0.047,0.139
