"var","categoria","A Sergio Massa","A Daniel Scioli","A algún candidato del peronismo","A Cristina Fernández de Kirchner"
"P04","Siempre",0.335,0.218,0.159,0.223
"P04","Casi siempre",0.282,0.448,0.294,0.411
"P04","Casi nunca",0.323,0.161,0.511,0.288
"P04","Nunca, pero esta es una excepción",0.06,0.173,0.036,0.078
"P07","A Sergio Massa",0.783,0.101,0.128,0.165
"P07","A Daniel Scioli",0.05,0.86,0.07,0.06
"P07","A algún candidato del peronismo",0.108,0.034,0.694,0.049
"P07","A algún candidato del kirchnerismo",0.059,0.005,0.108,0.726
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.861,0.764,0.357,0.808
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.013,0.037,0.144,0.01
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.011,0.015,0.018,0.004
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.091,0.101,0.039,0.013
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0,0,0.007,0.015
"P10","En blanco",0.002,0.027,0.095,0.021
"P10","No sabe",0.022,0.056,0.34,0.129
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.038,0.022,0.033,0.053
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.81,0.663,0.362,0.723
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.063,0.139,0.091,0.033
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.011,0.026,0.093,0.002
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.066,0.02,0.016,0.004
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.004,0,0,0.01
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0,0.015,0.016,0.026
"P11","En blanco",0.006,0.01,0.054,0.026
"P11","No sabe",0.002,0.105,0.335,0.123
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.684,0.618,0.288,0.731
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.026,0.041,0.177,0.024
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.08,0.11,0.13,0.023
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.045,0,0.008,0.004
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.009,0.012,0,0.001
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.055,0.039,0.043,0.023
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.006,0,0.012,0.013
"P12","En blanco",0.014,0.019,0.039,0.04
"P12","No sabe",0.081,0.161,0.303,0.141
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.756,0.857,0.42,0.727
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.023,0.067,0.146,0.04
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.047,0.033,0.042,0.007
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.026,0.013,0.019,0.02
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.014,0.005,0.002
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.009,0,0.015,0.015
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.05,0,0.012,0.02
"P16","En blanco",0.002,0,0.053,0.026
"P16","No sabe",0.082,0.016,0.288,0.143
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.856,0.704,0.456,0.845
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0,0.078,0.141,0.013
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.019,0.032,0,0
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.034,0.026,0.064,0.008
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.012,0.008,0.096,0.021
