"var","categoria","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.238,0.23,0.227,0.221,0.123,0.218,0.191
"P04","Casi siempre",0.393,0.464,0.453,0.332,0.438,0.414,0.366
"P04","Casi nunca",0.277,0.228,0.274,0.34,0.359,0.255,0.366
"P04","Nunca, pero esta es una excepción",0.092,0.078,0.046,0.107,0.08,0.113,0.077
"P06","Del Frente de Todos y el peronismo",0.828,0.107,0.109,0.042,0.234,0.3,0.352
"P06","De Juntos por el cambio",0.058,0.644,0.73,0.08,0.077,0.09,0.155
"P06","De los Liberales libertarios",0.053,0.187,0.05,0.808,0.067,0.087,0.042
"P06","De la Izquierda",0.006,0.014,0.016,0.015,0.521,0.089,0.066
"P06","No sabe",0.055,0.048,0.095,0.055,0.101,0.434,0.385
"P07","A Sergio Massa",0.285,0.321,0.057,0.481,0.221,0.235,0.121
"P07","A Daniel Scioli",0.103,0.122,0.628,0.393,0.019,0.012,0.019
"P07","A algún candidato del peronismo",0.06,0.08,0.296,0.078,0,0.039,0.197
"P07","A algún candidato del kirchnerismo",0.552,0.477,0.019,0.048,0.76,0.714,0.663
"P08","A Sergio Massa",0.209,0.147,0.057,0.373,0.043,0.235,0.02
"P08","A Daniel Scioli",0.05,0.093,0.205,0.197,0.043,0.012,0.023
"P08","A algún candidato del peronismo",0.043,0.109,0.719,0.078,0,0.039,0.181
"P08","A Cristina Fernández de Kirchner",0.698,0.651,0.019,0.352,0.914,0.714,0.776
"P09","A Horacio Rodriguez Larreta",0.027,0.034,0.442,0.399,0,0.116,0.066
"P09","A Patricia Bullrich",0.4,0.882,0.439,0.347,0.513,0.219,0.715
"P09","A Facundo Manes",0.357,0.042,0.062,0.107,0.378,0.549,0.127
"P09","A Gerardo Morales",0.216,0.042,0.057,0.147,0.109,0.116,0.092
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.833,0.069,0.064,0.022,0.138,0.109,0.129
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.026,0.706,0.255,0.053,0.048,0.03,0.093
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.019,0.031,0.594,0.041,0.044,0.055,0.031
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.065,0.13,0.025,0.851,0.071,0.077,0.046
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.01,0.003,0.005,0.012,0.648,0.035,0.058
"P10","En blanco",0.013,0.013,0.019,0.004,0.006,0.525,0.033
"P10","No sabe",0.034,0.048,0.038,0.017,0.045,0.169,0.61
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.064,0.12,0.033,0.768,0.014,0.067,0.038
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.808,0.077,0.069,0.049,0.152,0.099,0.115
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.038,0.616,0.187,0.068,0.023,0.044,0.064
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.026,0.088,0.591,0.076,0.012,0.029,0.022
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.015,0.021,0.043,0.016,0.185,0.086,0.094
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.003,0.019,0.039,0.008,0.022,0.248,0.039
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.011,0.015,0.016,0.002,0.574,0.081,0.185
"P11","En blanco",0.003,0.005,0.006,0.001,0.004,0.283,0.026
"P11","No sabe",0.032,0.039,0.016,0.012,0.014,0.063,0.417
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.707,0.098,0.071,0.033,0.181,0.11,0.155
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.033,0.584,0.213,0.057,0.034,0.037,0.056
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.035,0.098,0.536,0.134,0.018,0.008,0.041
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.014,0.029,0.073,0.018,0.09,0.163,0.096
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.005,0.022,0.039,0.009,0.038,0.082,0.031
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.091,0.124,0.033,0.728,0.027,0.048,0.033
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.002,0.005,0.012,0.572,0.049,0.074
"P12","En blanco",0.022,0.012,0.004,0.003,0.034,0.471,0.038
"P12","No sabe",0.073,0.031,0.026,0.006,0.006,0.032,0.476
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.544,0.107,0.043,0.221,0.095,0.058,0.129
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.199,0.476,0.132,0.043,0.074,0.061,0.089
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.047,0.096,0.628,0.079,0.017,0.018,0.02
