"var","categoria","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.226,0.243,0.17,0.207,0.149,0.183,0.192
"P04","Casi siempre",0.401,0.419,0.422,0.314,0.368,0.278,0.339
"P04","Casi nunca",0.292,0.256,0.332,0.357,0.359,0.38,0.347
"P04","Nunca, pero esta es una excepción",0.081,0.082,0.076,0.122,0.124,0.159,0.122
"P06","Del Frente de Todos y el peronismo",0.873,0.05,0.086,0.042,0.138,0.254,0.272
"P06","De Juntos por el cambio",0.047,0.752,0.682,0.06,0.035,0.107,0.116
"P06","De los Liberales libertarios",0.02,0.119,0.068,0.805,0.07,0.042,0.043
"P06","De la Izquierda",0.009,0.006,0.026,0.023,0.645,0.048,0.032
"P06","No sabe",0.051,0.073,0.138,0.07,0.112,0.549,0.537
"P07","A Sergio Massa",0.303,0.037,0.33,0.398,0.458,0.028,0.115
"P07","A Daniel Scioli",0.108,0.118,0.135,0.254,0,0.27,0.026
"P07","A algún candidato del peronismo",0.062,0.577,0.426,0.082,0.157,0.122,0.225
"P07","A algún candidato del kirchnerismo",0.527,0.268,0.109,0.266,0.385,0.58,0.634
"P08","A Sergio Massa",0.194,0.098,0.266,0.465,0,0.017,0.031
"P08","A Daniel Scioli",0.059,0.096,0.135,0.178,0,0.067,0.027
"P08","A algún candidato del peronismo",0.038,0.516,0.226,0.094,0.052,0.329,0.228
"P08","A Cristina Fernández de Kirchner",0.709,0.29,0.373,0.263,0.948,0.587,0.714
"P09","A Horacio Rodriguez Larreta",0.24,0.032,0.628,0.108,0.073,0.178,0.128
"P09","A Patricia Bullrich",0.242,0.911,0.209,0.704,0.849,0.507,0.553
"P09","A Facundo Manes",0.366,0.03,0.087,0.018,0.035,0.303,0.187
"P09","A Gerardo Morales",0.152,0.027,0.076,0.17,0.043,0.012,0.132
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.039,0.044,0.025,0.816,0.072,0.029,0.049
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.869,0.047,0.039,0.052,0.023,0.046,0.074
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.032,0.692,0.078,0.049,0.02,0.02,0.039
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.005,0.138,0.723,0.047,0.026,0.054,0.018
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.012,0.028,0.061,0.01,0.211,0.034,0.066
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.001,0.018,0.039,0.004,0.037,0.276,0.038
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.002,0.001,0.007,0.569,0.058,0.226
"P11","En blanco",0.004,0.002,0.002,0.005,0.015,0.371,0.032
"P11","No sabe",0.03,0.029,0.032,0.01,0.027,0.112,0.458
"P12","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.719,0.053,0.062,0.049,0.114,0.094,0.112
"P12","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.032,0.645,0.126,0.056,0.014,0.032,0.059
"P12","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.03,0.131,0.578,0.114,0.013,0.035,0.047
"P12","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.022,0.035,0.082,0.015,0.022,0.087,0.069
"P12","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.006,0.025,0.054,0.008,0.028,0.048,0.024
"P12","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.069,0.071,0.062,0.727,0.041,0.033,0.07
"P12","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.004,0,0.006,0.671,0.046,0.053
"P12","En blanco",0.024,0.008,0.011,0.007,0.051,0.488,0.055
"P12","No sabe",0.084,0.028,0.025,0.018,0.046,0.137,0.511
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.577,0.057,0.039,0.223,0.072,0.145,0.1
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.183,0.534,0.079,0.04,0.072,0.09,0.081
"P16","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.049,0.138,0.638,0.056,0.006,0.048,0.046
"P16","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.044,0.171,0.098,0.066,0.039,0.049,0.068
"P16","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.009,0.021,0.07,0.02,0.042,0.123,0.051
"P16","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.026,0.04,0.037,0.567,0.002,0.016,0.053
"P16","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.031,0.003,0.001,0.004,0.709,0.01,0.042
"P16","En blanco",0.015,0.009,0.01,0.007,0.014,0.422,0.077
"P16","No sabe",0.066,0.027,0.028,0.017,0.044,0.097,0.482
"P17","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.882,0.022,0.055,0.042,0.175,0.176,0.203
"P17","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.011,0.837,0.104,0.038,0.018,0.031,0.076
"P17","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.018,0.054,0.734,0.017,0.047,0.062,0.04
"P17","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.015,0.056,0.06,0.874,0.038,0.071,0.056
"P17","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.021,0.001,0.008,0.009,0.621,0.033,0.027
"P17","En blanco",0.012,0.007,0.012,0.007,0.004,0.53,0.06
"P17","No sabe",0.041,0.023,0.027,0.013,0.097,0.097,0.538
"P18","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.045,0.063,0.047,0.769,0.055,0.028,0.059
"P18","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.808,0.068,0.073,0.034,0.152,0.17,0.192
"P18","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.019,0.698,0.157,0.12,0.023,0.084,0.123
"P18","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.035,0.118,0.664,0.027,0.051,0.049,0.049
"P18","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.014,0.003,0.018,0.006,0.508,0.006,0.02
"P18","En blanco",0.02,0.009,0.011,0.026,0.043,0.606,0.06
"P18","No sabe",0.059,0.041,0.03,0.018,0.168,0.057,0.497
"P19","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.832,0.033,0.057,0.068,0.085,0.121,0.109
"P19","Patricia Bullrich a presidenta y José Luis Espert a gobernador por Juntos por el Cambio",0.056,0.736,0.077,0.111,0.023,0.099,0.126
"P19","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.025,0.125,0.693,0.01,0.016,0.07,0.047
