"var","categoria","Sergio Massa por el Frente de Todos","Horacio Rodriguez Larreta por Juntos por el Cambio","En blanco","No sabe"
"P04","Siempre",0.277,0.233,0.228,0.231
"P04","Casi siempre",0.416,0.468,0.43,0.407
"P04","Casi nunca",0.264,0.229,0.285,0.281
"P04","Nunca, pero esta es una excepción",0.043,0.07,0.057,0.081
"P06","Del Frente de Todos y el peronismo",0.776,0.039,0.19,0.2
"P06","De Juntos por el cambio",0.066,0.667,0.134,0.233
"P06","De los Liberales libertarios",0.096,0.229,0.513,0.373
"P06","De la Izquierda",0.018,0.011,0.067,0.044
"P06","No sabe",0.044,0.054,0.096,0.15
"P07","A Sergio Massa",0.28,0.123,0.163,0.024
"P07","A Daniel Scioli",0.101,0.062,0.071,0.068
"P07","A algún candidato del peronismo",0.043,0.47,0.086,0.085
"P07","A algún candidato del kirchnerismo",0.576,0.345,0.68,0.823
"P08","A Sergio Massa",0.193,0.103,0.052,0.013
"P08","A Daniel Scioli",0.06,0.061,0.06,0.045
"P08","A algún candidato del peronismo",0.048,0.491,0.083,0.057
"P08","A Cristina Fernández de Kirchner",0.699,0.345,0.805,0.885
"P09","A Horacio Rodriguez Larreta",0.056,0.201,0.025,0.032
"P09","A Patricia Bullrich",0.579,0.694,0.844,0.85
"P09","A Facundo Manes",0.322,0.044,0.116,0.07
"P09","A Gerardo Morales",0.043,0.061,0.015,0.048
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.764,0.014,0.123,0.116
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.038,0.513,0.152,0.212
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.017,0.235,0.016,0.027
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.097,0.188,0.518,0.377
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.011,0.066,0.029
"P10","En blanco",0.01,0.006,0.057,0.011
"P10","No sabe",0.054,0.033,0.068,0.228
