"var","categoria","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P27","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.111,0.134,0.741,0.011,0.064,0.055
"P27","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.008,0.004,0.005,0.783,0.013,0.019
"P27","En blanco",0.016,0.027,0.008,0.077,0.815,0.046
"P27","No sabe",0.043,0.028,0.009,0.011,0.021,0.734
"P28","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.745,0.068,0.038,0.095,0.058,0.114
"P28","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.067,0.743,0.213,0.037,0.359,0.368
"P28","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.063,0.064,0.723,0.051,0.083,0.021
"P28","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.02,0.003,0.002,0.698,0.012,0.015
"P28","En blanco",0.031,0.041,0.014,0.062,0.417,0.034
"P28","No sabe",0.074,0.081,0.01,0.057,0.071,0.448
"P29","Agustín Rossi a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.637,0.062,0.171,0.137,0.055,0.098
"P29","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.189,0.686,0.052,0.026,0.069,0.12
"P29","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.05,0.196,0.745,0.047,0.169,0.111
"P29","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.007,0.009,0.696,0.027,0.001
"P29","En blanco",0.032,0.012,0.007,0.043,0.611,0.057
"P29","No sabe",0.075,0.037,0.016,0.051,0.069,0.613
"P30","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.784,0.093,0.057,0.15,0.062,0.115
"P30","Patricia Bullrich a presidenta y Diego Santilli a gobernador por Juntos por el Cambio",0.076,0.692,0.22,0.045,0.373,0.377
"P30","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.074,0.111,0.703,0.051,0.058,0.037
"P30","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.005,0.003,0.727,0.043,0.029
"P30","En blanco",0.019,0.033,0.005,0.018,0.444,0.031
"P30","No sabe",0.03,0.066,0.012,0.009,0.02,0.411
"P33","Axel Kicillof a presidente y Sergio Massa a gobernador por el Frente de Todos",0.744,0.12,0.111,0.144,0.092,0.175
"P33","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.111,0.671,0.119,0.028,0.089,0.148
"P33","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.09,0.146,0.746,0.074,0.13,0.075
"P33","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.007,0.003,0.004,0.686,0.049,0.012
"P33","En blanco",0.019,0.022,0.006,0.023,0.612,0.052
"P33","No sabe",0.029,0.038,0.014,0.045,0.028,0.538
"P34","Sergio Massa por el Frente de Todos",0.883,0.055,0.054,0.227,0.068,0.121
"P34","Patricia Bullrich por Juntos por el Cambio",0.065,0.851,0.58,0.145,0.541,0.487
"P34","En blanco",0.021,0.044,0.22,0.389,0.343,0.084
"P34","No sabe",0.031,0.05,0.146,0.239,0.048,0.308
"P35","Sergio Massa por el Frente de Todos",0.879,0.068,0.038,0.318,0.06,0.167
"P35","Javier Milei por la Libertad Avanza",0.059,0.538,0.851,0.119,0.331,0.225
"P35","En blanco",0.028,0.2,0.064,0.403,0.48,0.155
"P35","No sabe",0.034,0.194,0.047,0.16,0.129,0.453
"P36","Horacio Rodriguez Larreta por Juntos por el Cambio",0.218,0.752,0.055,0.203,0.111,0.224
"P36","Javier Milei por la Libertad Avanza",0.07,0.144,0.893,0.071,0.231,0.118
"P36","En blanco",0.498,0.061,0.03,0.598,0.533,0.174
"P36","No sabe",0.214,0.043,0.022,0.128,0.125,0.484
"P37","Javier Milei por la Libertad Avanza",0.09,0.228,0.546,0.149,0.074,0.059
"P37","Patricia Bullrich por Juntos por el Cambio",0.088,0.666,0.411,0.107,0.483,0.448
"P37","En blanco",0.625,0.062,0.024,0.614,0.396,0.196
"P37","No sabe",0.197,0.044,0.019,0.13,0.047,0.297
"P38","Sergio Massa por el Frente de Todos",0.805,0.079,0.101,0.237,0.102,0.166
"P38","Horacio Rodriguez Larreta por Juntos por el Cambio",0.064,0.836,0.349,0.134,0.222,0.25
"P38","En blanco",0.088,0.057,0.384,0.519,0.659,0.147
"P38","No sabe",0.043,0.028,0.166,0.11,0.017,0.437
"P39","Agustín Rossi por el Frente de Todos",0.809,0.052,0.049,0.403,0.083,0.161
"P39","Patricia Bullrich por Juntos por el Cambio",0.061,0.846,0.58,0.165,0.489,0.441
"P39","En blanco",0.072,0.062,0.24,0.381,0.381,0.088
"P39","No sabe",0.058,0.04,0.131,0.051,0.047,0.31
"P40","Daniel Scioli por el Frente de Todos",0.845,0.058,0.046,0.408,0.093,0.195
"P40","Patricia Bullrich por Juntos por el Cambio",0.054,0.866,0.661,0.191,0.577,0.51
"P40","En blanco",0.06,0.039,0.21,0.348,0.254,0.078
"P40","No sabe",0.041,0.037,0.083,0.053,0.076,0.217
"P41","Lo votaría",0.53,0.196,0.142,0.09,0.156,0.105
"P41","Puede que lo vote",0.364,0.073,0.081,0.242,0.054,0.108
"P41","Nunca lo votaría",0.069,0.698,0.724,0.541,0.714,0.57
"P41","No sabe",0.037,0.033,0.053,0.127,0.076,0.217
"P42","Lo votaría",0.097,0.607,0.334,0.137,0.469,0.417
"P42","Puede que lo vote",0.058,0.218,0.335,0.081,0.062,0.07
"P42","Nunca lo votaría",0.817,0.155,0.29,0.75,0.452,0.439
"P42","No sabe",0.028,0.02,0.041,0.032,0.017,0.074
"P43","Lo votaría",0.051,0.206,0.715,0.028,0.146,0.102
"P43","Puede que lo vote",0.043,0.375,0.179,0.134,0.249,0.213
"P43","Nunca lo votaría",0.873,0.383,0.093,0.823,0.579,0.566
"P43","No sabe",0.033,0.036,0.013,0.015,0.026,0.119
"P44","Lo votaría",0.047,0.575,0.146,0.04,0.03,0.07
"P44","Puede que lo vote",0.098,0.307,0.224,0.171,0.2,0.316
"P44","Nunca lo votaría",0.812,0.106,0.59,0.776,0.726,0.46
"P44","No sabe",0.043,0.012,0.04,0.013,0.044,0.154
"P45","Lo votaría",0.465,0.136,0.04,0.126,0.044,0.084
"P45","Puede que lo vote",0.242,0.124,0.088,0.271,0.077,0.193
