"var","categoria","Agustín Rossi  a presidente y Axel Kicillof a gobernador por el Frente de Todos","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza","A los candidatos a presidente y a gobernador del Frente de Izquierda","En blanco","No sabe"
"P04","Siempre",0.224,0.244,0.205,0.241,0.152,0.204,0.133,0.135,0.232
"P04","Casi siempre",0.421,0.427,0.405,0.401,0.393,0.315,0.328,0.352,0.319
"P04","Casi nunca",0.289,0.248,0.302,0.311,0.329,0.342,0.427,0.342,0.332
"P04","Nunca, pero esta es una excepción",0.066,0.081,0.088,0.047,0.126,0.139,0.112,0.171,0.117
"P06","Del Frente de Todos y el peronismo",0.827,0.085,0.093,0.163,0.1,0.085,0.165,0.358,0.375
"P06","De Juntos por el cambio",0.072,0.718,0.543,0.427,0.474,0.087,0.043,0.066,0.097
"P06","De los Liberales libertarios",0.043,0.114,0.237,0.147,0.13,0.756,0.094,0.032,0.035
"P06","De la Izquierda",0.014,0.011,0.019,0.056,0.061,0.019,0.513,0.083,0.048
"P06","No sabe",0.044,0.072,0.108,0.207,0.235,0.053,0.185,0.461,0.445
"P07","A Sergio Massa",0.258,0.226,0.508,0.573,0.623,0.446,0.363,0.193,0.187
"P07","A Daniel Scioli",0.116,0.059,0.303,0,0.079,0.101,0.034,0.046,0.066
"P07","A algún candidato del peronismo",0.051,0.321,0.026,0.342,0,0.137,0.131,0.142,0.184
"P07","A algún candidato del kirchnerismo",0.575,0.394,0.163,0.085,0.298,0.316,0.472,0.619,0.563
"P08","A Sergio Massa",0.17,0.118,0.293,0.707,0.479,0.305,0.097,0.071,0.096
"P08","A Daniel Scioli",0.056,0.069,0.146,0,0.223,0.079,0,0.035,0.069
"P08","A algún candidato del peronismo",0.032,0.362,0.21,0.056,0,0.105,0.078,0.086,0.157
"P08","A Cristina Fernández de Kirchner",0.742,0.451,0.351,0.237,0.298,0.511,0.825,0.808,0.678
"P09","A Horacio Rodriguez Larreta",0.173,0.031,0.504,0.069,0.072,0.139,0.383,0.251,0.248
"P09","A Patricia Bullrich",0.437,0.954,0.408,0.09,0.295,0.591,0.401,0.681,0.717
"P09","A Facundo Manes",0.332,0.008,0.054,0.73,0.012,0.089,0.216,0.068,0.035
"P09","A Gerardo Morales",0.058,0.007,0.034,0.111,0.621,0.181,0,0,0
"P10","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.798,0.049,0.063,0.163,0.084,0.077,0.103,0.187,0.236
"P10","Patricia Bullrich a presidenta y Diego Santilli a Gobernador por Juntos por el Cambio",0.045,0.754,0.21,0.202,0.268,0.061,0.02,0.051,0.06
"P10","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.025,0.07,0.443,0.225,0.272,0.025,0.001,0.03,0.026
"P10","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.053,0.083,0.233,0.109,0.115,0.795,0.042,0.052,0.051
"P10","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.017,0.003,0.004,0.022,0.051,0.006,0.645,0.053,0.017
"P10","En blanco",0.013,0.006,0.009,0.079,0.08,0.005,0.041,0.461,0.047
"P10","No sabe",0.049,0.035,0.038,0.2,0.13,0.031,0.148,0.166,0.563
"P11","Javier Milei a presidente y su candidato a gobernador por la Libertad Avanza",0.062,0.056,0.207,0.075,0.052,0.75,0.047,0.059,0.046
"P11","Sergio Massa a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.78,0.084,0.09,0.133,0.084,0.095,0.075,0.166,0.189
"P11","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.057,0.685,0.114,0.102,0.125,0.073,0.022,0.051,0.047
"P11","Horacio Rodríguez Larreta a presidente y Diego Santilli a gobernador por Juntos por el Cambio",0.026,0.124,0.509,0.165,0.121,0.05,0.024,0.035,0.016
"P11","Facundo Manes a presidente y Maximiliano Abad a gobernador por Juntos por el Cambio",0.014,0.005,0.027,0.425,0.061,0.009,0.094,0.001,0.022
"P11","Gerardo Morales a presidente y su candidato a gobernador por Juntos por el Cambio",0.003,0.008,0.008,0.047,0.524,0.005,0.026,0.104,0.035
"P11","A los candidatos a presidente y a gobernador del Frente de Izquierda",0.019,0.015,0.015,0.039,0.023,0.003,0.666,0.12,0.105
"P11","En blanco",0.005,0,0.002,0.001,0.01,0.002,0.001,0.401,0.016
"P11","No sabe",0.034,0.023,0.028,0.013,0,0.013,0.045,0.063,0.524
"P16","Daniel Scioli a presidente y Axel Kicillof a gobernador por el Frente de Todos",0.53,0.083,0.104,0.06,0.035,0.272,0.084,0.166,0.145
"P16","Patricia Bullrich a presidenta y Joaquín De La Torre a gobernador por Juntos por el Cambio",0.217,0.564,0.126,0.135,0.052,0.045,0.026,0.046,0.037
