"var","categoria","A Horacio Rodriguez Larreta","A Mauricio Macri","A Patricia Bullrich","A Facundo Manes","A Gerardo Morales"
"P04","Tengo trabajo estable",0.506,0.362,0.43,0.527,0.607
"P04","Realizo changas o trabajos de vez en cuando",0.163,0.165,0.203,0.118,0.123
"P04","No tengo trabajo",0.214,0.257,0.187,0.101,0.111
"P04","Soy jubilado o pensionado",0.117,0.216,0.18,0.254,0.159
"P05","Derecha",0.244,0.305,0.307,0.226,0.296
"P05","Centro derecha",0.257,0.299,0.288,0.206,0.134
"P05","Centro izquierda",0.109,0.055,0.102,0.237,0.178
"P05","Izquierda",0.032,0.042,0.051,0.049,0.034
"P05","No sabe",0.358,0.299,0.252,0.282,0.358
"P06","Alta",0.297,0.29,0.171,0.316,0.288
"P06","Media",0.349,0.28,0.294,0.263,0.449
"P06","Baja",0.354,0.43,0.535,0.421,0.263
"P07","Estoy de acuerdo",0.334,0.186,0.241,0.334,0.423
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.394,0.603,0.585,0.539,0.344
"P07","No estoy de acuerdo",0.199,0.14,0.152,0.108,0.1
"P07","No sabe",0.073,0.071,0.022,0.019,0.133
"P13","Seguro lo votaria",0.306,0.155,0.152,0.29,0.106
"P13","Quizás lo votaría",0.186,0.364,0.297,0.277,0.212
"P13","Nunca lo votaría",0.508,0.481,0.551,0.433,0.682
"P14","Lo votaría",0.292,0.799,0.569,0.094,0.13
"P14","Puede que lo vote",0.363,0.077,0.326,0.416,0.31
"P14","Nunca lo votaría",0.326,0.115,0.093,0.455,0.42
"P14","No sabe",0.019,0.009,0.012,0.035,0.14
"P15","Lo votaría",0.062,0.033,0.053,0.125,0.018
"P15","Puede que lo vote",0.094,0.048,0.027,0.173,0.056
"P15","Nunca lo votaría",0.779,0.911,0.92,0.697,0.822
"P15","No sabe",0.065,0.008,0,0.005,0.104
"P16","Lo votaría",0.015,0.049,0.013,0.031,0.042
"P16","Puede que lo vote",0.041,0.029,0.028,0.095,0.104
"P16","Nunca lo votaría",0.909,0.901,0.959,0.752,0.849
"P16","No sabe",0.035,0.021,0,0.122,0.005
"P17","La votaría",0.066,0.047,0.023,0.026,0.047
"P17","Puede que la vote",0.094,0.026,0.01,0.129,0.008
"P17","Nunca la votaría",0.824,0.921,0.967,0.826,0.945
"P17","No sabe",0.016,0.006,0,0.019,0
"P18","Lo votaría",0.682,0.335,0.255,0.363,0.195
"P18","Puede que lo vote",0.153,0.386,0.53,0.294,0.452
"P18","Nunca lo votaría",0.153,0.232,0.2,0.244,0.304
"P18","No sabe",0.012,0.047,0.015,0.099,0.049
"P19","Lo votaría",0.245,0.129,0.154,0.686,0.178
"P19","Puede que lo vote",0.346,0.326,0.365,0.277,0.355
"P19","Nunca lo votaría",0.373,0.484,0.416,0.037,0.352
"P19","No sabe",0.036,0.061,0.065,0,0.115
"P20","La votaría",0.241,0.655,0.844,0.223,0.19
"P20","Puede que la vote",0.376,0.18,0.07,0.37,0.308
"P20","Nunca la votaría",0.332,0.157,0.086,0.284,0.476
"P20","No sabe",0.051,0.008,0,0.123,0.026
"P21","Lo votaría",0.07,0.055,0.069,0.071,0
"P21","Puede que lo vote",0.256,0.257,0.294,0.26,0.149
"P21","Nunca lo votaría",0.636,0.621,0.605,0.534,0.783
"P21","No sabe",0.038,0.067,0.032,0.135,0.068
"P22","La votaría",0.35,0.381,0.305,0.16,0.14
"P22","Puede que la vote",0.311,0.284,0.447,0.408,0.413
"P22","Nunca la votaría",0.282,0.246,0.236,0.304,0.381
"P22","No sabe",0.057,0.089,0.012,0.128,0.066
"P23","Lo votaría",0.063,0.021,0.018,0.019,0.021
"P23","Puede que lo vote",0.031,0.042,0.024,0.09,0.049
"P23","Nunca lo votaría",0.878,0.922,0.931,0.78,0.926
"P23","No sabe",0.028,0.015,0.027,0.111,0.004
"P24","Lo votaría",0.088,0.05,0.064,0.29,0.116
"P24","Puede que lo vote",0.291,0.256,0.305,0.258,0.34
"P24","Nunca lo votaría",0.515,0.592,0.534,0.233,0.343
"P24","No sabe",0.106,0.102,0.097,0.219,0.201
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.281,0.866,0.574,0.147,0.229
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.603,0.063,0.17,0.383,0.266
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.005,0.003,0,0.018,0.057
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.04,0.006,0,0.061,0.11
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.023,0.032,0.075,0.07,0.023
"P25","Otros candidatos",0.048,0.03,0.181,0.321,0.315
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.04,0.037,0.071,0.08,0.049
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.643,0.851,0.666,0.369,0.46
"P29","Javier Milei – José Luis Espert por los liberales",0.097,0.045,0.091,0.074,0.117
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.054,0.056,0.005,0.025,0.017
"P29","Otro candidato",0.166,0.011,0.167,0.452,0.357
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.775,0.567,0.537,0.511,0.507
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.039,0.032,0.025,0.061,0.047
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.055,0.122,0.101,0.098,0.053
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.02,0.012,0,0.004,0.009
"P31","Otro candidato",0.111,0.267,0.337,0.326,0.384
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.115,0.067,0.022,0.074,0.076
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.66,0.78,0.886,0.485,0.531
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.057,0.072,0.027,0.084,0.05
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.001,0.001,0,0,0.039
"P33","Otro candidato",0.167,0.08,0.065,0.357,0.304
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.103,0.036,0.021,0.109,0.131
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.708,0.944,0.856,0.558,0.674
"P35","No sabe",0.189,0.02,0.123,0.333,0.195
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.053,0.012,0.022,0.089,0.143
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.853,0.73,0.757,0.667,0.731
"P36","No sabe",0.094,0.258,0.221,0.244,0.126
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.071,0.007,0.022,0.095,0.123
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.793,0.867,0.914,0.542,0.667
"P37","No sabe",0.136,0.126,0.064,0.363,0.21
"P38","Muy buena",0.034,0,0,0.03,0.089
"P38","Buena",0.192,0.075,0.054,0.045,0.101
"P38","Ni buena ni mala",0.049,0.043,0.002,0.199,0.035
"P38","Mala",0.055,0.033,0.056,0.037,0.122
"P38","Muy mala",0.67,0.849,0.888,0.689,0.653
"P38","No sabe",0,0,0,0,0
"P39","Muy buena",0.009,0.001,0,0.023,0.039
"P39","Buena",0.008,0.006,0.002,0.048,0.091
"P39","Ni buena ni mala",0.106,0.032,0.023,0.118,0.081
"P39","Mala",0.099,0.034,0.047,0.084,0.089
"P39","Muy mala",0.778,0.927,0.928,0.727,0.7
"P39","No sabe",0,0,0,0,0
"P40","Muy buena",0.017,0,0,0.046,0.03
"P40","Buena",0.009,0.01,0,0.04,0.095
"P40","Ni buena ni mala",0.1,0.022,0,0.104,0.033
"P40","Mala",0.045,0.018,0.023,0.041,0.009
"P40","Muy mala",0.829,0.95,0.959,0.769,0.833
"P40","No sabe",0,0,0.018,0,0
"P41","Muy buena",0.201,0.55,0.327,0.049,0.049
"P41","Buena",0.255,0.244,0.388,0.152,0.229
"P41","Ni buena ni mala",0.236,0.078,0.159,0.342,0.345
"P41","Mala",0.135,0.009,0.055,0.251,0.173
"P41","Muy mala",0.173,0.119,0.069,0.126,0.204
"P41","No sabe",0,0,0.002,0.08,0
"P42","Muy buena",0.518,0.399,0.237,0.116,0.182
"P42","Buena",0.344,0.288,0.511,0.357,0.488
"P42","Ni buena ni mala",0.103,0.233,0.172,0.268,0.173
"P42","Mala",0.006,0.04,0.052,0.092,0.05
"P42","Muy mala",0.029,0.04,0.018,0.087,0.083
"P42","No sabe",0,0,0.01,0.08,0.024
"P43","Muy buena",0.035,0.052,0.004,0,0
"P43","Buena",0.094,0.004,0.02,0.122,0.071
"P43","Ni buena ni mala",0.079,0.071,0.042,0.072,0.09
"P43","Mala",0.227,0.097,0.108,0.11,0.338
"P43","Muy mala",0.562,0.77,0.806,0.616,0.493
"P43","No sabe",0.003,0.006,0.02,0.08,0.008
"P44","Muy buena",0.051,0.014,0.061,0.011,0
"P44","Buena",0.089,0.179,0.135,0.106,0.118
"P44","Ni buena ni mala",0.261,0.356,0.368,0.344,0.266
"P44","Mala",0.29,0.132,0.181,0.105,0.207
"P44","Muy mala",0.302,0.316,0.253,0.362,0.388
"P44","No sabe",0.007,0.003,0.002,0.072,0.021
"P45","Muy buena",0.348,0.416,0.377,0.342,0.245
"P45","Buena",0.342,0.274,0.39,0.218,0.486
"P45","Ni buena ni mala",0.181,0.206,0.129,0.238,0.075
"P45","Mala",0.077,0.04,0.072,0.053,0.029
"P45","Muy mala",0.052,0.059,0.028,0.149,0.156
"P45","No sabe",0,0.005,0.004,0,0.009
"P46","Muy buena",0.051,0.022,0.036,0.081,0.011
"P46","Buena",0.102,0.004,0.053,0.047,0.152
"P46","Ni buena ni mala",0.113,0.102,0.03,0.146,0.105
"P46","Mala",0.182,0.114,0.093,0.106,0.167
"P46","Muy mala",0.548,0.738,0.786,0.62,0.565
"P46","No sabe",0.004,0.02,0.002,0,0
"P47","Muy buena",0.044,0.057,0.044,0.201,0.085
"P47","Buena",0.188,0.172,0.212,0.254,0.337
"P47","Ni buena ni mala",0.488,0.337,0.388,0.269,0.408
"P47","Mala",0.101,0.148,0.111,0.035,0.046
"P47","Muy mala",0.127,0.252,0.216,0.16,0.114
"P47","No sabe",0.052,0.034,0.029,0.081,0.01
