"var","categoria","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos","Mauricio Macri – María Eugenia Vidal por Cambiemos","Javier Milei – José Luis Espert por los liberales","Nicolás del Caño – Myriam Bregman por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.475,0.386,0.494,0.513,0.463
"P04","Realizo changas o trabajos de vez en cuando",0.199,0.185,0.221,0.179,0.214
"P04","No tengo trabajo",0.136,0.205,0.16,0.207,0.175
"P04","Soy jubilado o pensionado",0.19,0.224,0.125,0.101,0.148
"P05","Derecha",0.111,0.247,0.313,0.244,0.208
"P05","Centro derecha",0.044,0.269,0.169,0.105,0.16
"P05","Centro izquierda",0.379,0.098,0.093,0.196,0.149
"P05","Izquierda",0.196,0.042,0.044,0.214,0.047
"P05","No sabe",0.27,0.344,0.381,0.241,0.436
"P06","Alta",0.558,0.261,0.234,0.486,0.299
"P06","Media",0.281,0.29,0.286,0.282,0.376
"P06","Baja",0.161,0.449,0.48,0.232,0.325
"P07","Estoy de acuerdo",0.634,0.247,0.269,0.577,0.339
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.23,0.521,0.526,0.159,0.427
"P07","No estoy de acuerdo",0.098,0.186,0.162,0.108,0.154
"P07","No sabe",0.038,0.046,0.043,0.156,0.08
"P08","Del Frente de Todos y el peronismo",0.823,0.06,0.136,0.306,0.188
"P08","De Cambiemos",0.048,0.784,0.138,0.168,0.248
"P08","De los Liberales libertarios",0.011,0.061,0.555,0.045,0.137
"P08","De la Izquierda",0.019,0.009,0.022,0.33,0.049
"P08","No sabe",0.099,0.086,0.149,0.151,0.378
"P10","A Alberto Fernández",0.138,0.399,0.249,0.197,0.148
"P10","A Sergio Massa",0.134,0.124,0.337,0.194,0.127
"P10","A algún candidato del peronismo",0.135,0.284,0.065,0.204,0.607
"P10","A algún candidato del kirchnerismo",0.593,0.193,0.349,0.405,0.118
"P11","A Alberto Fernández",0.057,0.265,0.122,0.125,0.153
"P11","A Sergio Massa",0.08,0.023,0.159,0.071,0.108
"P11","A algún candidato del peronismo",0.083,0.315,0.171,0.204,0.682
"P11","A Cristina Fernández de Kirchner",0.78,0.397,0.548,0.6,0.057
"P12","A Horacio Rodriguez Larreta",0.177,0.216,0.283,0.345,0.244
"P12","A Mauricio Macri",0.234,0.409,0.188,0.516,0.022
"P12","A Patricia Bullrich",0.379,0.271,0.32,0.038,0.294
"P12","A Facundo Manes",0.128,0.045,0.079,0.058,0.24
"P12","A Gerardo Morales",0.082,0.059,0.13,0.043,0.2
"P13","Seguro lo votaria",0.072,0.164,0.485,0.31,0.136
"P13","Quizás lo votaría",0.385,0.274,0.246,0.457,0.177
"P13","Nunca lo votaría",0.543,0.562,0.269,0.233,0.687
"P14","Lo votaría",0.043,0.534,0.106,0.175,0.054
"P14","Puede que lo vote",0.021,0.252,0.322,0.157,0.188
"P14","Nunca lo votaría",0.923,0.174,0.505,0.605,0.628
"P14","No sabe",0.013,0.04,0.067,0.063,0.13
"P15","Lo votaría",0.192,0.03,0.069,0.092,0.061
"P15","Puede que lo vote",0.431,0.058,0.151,0.296,0.096
"P15","Nunca lo votaría",0.262,0.873,0.718,0.531,0.701
"P15","No sabe",0.115,0.039,0.062,0.081,0.142
"P16","Lo votaría",0.249,0.037,0.063,0.166,0.056
"P16","Puede que lo vote",0.423,0.041,0.062,0.259,0.093
"P16","Nunca lo votaría",0.223,0.885,0.844,0.472,0.721
"P16","No sabe",0.105,0.037,0.031,0.103,0.13
"P17","La votaría",0.768,0.058,0.109,0.336,0.042
"P17","Puede que la vote",0.098,0.022,0.053,0.18,0.075
"P17","Nunca la votaría",0.113,0.914,0.827,0.383,0.746
"P17","No sabe",0.021,0.006,0.011,0.101,0.137
"P18","Lo votaría",0.037,0.375,0.171,0.146,0.144
"P18","Puede que lo vote",0.066,0.382,0.243,0.126,0.297
"P18","Nunca lo votaría",0.861,0.188,0.522,0.56,0.391
"P18","No sabe",0.036,0.055,0.064,0.168,0.168
"P19","Lo votaría",0.029,0.157,0.088,0.12,0.158
"P19","Puede que lo vote",0.111,0.315,0.223,0.202,0.234
"P19","Nunca lo votaría",0.723,0.439,0.552,0.511,0.414
"P19","No sabe",0.137,0.089,0.137,0.167,0.194
"P20","La votaría",0.043,0.538,0.244,0.183,0.17
"P20","Puede que la vote",0.032,0.233,0.318,0.093,0.227
"P20","Nunca la votaría",0.896,0.195,0.386,0.641,0.467
"P20","No sabe",0.029,0.034,0.052,0.083,0.136
"P21","Lo votaría",0.035,0.049,0.573,0.103,0.09
"P21","Puede que lo vote",0.045,0.225,0.171,0.173,0.138
