"var","categoria","A Alberto Fernández","A Sergio Massa","A algún candidato del peronismo","A algún candidato del kirchnerismo"
"P04","Tengo trabajo estable",0.358,0.599,0.465,0.504
"P04","Realizo changas o trabajos de vez en cuando",0.37,0.068,0.256,0.183
"P04","No tengo trabajo",0.171,0.112,0.164,0.085
"P04","Soy jubilado o pensionado",0.101,0.221,0.115,0.228
"P05","Derecha",0.247,0.269,0.209,0.042
"P05","Centro derecha",0.069,0.057,0.124,0.046
"P05","Centro izquierda",0.152,0.24,0.257,0.519
"P05","Izquierda",0.129,0.09,0.157,0.237
"P05","No sabe",0.403,0.344,0.253,0.156
"P06","Alta",0.574,0.557,0.416,0.654
"P06","Media",0.243,0.236,0.351,0.225
"P06","Baja",0.183,0.207,0.233,0.121
"P07","Estoy de acuerdo",0.455,0.585,0.447,0.728
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.381,0.241,0.477,0.185
"P07","No estoy de acuerdo",0.147,0.128,0.062,0.054
"P07","No sabe",0.017,0.046,0.014,0.033
"P11","A Alberto Fernández",0.494,0.051,0.033,0.002
"P11","A Sergio Massa",0.038,0.499,0.028,0.013
"P11","A algún candidato del peronismo",0.046,0.089,0.689,0.031
"P11","A Cristina Fernández de Kirchner",0.422,0.361,0.25,0.954
"P14","Lo votaría",0.022,0.026,0.106,0.03
"P14","Puede que lo vote",0.037,0.041,0.11,0.023
"P14","Nunca lo votaría",0.889,0.875,0.734,0.937
"P14","No sabe",0.052,0.058,0.05,0.01
"P15","Lo votaría",0.187,0.495,0.119,0.095
"P15","Puede que lo vote",0.318,0.358,0.326,0.499
"P15","Nunca lo votaría",0.407,0.109,0.486,0.293
"P15","No sabe",0.088,0.038,0.069,0.113
"P16","Lo votaría",0.648,0.234,0.094,0.164
"P16","Puede que lo vote",0.227,0.336,0.393,0.507
"P16","Nunca lo votaría",0.08,0.328,0.402,0.214
"P16","No sabe",0.045,0.102,0.111,0.115
"P17","La votaría",0.729,0.566,0.426,0.893
"P17","Puede que la vote",0.15,0.188,0.185,0.056
"P17","Nunca la votaría",0.103,0.182,0.353,0.048
"P17","No sabe",0.018,0.064,0.036,0.003
"P18","Lo votaría",0.018,0.144,0.107,0.01
"P18","Puede que lo vote",0.119,0.073,0.152,0.015
"P18","Nunca lo votaría",0.759,0.677,0.689,0.955
"P18","No sabe",0.104,0.106,0.052,0.02
"P19","Lo votaría",0.048,0.078,0.084,0.022
"P19","Puede que lo vote",0.068,0.148,0.162,0.066
"P19","Nunca lo votaría",0.74,0.542,0.656,0.811
"P19","No sabe",0.144,0.232,0.098,0.101
"P20","La votaría",0.053,0.04,0.144,0.022
"P20","Puede que la vote",0.031,0.116,0.077,0.007
"P20","Nunca la votaría",0.853,0.778,0.76,0.955
"P20","No sabe",0.063,0.066,0.019,0.016
"P21","Lo votaría",0.048,0.015,0.07,0.026
"P21","Puede que lo vote",0.115,0.058,0.071,0.011
"P21","Nunca lo votaría",0.738,0.828,0.805,0.931
"P21","No sabe",0.099,0.099,0.054,0.032
"P22","La votaría",0.121,0.107,0.145,0.05
"P22","Puede que la vote",0.066,0.049,0.092,0.011
"P22","Nunca la votaría",0.711,0.779,0.67,0.905
"P22","No sabe",0.102,0.065,0.093,0.034
"P23","Lo votaría",0.195,0.282,0.187,0.211
"P23","Puede que lo vote",0.321,0.279,0.353,0.486
"P23","Nunca lo votaría",0.351,0.29,0.405,0.179
"P23","No sabe",0.133,0.149,0.055,0.124
"P24","Lo votaría",0.055,0.008,0.099,0.01
"P24","Puede que lo vote",0.071,0.051,0.125,0.029
"P24","Nunca lo votaría",0.753,0.752,0.636,0.864
"P24","No sabe",0.121,0.189,0.14,0.097
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.03,0.038,0.059,0.005
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.018,0.052,0.09,0.013
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.437,0.159,0.133,0.007
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.494,0.635,0.392,0.944
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.018,0.011,0.1,0.005
"P25","Otros candidatos",0.003,0.105,0.226,0.026
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.633,0.668,0.526,0.873
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.114,0.038,0.069,0.018
"P29","Javier Milei – José Luis Espert por los liberales",0.093,0.136,0.021,0.041
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.067,0.072,0.059,0.044
"P29","Otro candidato",0.093,0.086,0.325,0.024
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.02,0.134,0.11,0.053
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.793,0.499,0.467,0.56
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.015,0.073,0.056,0.008
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.033,0.057,0.044,0.067
"P31","Otro candidato",0.139,0.237,0.323,0.312
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.452,0.613,0.408,0.68
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.075,0.127,0.137,0.028
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.034,0.076,0.091,0.01
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.054,0.039,0.058,0.042
"P33","Otro candidato",0.385,0.145,0.306,0.24
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.866,0.765,0.587,0.954
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.041,0.071,0.233,0.021
"P35","No sabe",0.093,0.164,0.18,0.025
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.882,0.706,0.517,0.793
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.026,0.105,0.236,0.016
"P36","No sabe",0.092,0.189,0.247,0.191
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.654,0.8,0.45,0.799
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.016,0.044,0.251,0.003
"P37","No sabe",0.33,0.156,0.299,0.198
"P38","Muy buena",0.365,0.178,0.054,0.098
"P38","Buena",0.308,0.258,0.292,0.433
"P38","Ni buena ni mala",0.275,0.341,0.348,0.349
"P38","Mala",0.012,0.159,0.132,0.098
"P38","Muy mala",0.04,0.064,0.156,0.014
"P38","No sabe",0,0,0.018,0.008
"P39","Muy buena",0.341,0.112,0.025,0.068
"P39","Buena",0.464,0.292,0.23,0.375
"P39","Ni buena ni mala",0.13,0.334,0.222,0.408
"P39","Mala",0.04,0.137,0.216,0.113
"P39","Muy mala",0.025,0.125,0.297,0.033
"P39","No sabe",0,0,0.01,0.003
"P40","Muy buena",0.475,0.372,0.259,0.834
"P40","Buena",0.272,0.299,0.204,0.089
"P40","Ni buena ni mala",0.137,0.103,0.182,0.038
"P40","Mala",0.043,0.055,0.048,0.028
"P40","Muy mala",0.06,0.115,0.293,0.011
"P40","No sabe",0.013,0.056,0.014,0
"P41","Muy buena",0.046,0.039,0.027,0.038
"P41","Buena",0,0.044,0.102,0.011
"P41","Ni buena ni mala",0.039,0.055,0.111,0.015
"P41","Mala",0.238,0.183,0.209,0.152
"P41","Muy mala",0.624,0.653,0.544,0.784
"P41","No sabe",0.053,0.026,0.007,0
"P42","Muy buena",0.037,0.011,0.026,0.005
"P42","Buena",0.06,0.107,0.127,0.015
"P42","Ni buena ni mala",0.137,0.204,0.27,0.076
"P42","Mala",0.177,0.214,0.167,0.2
"P42","Muy mala",0.517,0.433,0.396,0.698
"P42","No sabe",0.072,0.031,0.014,0.006
"P43","Muy buena",0.14,0.503,0.039,0.045
"P43","Buena",0.315,0.253,0.318,0.327
"P43","Ni buena ni mala",0.33,0.096,0.214,0.467
"P43","Mala",0.065,0.058,0.179,0.089
"P43","Muy mala",0.088,0.09,0.24,0.071
"P43","No sabe",0.062,0,0.01,0.001
"P44","Muy buena",0.023,0.067,0.038,0.004
"P44","Buena",0.06,0.057,0.04,0.038
"P44","Ni buena ni mala",0.108,0.071,0.116,0.054
"P44","Mala",0.133,0.257,0.185,0.126
"P44","Muy mala",0.531,0.513,0.597,0.769
"P44","No sabe",0.145,0.035,0.024,0.009
"P45","Muy buena",0.013,0,0.035,0
"P45","Buena",0.036,0.014,0.103,0.006
"P45","Ni buena ni mala",0.172,0.083,0.206,0.017
"P45","Mala",0.165,0.295,0.145,0.123
"P45","Muy mala",0.578,0.581,0.503,0.848
"P45","No sabe",0.036,0.027,0.008,0.006
"P46","Muy buena",0.132,0.24,0.098,0.081
"P46","Buena",0.335,0.32,0.333,0.496
"P46","Ni buena ni mala",0.296,0.176,0.29,0.305
"P46","Mala",0.048,0.109,0.116,0.051
"P46","Muy mala",0.15,0.125,0.163,0.067
"P46","No sabe",0.039,0.03,0,0
"P47","Muy buena",0.047,0.025,0.01,0.002
"P47","Buena",0.033,0.102,0.091,0.028
"P47","Ni buena ni mala",0.299,0.213,0.233,0.121
"P47","Mala",0.12,0.259,0.257,0.202
"P47","Muy mala",0.273,0.334,0.337,0.614
"P47","No sabe",0.228,0.067,0.072,0.033
