"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna","opciones"
"Muy buena",0.065,0.056,0.073,0.049,0.068,0.061,0.083,0.096,0.056,0.042,0.06,0.075,0.138,0.016,0,6
"Buena",0.177,0.174,0.18,0.134,0.176,0.207,0.189,0.2,0.165,0.168,0.19,0.147,0.259,0.122,0.041,6
"Ni buena ni mala",0.179,0.154,0.203,0.164,0.195,0.171,0.173,0.211,0.175,0.148,0.178,0.182,0.342,0.032,0.043,6
"Mala",0.112,0.116,0.107,0.15,0.105,0.095,0.103,0.109,0.104,0.128,0.105,0.126,0.089,0.073,0.299,6
"Muy mala",0.456,0.494,0.421,0.492,0.446,0.456,0.438,0.369,0.487,0.512,0.456,0.458,0.165,0.757,0.617,6
"No sabe",0.011,0.006,0.016,0.011,0.01,0.01,0.014,0.015,0.013,0.002,0.011,0.012,0.007,0,0,6
"Positiva",0.242,0.23,0.253,0.183,0.244,0.268,0.272,0.296,0.221,0.21,0.25,0.222,0.397,0.138,0.041,4
"Neutra",0.179,0.154,0.203,0.164,0.195,0.171,0.173,0.211,0.175,0.148,0.178,0.182,0.342,0.032,0.043,4
"Negativa",0.568,0.61,0.528,0.642,0.551,0.551,0.541,0.478,0.591,0.64,0.561,0.584,0.254,0.83,0.916,4
"No sabe",0.011,0.006,0.016,0.011,0.01,0.01,0.014,0.015,0.013,0.002,0.011,0.012,0.007,0,0,4
