"var","categoria","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos","Javier Milei presidente – José Luis Espert por los liberales","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda","Otro candidato"
"P04","Tengo trabajo estable",0.431,0.447,0.517,0.496,0.43
"P04","Realizo changas o trabajos de vez en cuando",0.171,0.236,0.244,0.201,0.18
"P04","No tengo trabajo",0.206,0.114,0.151,0.136,0.197
"P04","Soy jubilado o pensionado",0.192,0.203,0.088,0.167,0.193
"P05","Derecha",0.251,0.134,0.397,0.082,0.148
"P05","Centro derecha",0.239,0.051,0.199,0.02,0.148
"P05","Centro izquierda",0.112,0.376,0.051,0.354,0.198
"P05","Izquierda",0.051,0.151,0.031,0.357,0.111
"P05","No sabe",0.347,0.288,0.322,0.187,0.395
"P06","Alta",0.226,0.591,0.229,0.569,0.372
"P06","Media",0.336,0.276,0.261,0.312,0.314
"P06","Baja",0.438,0.133,0.51,0.119,0.314
"P07","Estoy de acuerdo",0.331,0.598,0.212,0.696,0.4
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.483,0.261,0.532,0.123,0.364
"P07","No estoy de acuerdo",0.136,0.102,0.216,0.059,0.161
"P07","No sabe",0.05,0.039,0.04,0.122,0.075
"P08","Del Frente de Todos y el peronismo",0.097,0.835,0.061,0.367,0.344
"P08","De Cambiemos",0.712,0.051,0.148,0.066,0.302
"P08","De los Liberales libertarios",0.06,0.015,0.622,0.016,0.041
"P08","De la Izquierda",0.004,0.021,0.034,0.435,0.033
"P08","No sabe",0.127,0.078,0.135,0.116,0.28
"P10","A Alberto Fernández",0.045,0.222,0.086,0.094,0.08
"P10","A Sergio Massa",0.275,0.127,0.382,0.15,0.125
"P10","A algún candidato del peronismo",0.301,0.159,0.393,0.154,0.228
"P10","A algún candidato del kirchnerismo",0.379,0.492,0.139,0.602,0.567
"P11","A Alberto Fernández",0.059,0.114,0.02,0.072,0.033
"P11","A Sergio Massa",0.146,0.067,0.382,0.018,0.096
"P11","A algún candidato del peronismo",0.369,0.111,0.393,0.162,0.219
