"var","categoria","Del Frente de Todos y el peronismo","De Cambiemos","De los Liberales libertarios","De la Izquierda","No sabe"
"P04","Tengo trabajo estable",0.485,0.439,0.513,0.446,0.3
"P04","Realizo changas o trabajos de vez en cuando",0.217,0.16,0.21,0.147,0.326
"P04","No tengo trabajo",0.125,0.193,0.185,0.249,0.226
"P04","Soy jubilado o pensionado",0.173,0.208,0.092,0.158,0.148
"P05","Derecha",0.164,0.27,0.365,0.144,0.073
"P05","Centro derecha",0.076,0.267,0.24,0.05,0.101
"P05","Centro izquierda",0.338,0.112,0.099,0.228,0.085
"P05","Izquierda",0.171,0.044,0.026,0.312,0.029
"P05","No sabe",0.251,0.307,0.27,0.266,0.712
"P06","Alta",0.561,0.26,0.214,0.373,0.301
"P06","Media",0.259,0.317,0.259,0.394,0.407
"P06","Baja",0.18,0.423,0.527,0.233,0.292
"P07","Estoy de acuerdo",0.588,0.286,0.226,0.464,0.307
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.301,0.503,0.493,0.239,0.409
"P07","No estoy de acuerdo",0.083,0.154,0.247,0.134,0.188
"P07","No sabe",0.028,0.057,0.034,0.163,0.096
"P14","Lo votaría",0.044,0.503,0.129,0.092,0.049
"P14","Puede que lo vote",0.045,0.261,0.364,0.114,0.112
"P14","Nunca lo votaría",0.879,0.209,0.449,0.769,0.608
"P14","No sabe",0.032,0.027,0.058,0.025,0.231
"P15","Lo votaría",0.177,0.047,0.043,0.108,0.051
"P15","Puede que lo vote",0.408,0.063,0.069,0.181,0.133
"P15","Nunca lo votaría",0.326,0.864,0.858,0.57,0.563
"P15","No sabe",0.089,0.026,0.03,0.141,0.253
"P16","Lo votaría",0.252,0.031,0.043,0.108,0.065
"P16","Puede que lo vote",0.406,0.041,0.053,0.217,0.096
"P16","Nunca lo votaría",0.246,0.901,0.899,0.503,0.58
"P16","No sabe",0.096,0.027,0.005,0.172,0.259
"P17","La votaría",0.718,0.04,0.047,0.202,0.104
"P17","Puede que la vote",0.115,0.04,0.048,0.182,0.06
"P17","Nunca la votaría",0.146,0.912,0.895,0.461,0.621
"P17","No sabe",0.021,0.008,0.01,0.155,0.215
"P18","Lo votaría",0.051,0.391,0.135,0.122,0.12
"P18","Puede que lo vote",0.074,0.37,0.364,0.075,0.19
"P18","Nunca lo votaría",0.824,0.203,0.453,0.685,0.397
"P18","No sabe",0.051,0.036,0.048,0.118,0.293
"P19","Lo votaría",0.048,0.213,0.093,0.154,0.059
"P19","Puede que lo vote",0.097,0.343,0.247,0.158,0.175
"P19","Nunca lo votaría",0.726,0.386,0.567,0.506,0.394
"P19","No sabe",0.129,0.058,0.093,0.182,0.372
"P20","La votaría",0.055,0.535,0.286,0.128,0.097
"P20","Puede que la vote",0.04,0.231,0.389,0.065,0.172
"P20","Nunca la votaría",0.872,0.207,0.27,0.694,0.493
"P20","No sabe",0.033,0.027,0.055,0.113,0.238
"P21","Lo votaría",0.038,0.059,0.648,0.132,0.07
"P21","Puede que lo vote",0.047,0.241,0.18,0.155,0.164
"P21","Nunca lo votaría",0.857,0.641,0.158,0.649,0.5
"P21","No sabe",0.058,0.059,0.014,0.064,0.266
"P22","La votaría",0.09,0.309,0.114,0.047,0.082
"P22","Puede que la vote",0.045,0.365,0.241,0.03,0.147
"P22","Nunca la votaría",0.805,0.262,0.573,0.786,0.489
"P22","No sabe",0.06,0.064,0.072,0.137,0.282
"P23","Lo votaría",0.212,0.029,0.071,0.151,0.038
"P23","Puede que lo vote",0.394,0.04,0.039,0.183,0.104
"P23","Nunca lo votaría",0.277,0.906,0.869,0.523,0.627
"P23","No sabe",0.117,0.025,0.021,0.143,0.231
"P24","Lo votaría",0.034,0.089,0.056,0.142,0.037
"P24","Puede que lo vote",0.061,0.28,0.145,0.075,0.085
"P24","Nunca lo votaría",0.784,0.51,0.671,0.541,0.432
"P24","No sabe",0.121,0.121,0.128,0.242,0.446
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.024,0.533,0.088,0.114,0.087
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.037,0.264,0.102,0.029,0.163
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.126,0.007,0.029,0.101,0.032
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.71,0.025,0.017,0.17,0.132
