"var","categoria","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos","No sabe"
"P04","Tengo trabajo estable",0.502,0.457,0.417
"P04","Realizo changas o trabajos de vez en cuando",0.183,0.165,0.256
"P04","No tengo trabajo",0.106,0.193,0.191
"P04","Soy jubilado o pensionado",0.209,0.185,0.136
"P05","Derecha",0.092,0.303,0.22
"P05","Centro derecha",0.052,0.261,0.097
"P05","Centro izquierda",0.397,0.092,0.174
"P05","Izquierda",0.204,0.034,0.087
"P05","No sabe",0.255,0.31,0.422
"P06","Alta",0.618,0.212,0.356
"P06","Media",0.261,0.272,0.367
"P06","Baja",0.121,0.516,0.277
"P07","Estoy de acuerdo",0.671,0.266,0.357
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.19,0.508,0.411
"P07","No estoy de acuerdo",0.098,0.173,0.147
"P07","No sabe",0.041,0.053,0.085
"P08","Del Frente de Todos y el peronismo",0.821,0.057,0.299
"P08","De Cambiemos",0.041,0.617,0.155
"P08","De los Liberales libertarios",0.02,0.213,0.163
"P08","De la Izquierda",0.045,0.013,0.086
"P08","No sabe",0.073,0.1,0.297
"P10","A Alberto Fernández",0.144,0.042,0.223
"P10","A Sergio Massa",0.168,0.11,0.1
"P10","A algún candidato del peronismo",0.124,0.822,0.25
"P10","A algún candidato del kirchnerismo",0.564,0.026,0.427
"P11","A Alberto Fernández",0.058,0.032,0.153
"P11","A Sergio Massa",0.099,0.11,0.037
"P11","A algún candidato del peronismo",0.079,0.832,0.28
"P11","A Cristina Fernández de Kirchner",0.764,0.026,0.53
"P12","A Horacio Rodriguez Larreta",0.376,0.221,0.225
"P12","A Mauricio Macri",0.054,0.353,0.304
"P12","A Patricia Bullrich",0.14,0.301,0.124
"P12","A Facundo Manes",0.181,0.054,0.215
"P12","A Gerardo Morales",0.249,0.071,0.132
"P13","Seguro lo votaria",0.18,0.189,0.164
"P13","Quizás lo votaría",0.167,0.271,0.305
"P13","Nunca lo votaría",0.653,0.54,0.531
"P14","Lo votaría",0.024,0.41,0.062
"P14","Puede que lo vote",0.029,0.31,0.146
"P14","Nunca lo votaría",0.933,0.224,0.706
"P14","No sabe",0.014,0.056,0.086
"P15","Lo votaría",0.216,0.046,0.048
"P15","Puede que lo vote",0.508,0.045,0.151
"P15","Nunca lo votaría",0.184,0.886,0.656
"P15","No sabe",0.092,0.023,0.145
"P16","Lo votaría",0.247,0.022,0.123
"P16","Puede que lo vote",0.438,0.026,0.172
"P16","Nunca lo votaría",0.214,0.926,0.588
"P16","No sabe",0.101,0.026,0.117
"P17","La votaría",0.721,0.018,0.268
"P17","Puede que la vote",0.122,0.018,0.095
"P17","Nunca la votaría",0.123,0.954,0.559
"P17","No sabe",0.034,0.01,0.078
"P18","Lo votaría",0.027,0.333,0.114
"P18","Puede que lo vote",0.061,0.387,0.195
"P18","Nunca lo votaría",0.855,0.232,0.556
"P18","No sabe",0.057,0.048,0.135
"P19","Lo votaría",0.026,0.167,0.106
"P19","Puede que lo vote",0.124,0.333,0.152
"P19","Nunca lo votaría",0.732,0.424,0.51
"P19","No sabe",0.118,0.076,0.232
"P20","La votaría",0.016,0.531,0.075
"P20","Puede que la vote",0.031,0.312,0.134
"P20","Nunca la votaría",0.918,0.133,0.681
"P20","No sabe",0.035,0.024,0.11
"P21","Lo votaría",0.03,0.182,0.193
"P21","Puede que lo vote",0.042,0.237,0.118
"P21","Nunca lo votaría",0.882,0.527,0.561
"P21","No sabe",0.046,0.054,0.128
"P22","La votaría",0.052,0.28,0.065
"P22","Puede que la vote",0.04,0.345,0.149
"P22","Nunca la votaría",0.845,0.31,0.635
"P22","No sabe",0.063,0.065,0.151
"P23","Lo votaría",0.231,0.029,0.069
"P23","Puede que lo vote",0.428,0.035,0.157
"P23","Nunca lo votaría",0.237,0.922,0.605
"P23","No sabe",0.104,0.014,0.169
"P24","Lo votaría",0.029,0.078,0.051
"P24","Puede que lo vote",0.057,0.252,0.095
"P24","Nunca lo votaría",0.81,0.53,0.564
"P24","No sabe",0.104,0.14,0.29
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.017,0.434,0.079
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.018,0.225,0.133
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.11,0.012,0.073
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.766,0.004,0.214
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.023,0.207,0.218
"P25","Otros candidatos",0.066,0.118,0.283
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.759,0.041,0.238
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.039,0.548,0.102
"P29","Javier Milei – José Luis Espert por los liberales",0.079,0.203,0.207
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.067,0.029,0.106
"P29","Otro candidato",0.056,0.179,0.347
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.06,0.489,0.154
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.605,0.03,0.172
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.035,0.26,0.205
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.08,0.014,0.071
"P31","Otro candidato",0.22,0.207,0.398
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.742,0.036,0.066
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.048,0.679,0.085
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.02,0.217,0.22
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.055,0.002,0.076
"P33","Otro candidato",0.135,0.066,0.553
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.91,0.032,0.277
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.031,0.827,0.142
"P35","No sabe",0.059,0.141,0.581
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.816,0.014,0.194
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.031,0.779,0.163
"P36","No sabe",0.153,0.207,0.643
"P38","Muy buena",0.168,0.007,0.044
"P38","Buena",0.352,0.132,0.062
"P38","Ni buena ni mala",0.288,0.012,0.313
"P38","Mala",0.123,0.064,0.17
"P38","Muy mala",0.062,0.78,0.388
"P38","No sabe",0.007,0.005,0.023
"P39","Muy buena",0.109,0.008,0.058
"P39","Buena",0.37,0.015,0.091
"P39","Ni buena ni mala",0.328,0.031,0.237
"P39","Mala",0.124,0.074,0.166
"P39","Muy mala",0.067,0.866,0.427
"P39","No sabe",0.002,0.006,0.021
"P40","Muy buena",0.609,0.011,0.182
"P40","Buena",0.189,0.003,0.083
"P40","Ni buena ni mala",0.1,0.01,0.122
"P40","Mala",0.038,0.027,0.094
"P40","Muy mala",0.053,0.944,0.487
"P40","No sabe",0.011,0.005,0.032
"P41","Muy buena",0.047,0.261,0.045
"P41","Buena",0.011,0.275,0.076
"P41","Ni buena ni mala",0.045,0.239,0.148
"P41","Mala",0.166,0.13,0.229
"P41","Muy mala",0.725,0.093,0.458
"P41","No sabe",0.006,0.002,0.044
"P42","Muy buena",0.017,0.269,0.079
"P42","Buena",0.047,0.387,0.125
"P42","Ni buena ni mala",0.131,0.217,0.26
"P42","Mala",0.185,0.074,0.156
"P42","Muy mala",0.609,0.049,0.318
"P42","No sabe",0.011,0.004,0.062
"P43","Muy buena",0.149,0.019,0.038
"P43","Buena",0.377,0.023,0.077
"P43","Ni buena ni mala",0.34,0.054,0.289
"P43","Mala",0.073,0.184,0.15
"P43","Muy mala",0.06,0.713,0.381
"P43","No sabe",0.001,0.007,0.065
"P44","Muy buena",0.032,0.131,0.112
"P44","Buena",0.063,0.155,0.083
"P44","Ni buena ni mala",0.083,0.309,0.202
"P44","Mala",0.135,0.16,0.179
"P44","Muy mala",0.667,0.237,0.338
"P44","No sabe",0.02,0.008,0.086
"P45","Muy buena",0.01,0.313,0.066
"P45","Buena",0.026,0.332,0.085
"P45","Ni buena ni mala",0.079,0.21,0.187
"P45","Mala",0.138,0.078,0.183
"P45","Muy mala",0.742,0.063,0.438
"P45","No sabe",0.005,0.004,0.041
"P46","Muy buena",0.132,0.043,0.05
"P46","Buena",0.424,0.05,0.119
"P46","Ni buena ni mala",0.285,0.084,0.236
"P46","Mala",0.06,0.135,0.141
"P46","Muy mala",0.089,0.686,0.39
"P46","No sabe",0.01,0.002,0.064
"P47","Muy buena",0.022,0.062,0.028
"P47","Buena",0.065,0.186,0.051
"P47","Ni buena ni mala",0.169,0.378,0.271
"P47","Mala",0.194,0.1,0.144
"P47","Muy mala",0.48,0.21,0.311
"P47","No sabe",0.07,0.064,0.195
