"var","categoria","Tengo trabajo estable","Realizo changas o trabajos de vez en cuando","No tengo trabajo","Soy jubilado o pensionado"
"P05","Derecha",0.311,0.105,0.143,0.119
"P05","Centro derecha",0.13,0.235,0.125,0.177
"P05","Centro izquierda",0.208,0.119,0.192,0.184
"P05","Izquierda",0.067,0.08,0.065,0.187
"P05","No sabe",0.284,0.461,0.475,0.333
"P06","Alta",0.36,0.338,0.378,0.398
"P06","Media",0.3,0.38,0.303,0.26
"P06","Baja",0.34,0.282,0.319,0.342
"P07","Estoy de acuerdo",0.506,0.251,0.356,0.318
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.328,0.509,0.425,0.436
"P07","No estoy de acuerdo",0.129,0.167,0.15,0.161
"P07","No sabe",0.037,0.073,0.069,0.085
"P08","Del Frente de Todos y el peronismo",0.381,0.343,0.242,0.354
"P08","De Cambiemos",0.297,0.219,0.323,0.367
"P08","De los Liberales libertarios",0.148,0.121,0.131,0.07
"P08","De la Izquierda",0.041,0.027,0.057,0.038
"P08","No sabe",0.133,0.29,0.247,0.171
"P10","A Alberto Fernández",0.149,0.339,0.28,0.113
"P10","A Sergio Massa",0.181,0.046,0.134,0.179
"P10","A algún candidato del peronismo",0.192,0.233,0.267,0.127
"P10","A algún candidato del kirchnerismo",0.478,0.382,0.319,0.581
"P11","A Alberto Fernández",0.069,0.241,0.165,0.04
"P11","A Sergio Massa",0.098,0.058,0.137,0.086
"P11","A algún candidato del peronismo",0.155,0.21,0.238,0.128
"P11","A Cristina Fernández de Kirchner",0.678,0.491,0.46,0.746
"P12","A Horacio Rodriguez Larreta",0.273,0.237,0.257,0.157
"P12","A Mauricio Macri",0.259,0.317,0.408,0.383
"P12","A Patricia Bullrich",0.255,0.325,0.247,0.266
"P12","A Facundo Manes",0.102,0.061,0.043,0.122
"P12","A Gerardo Morales",0.111,0.06,0.045,0.072
"P13","Seguro lo votaria",0.186,0.218,0.203,0.207
"P13","Quizás lo votaría",0.276,0.249,0.412,0.186
"P13","Nunca lo votaría",0.538,0.533,0.385,0.607
"P14","Lo votaría",0.169,0.154,0.248,0.25
"P14","Puede que lo vote",0.189,0.142,0.168,0.141
"P14","Nunca lo votaría",0.596,0.621,0.464,0.534
"P14","No sabe",0.046,0.083,0.12,0.075
"P15","Lo votaría",0.099,0.072,0.078,0.125
"P15","Puede que lo vote",0.242,0.199,0.108,0.188
"P15","Nunca lo votaría",0.59,0.596,0.68,0.603
"P15","No sabe",0.069,0.133,0.134,0.084
"P16","Lo votaría",0.1,0.141,0.112,0.137
"P16","Puede que lo vote",0.21,0.195,0.123,0.17
"P16","Nunca lo votaría",0.617,0.529,0.65,0.593
"P16","No sabe",0.073,0.135,0.115,0.1
"P17","La votaría",0.304,0.308,0.21,0.309
"P17","Puede que la vote",0.084,0.079,0.084,0.045
"P17","Nunca la votaría",0.584,0.522,0.604,0.595
"P17","No sabe",0.028,0.091,0.102,0.051
"P18","Lo votaría",0.184,0.146,0.202,0.179
"P18","Puede que lo vote",0.218,0.186,0.248,0.253
"P18","Nunca lo votaría",0.531,0.557,0.408,0.465
"P18","No sabe",0.067,0.111,0.142,0.103
"P19","Lo votaría",0.119,0.094,0.114,0.095
"P19","Puede que lo vote",0.208,0.176,0.198,0.248
"P19","Nunca lo votaría",0.553,0.566,0.502,0.469
"P19","No sabe",0.12,0.164,0.186,0.188
"P20","La votaría",0.224,0.205,0.256,0.301
"P20","Puede que la vote",0.167,0.16,0.203,0.15
"P20","Nunca la votaría",0.56,0.529,0.441,0.465
"P20","No sabe",0.049,0.106,0.1,0.084
"P21","Lo votaría",0.144,0.13,0.186,0.073
"P21","Puede que lo vote",0.134,0.184,0.196,0.097
"P21","Nunca lo votaría",0.664,0.571,0.475,0.733
"P21","No sabe",0.058,0.115,0.143,0.097
"P22","La votaría",0.148,0.136,0.217,0.132
"P22","Puede que la vote",0.191,0.156,0.173,0.215
"P22","Nunca la votaría",0.611,0.59,0.434,0.475
"P22","No sabe",0.05,0.118,0.176,0.178
"P23","Lo votaría",0.095,0.124,0.092,0.115
"P23","Puede que lo vote",0.199,0.198,0.109,0.177
"P23","Nunca lo votaría",0.628,0.573,0.646,0.617
"P23","No sabe",0.078,0.105,0.153,0.091
"P24","Lo votaría",0.071,0.056,0.053,0.033
"P24","Puede que lo vote",0.15,0.127,0.113,0.17
"P24","Nunca lo votaría",0.631,0.617,0.588,0.577
"P24","No sabe",0.148,0.2,0.246,0.22
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.178,0.143,0.281,0.264
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.143,0.107,0.175,0.119
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.052,0.104,0.036,0.046
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.303,0.26,0.212,0.328
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.169,0.194,0.136,0.077
"P25","Otros candidatos",0.155,0.192,0.16,0.166
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.321,0.305,0.245,0.334
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.229,0.248,0.324,0.345
"P29","Javier Milei – José Luis Espert por los liberales",0.18,0.182,0.155,0.119
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.069,0.054,0.074,0.035
"P29","Otro candidato",0.201,0.211,0.202,0.167
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.25,0.221,0.32,0.287
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.232,0.273,0.16,0.272
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.201,0.211,0.157,0.089
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.054,0.049,0.04,0.047
"P31","Otro candidato",0.263,0.246,0.323,0.305
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.271,0.246,0.137,0.321
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.283,0.256,0.435,0.369
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.191,0.195,0.112,0.073
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.036,0.04,0.048,0.03
"P33","Otro candidato",0.219,0.263,0.268,0.207
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.393,0.36,0.256,0.384
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.387,0.335,0.459,0.406
"P35","No sabe",0.22,0.305,0.285,0.21
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.321,0.327,0.194,0.322
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.391,0.311,0.452,0.364
"P36","No sabe",0.288,0.362,0.354,0.314
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.324,0.276,0.188,0.347
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.415,0.35,0.484,0.433
"P37","No sabe",0.261,0.374,0.328,0.22
"P38","Muy buena",0.072,0.055,0.048,0.072
"P38","Buena",0.206,0.182,0.088,0.179
"P38","Ni buena ni mala",0.181,0.193,0.155,0.183
"P38","Mala",0.113,0.128,0.111,0.091
"P38","Muy mala",0.426,0.43,0.579,0.451
"P38","No sabe",0.002,0.012,0.019,0.024
"P39","Muy buena",0.053,0.056,0.035,0.06
"P39","Buena",0.138,0.157,0.089,0.178
"P39","Ni buena ni mala",0.189,0.165,0.152,0.186
"P39","Mala",0.125,0.106,0.126,0.091
"P39","Muy mala",0.492,0.504,0.581,0.47
"P39","No sabe",0.003,0.012,0.017,0.015
"P40","Muy buena",0.255,0.211,0.148,0.296
"P40","Buena",0.086,0.103,0.042,0.079
"P40","Ni buena ni mala",0.064,0.073,0.097,0.047
"P40","Mala",0.05,0.053,0.043,0.05
"P40","Muy mala",0.537,0.539,0.645,0.515
"P40","No sabe",0.008,0.021,0.025,0.013
"P41","Muy buena",0.105,0.12,0.201,0.174
"P41","Buena",0.149,0.129,0.123,0.146
"P41","Ni buena ni mala",0.139,0.194,0.177,0.137
"P41","Mala",0.164,0.156,0.177,0.19
"P41","Muy mala",0.433,0.379,0.301,0.338
"P41","No sabe",0.01,0.022,0.021,0.015
"P42","Muy buena",0.119,0.103,0.218,0.166
"P42","Buena",0.214,0.183,0.2,0.251
"P42","Ni buena ni mala",0.173,0.262,0.247,0.182
"P42","Mala",0.144,0.096,0.14,0.121
"P42","Muy mala",0.335,0.306,0.186,0.254
"P42","No sabe",0.015,0.05,0.009,0.026
"P43","Muy buena",0.057,0.051,0.066,0.089
"P43","Buena",0.155,0.152,0.066,0.172
"P43","Ni buena ni mala",0.22,0.224,0.173,0.173
"P43","Mala",0.144,0.139,0.119,0.161
"P43","Muy mala",0.412,0.389,0.548,0.392
"P43","No sabe",0.012,0.045,0.028,0.013
"P44","Muy buena",0.105,0.108,0.114,0.043
"P44","Buena",0.119,0.118,0.109,0.064
"P44","Ni buena ni mala",0.155,0.241,0.298,0.249
"P44","Mala",0.153,0.134,0.144,0.213
"P44","Muy mala",0.445,0.343,0.299,0.397
"P44","No sabe",0.023,0.056,0.036,0.034
"P45","Muy buena",0.123,0.155,0.209,0.179
"P45","Buena",0.169,0.154,0.186,0.187
"P45","Ni buena ni mala",0.129,0.187,0.239,0.166
"P45","Mala",0.143,0.104,0.099,0.128
"P45","Muy mala",0.425,0.378,0.252,0.324
"P45","No sabe",0.011,0.022,0.015,0.016
"P46","Muy buena",0.064,0.067,0.075,0.091
"P46","Buena",0.195,0.205,0.077,0.201
"P46","Ni buena ni mala",0.197,0.182,0.176,0.174
"P46","Mala",0.12,0.073,0.128,0.136
"P46","Muy mala",0.407,0.434,0.51,0.391
"P46","No sabe",0.017,0.039,0.034,0.007
"P47","Muy buena",0.04,0.027,0.046,0.051
"P47","Buena",0.114,0.096,0.098,0.138
"P47","Ni buena ni mala",0.271,0.28,0.327,0.299
"P47","Mala",0.157,0.143,0.091,0.138
"P47","Muy mala",0.344,0.321,0.267,0.291
"P47","No sabe",0.074,0.133,0.171,0.083
