"clase","Opinión","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","GBA","Interior","Fernandez","Macri","Lavagna"
"Horacio Rodriguez Larreta","Positiva",0.352,0.317,0.386,0.335,0.327,0.375,0.4,0.379,0.312,0.389,0.348,0.36,0.135,0.697,0.133
"Horacio Rodriguez Larreta","Neutra",0.204,0.206,0.202,0.194,0.201,0.206,0.224,0.224,0.223,0.148,0.211,0.19,0.178,0.169,0.683
"Horacio Rodriguez Larreta","Negativa",0.421,0.457,0.386,0.445,0.447,0.408,0.347,0.365,0.444,0.449,0.419,0.425,0.654,0.131,0.184
"Horacio Rodriguez Larreta","No sabe",0.023,0.02,0.026,0.026,0.025,0.011,0.029,0.032,0.021,0.014,0.022,0.025,0.033,0.003,0
"Maria Eugenia Vidal","Positiva",0.326,0.305,0.345,0.3,0.302,0.355,0.37,0.315,0.322,0.345,0.325,0.326,0.128,0.59,0.381
"Maria Eugenia Vidal","Neutra",0.165,0.17,0.16,0.202,0.143,0.166,0.169,0.18,0.172,0.135,0.171,0.152,0.05,0.27,0.258
"Maria Eugenia Vidal","Negativa",0.494,0.516,0.475,0.482,0.536,0.473,0.446,0.49,0.49,0.508,0.488,0.509,0.793,0.138,0.361
"Maria Eugenia Vidal","No sabe",0.015,0.009,0.02,0.016,0.019,0.006,0.015,0.015,0.016,0.012,0.016,0.013,0.029,0.002,0
"CFK","Positiva",0.317,0.282,0.349,0.237,0.316,0.355,0.362,0.327,0.309,0.315,0.309,0.332,0.608,0.036,0.058
"CFK","Neutra",0.068,0.068,0.068,0.092,0.076,0.048,0.048,0.081,0.073,0.045,0.072,0.061,0.14,0.01,0.02
"CFK","Negativa",0.6,0.64,0.564,0.638,0.596,0.594,0.576,0.579,0.602,0.625,0.609,0.582,0.233,0.952,0.922
"CFK","No sabe",0.015,0.01,0.019,0.033,0.012,0.003,0.014,0.013,0.016,0.015,0.01,0.025,0.019,0.002,0
"Mauricio Macri","Positiva",0.276,0.263,0.289,0.24,0.25,0.31,0.336,0.275,0.26,0.306,0.274,0.283,0.09,0.582,0.037
"Mauricio Macri","Neutra",0.156,0.166,0.147,0.183,0.159,0.138,0.14,0.143,0.176,0.136,0.164,0.137,0.084,0.177,0.097
"Mauricio Macri","Negativa",0.552,0.564,0.541,0.54,0.581,0.549,0.505,0.57,0.542,0.549,0.551,0.555,0.794,0.239,0.866
"Mauricio Macri","No sabe",0.016,0.007,0.023,0.037,0.01,0.003,0.019,0.012,0.022,0.009,0.011,0.025,0.032,0.002,0
"Daniel Scioli","Positiva",0.251,0.25,0.253,0.208,0.229,0.285,0.301,0.306,0.233,0.216,0.249,0.254,0.438,0.106,0.311
"Daniel Scioli","Neutra",0.186,0.165,0.206,0.188,0.191,0.199,0.154,0.18,0.207,0.159,0.193,0.172,0.251,0.095,0.163
"Daniel Scioli","Negativa",0.541,0.574,0.509,0.547,0.557,0.514,0.535,0.488,0.536,0.612,0.536,0.552,0.274,0.799,0.526
"Daniel Scioli","No sabe",0.022,0.011,0.032,0.057,0.023,0.002,0.01,0.026,0.024,0.013,0.022,0.022,0.037,0,0
"Sergio Massa","Positiva",0.206,0.204,0.208,0.157,0.183,0.237,0.276,0.244,0.186,0.194,0.207,0.203,0.42,0.063,0.055
"Sergio Massa","Neutra",0.205,0.165,0.243,0.226,0.21,0.21,0.159,0.203,0.213,0.194,0.205,0.204,0.283,0.041,0.087
"Sergio Massa","Negativa",0.567,0.614,0.523,0.58,0.58,0.546,0.553,0.523,0.578,0.602,0.566,0.571,0.272,0.893,0.858
"Sergio Massa","No sabe",0.022,0.017,0.026,0.037,0.027,0.007,0.012,0.03,0.023,0.01,0.022,0.022,0.025,0.003,0
"Javier Milei","Positiva",0.204,0.261,0.149,0.322,0.219,0.14,0.112,0.21,0.209,0.186,0.201,0.21,0.106,0.26,0.148
"Javier Milei","Neutra",0.212,0.195,0.229,0.19,0.187,0.251,0.244,0.216,0.215,0.203,0.221,0.193,0.093,0.279,0.203
"Javier Milei","Negativa",0.55,0.525,0.574,0.434,0.56,0.586,0.621,0.528,0.542,0.592,0.548,0.557,0.768,0.436,0.649
"Javier Milei","No sabe",0.034,0.019,0.048,0.054,0.034,0.023,0.023,0.046,0.034,0.019,0.03,0.04,0.033,0.025,0
"Alberto Fernandez","Positiva",0.193,0.164,0.22,0.12,0.194,0.208,0.26,0.215,0.192,0.167,0.191,0.196,0.36,0.035,0.058
"Alberto Fernandez","Neutra",0.178,0.142,0.211,0.162,0.177,0.208,0.154,0.193,0.178,0.157,0.183,0.165,0.328,0.042,0.045
"Alberto Fernandez","Negativa",0.62,0.69,0.555,0.697,0.621,0.582,0.579,0.584,0.618,0.67,0.62,0.623,0.308,0.923,0.897
"Alberto Fernandez","No sabe",0.009,0.004,0.014,0.021,0.008,0.002,0.007,0.008,0.012,0.006,0.006,0.016,0.004,0,0
"Gerardo Morales","Positiva",0.153,0.149,0.159,0.112,0.137,0.17,0.213,0.168,0.133,0.169,0.148,0.165,0.09,0.239,0.104
"Gerardo Morales","Neutra",0.287,0.263,0.309,0.306,0.288,0.259,0.301,0.29,0.283,0.289,0.298,0.26,0.213,0.306,0.531
"Gerardo Morales","Negativa",0.457,0.513,0.403,0.419,0.473,0.488,0.418,0.402,0.48,0.484,0.46,0.453,0.57,0.382,0.215
"Gerardo Morales","No sabe",0.103,0.075,0.129,0.163,0.102,0.083,0.068,0.14,0.104,0.058,0.094,0.122,0.127,0.073,0.15
