"var","categoria","Alta","Media","Baja"
"P04","Tengo trabajo estable",0.431,0.421,0.458
"P04","Realizo changas o trabajos de vez en cuando",0.202,0.266,0.19
"P04","No tengo trabajo",0.187,0.175,0.178
"P04","Soy jubilado o pensionado",0.18,0.138,0.174
"P05","Derecha",0.178,0.137,0.307
"P05","Centro derecha",0.095,0.156,0.229
"P05","Centro izquierda",0.272,0.174,0.101
"P05","Izquierda",0.131,0.094,0.048
"P05","No sabe",0.324,0.439,0.315
"P07","Estoy de acuerdo",0.481,0.405,0.277
"P07","Debería realizarse solo en caso de violación o riesgo de vida de la madre",0.336,0.4,0.482
"P07","No estoy de acuerdo",0.144,0.122,0.174
"P07","No sabe",0.039,0.073,0.067
"P08","Del Frente de Todos y el peronismo",0.521,0.287,0.193
"P08","De Cambiemos",0.208,0.302,0.393
"P08","De los Liberales libertarios",0.073,0.105,0.207
"P08","De la Izquierda",0.041,0.052,0.03
"P08","No sabe",0.157,0.254,0.177
"P10","A Alberto Fernández",0.199,0.19,0.218
"P10","A Sergio Massa",0.141,0.135,0.179
"P10","A algún candidato del peronismo",0.143,0.273,0.276
"P10","A algún candidato del kirchnerismo",0.517,0.402,0.327
"P11","A Alberto Fernández",0.088,0.13,0.172
"P11","A Sergio Massa",0.078,0.085,0.15
"P11","A algún candidato del peronismo",0.107,0.27,0.245
"P11","A Cristina Fernández de Kirchner",0.727,0.515,0.433
"P12","A Horacio Rodriguez Larreta",0.276,0.271,0.202
"P12","A Mauricio Macri",0.355,0.287,0.325
"P12","A Patricia Bullrich",0.174,0.251,0.336
"P12","A Facundo Manes",0.105,0.073,0.086
"P12","A Gerardo Morales",0.09,0.118,0.051
"P13","Seguro lo votaria",0.253,0.187,0.173
"P13","Quizás lo votaría",0.28,0.289,0.28
"P13","Nunca lo votaría",0.467,0.524,0.547
"P14","Lo votaría",0.129,0.16,0.299
"P14","Puede que lo vote",0.094,0.162,0.255
"P14","Nunca lo votaría",0.73,0.573,0.379
"P14","No sabe",0.047,0.105,0.067
"P15","Lo votaría",0.12,0.085,0.073
"P15","Puede que lo vote",0.314,0.175,0.093
"P15","Nunca lo votaría",0.457,0.625,0.769
"P15","No sabe",0.109,0.115,0.065
"P16","Lo votaría",0.171,0.104,0.068
"P16","Puede que lo vote",0.272,0.186,0.082
"P16","Nunca lo votaría",0.451,0.59,0.781
"P16","No sabe",0.106,0.12,0.069
"P17","La votaría",0.485,0.225,0.127
"P17","Puede que la vote",0.073,0.102,0.055
"P17","Nunca la votaría",0.392,0.589,0.777
"P17","No sabe",0.05,0.084,0.041
"P18","Lo votaría",0.11,0.189,0.246
"P18","Puede que lo vote",0.152,0.241,0.284
"P18","Nunca lo votaría",0.659,0.44,0.389
"P18","No sabe",0.079,0.13,0.081
"P19","Lo votaría",0.085,0.106,0.139
"P19","Puede que lo vote",0.151,0.228,0.25
"P19","Nunca lo votaría",0.612,0.485,0.486
"P19","No sabe",0.152,0.181,0.125
"P20","La votaría",0.133,0.202,0.394
"P20","Puede que la vote",0.104,0.185,0.228
"P20","Nunca la votaría",0.706,0.49,0.325
"P20","No sabe",0.057,0.123,0.053
"P21","Lo votaría",0.091,0.102,0.22
"P21","Puede que lo vote",0.113,0.167,0.172
"P21","Nunca lo votaría",0.729,0.608,0.519
"P21","No sabe",0.067,0.123,0.089
"P22","La votaría",0.117,0.152,0.199
"P22","Puede que la vote",0.105,0.201,0.26
"P22","Nunca la votaría",0.702,0.505,0.428
"P22","No sabe",0.076,0.142,0.113
"P23","Lo votaría",0.146,0.091,0.07
"P23","Puede que lo vote",0.275,0.186,0.063
"P23","Nunca lo votaría",0.454,0.622,0.8
"P23","No sabe",0.125,0.101,0.067
"P24","Lo votaría",0.054,0.054,0.067
"P24","Puede que lo vote",0.101,0.164,0.169
"P24","Nunca lo votaría",0.694,0.543,0.582
"P24","No sabe",0.151,0.239,0.182
"P25","Mauricio Macri presidente – María Eugenia Vidal vice por Cambiemos",0.145,0.181,0.289
"P25","Horacio Rodríguez Larreta presidente - Gerardo Morales vice por Cambiemos",0.078,0.173,0.168
"P25","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.08,0.065,0.031
"P25","Cristina Fernández de Kirchner presidenta  - Sergio Massa vice por el Frente de Todos",0.483,0.222,0.117
"P25","Javier Milei presidente - José Luis Espert vice por los liberales",0.092,0.149,0.223
"P25","Otros candidatos",0.122,0.21,0.172
"P29","Cristina Fernández de Kirchner – Sergio Massa por el Frente de Todos",0.464,0.285,0.151
"P29","Mauricio Macri – María Eugenia Vidal por Cambiemos",0.191,0.258,0.369
"P29","Javier Milei – José Luis Espert por los liberales",0.105,0.156,0.242
"P29","Nicolás del Caño – Myriam Bregman por la izquierda",0.08,0.056,0.043
"P29","Otro candidato",0.16,0.245,0.195
"P31","Horacio Rodríguez Larreta presidente – Gerardo Morales vice por Cambiemos",0.16,0.293,0.349
"P31","Alberto Fernández presidente – Daniel Scioli vice por el Frente de Todos",0.376,0.215,0.095
"P31","Javier Milei presidente – José Luis Espert por los liberales",0.109,0.152,0.273
"P31","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.076,0.051,0.018
"P31","Otro candidato",0.279,0.289,0.265
"P33","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.407,0.228,0.103
"P33","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.186,0.316,0.468
"P33","Javier Milei presidente – José Luis Espert vice por los liberales",0.104,0.134,0.24
"P33","Nicolás del Caño presidente – Myriam Bregman vice por la izquierda",0.059,0.043,0.009
"P33","Otro candidato",0.244,0.279,0.18
"P35","Cristina Fernández de Kirchner presidenta – Sergio Massa vice",0.581,0.311,0.16
"P35","Mauricio Macri presidente – María Eugenia Vidal vice",0.237,0.365,0.593
"P35","No sabe",0.182,0.324,0.247
"P36","Alberto Fernández presidente – Daniel Scioli vice",0.498,0.254,0.12
"P36","Horacio Rodríguez Larreta presidente – Gerardo Morales vice",0.242,0.406,0.514
"P36","No sabe",0.26,0.34,0.366
"P37","Sergio Massa presidente – Wado de Pedro vice por el Frente de Todos",0.49,0.261,0.109
"P37","Patricia Bullrich presidenta – María Eugenia Vidal vice por Cambiemos",0.237,0.383,0.651
"P37","No sabe",0.273,0.356,0.24
"P38","Muy buena",0.105,0.053,0.03
"P38","Buena",0.266,0.122,0.125
"P38","Ni buena ni mala",0.243,0.207,0.084
"P38","Mala",0.111,0.148,0.08
"P38","Muy mala",0.268,0.46,0.666
"P38","No sabe",0.007,0.01,0.015
"P39","Muy buena",0.076,0.043,0.032
"P39","Buena",0.208,0.13,0.076
"P39","Ni buena ni mala",0.281,0.158,0.079
"P39","Mala",0.098,0.167,0.089
"P39","Muy mala",0.335,0.49,0.709
"P39","No sabe",0.002,0.012,0.015
"P40","Muy buena",0.401,0.168,0.111
"P40","Buena",0.114,0.1,0.026
"P40","Ni buena ni mala",0.092,0.084,0.027
"P40","Mala",0.043,0.072,0.037
"P40","Muy mala",0.339,0.561,0.781
"P40","No sabe",0.011,0.015,0.018
"P41","Muy buena",0.107,0.106,0.196
"P41","Buena",0.093,0.128,0.204
"P41","Ni buena ni mala",0.092,0.172,0.212
"P41","Mala",0.174,0.183,0.152
"P41","Muy mala",0.523,0.4,0.212
"P41","No sabe",0.011,0.011,0.024
"P42","Muy buena",0.095,0.144,0.189
"P42","Buena",0.147,0.231,0.267
"P42","Ni buena ni mala",0.136,0.276,0.217
"P42","Mala",0.171,0.079,0.129
"P42","Muy mala",0.425,0.256,0.171
"P42","No sabe",0.026,0.014,0.027
"P43","Muy buena",0.095,0.049,0.039
"P43","Buena",0.202,0.155,0.066
"P43","Ni buena ni mala",0.293,0.224,0.089
