"clase","Todos","Hombres","Mujeres","16-29 años","30-49 años","50-64 años","65+ años","Hasta primario completo","Secundario completo/incompleto","Terciario completo/incompleto","652","652A","653","654","655","655A","opciones"
"Muy buena",0.128,0.166,0.082,0.04,0.157,0.152,0.089,0.172,0.079,0.121,0.193,0.143,0.047,0.132,0.101,0.103,6
"Buena",0.124,0.099,0.154,0,0.1,0.183,0.218,0.11,0.144,0.12,0.122,0.131,0.112,0.087,0.118,0.162,6
"Ni buena ni mala",0.294,0.26,0.334,0.338,0.277,0.245,0.383,0.288,0.299,0.298,0.223,0.269,0.293,0.352,0.256,0.399,6
"Mala",0.219,0.225,0.212,0.177,0.233,0.197,0.264,0.189,0.274,0.191,0.176,0.265,0.248,0.146,0.201,0.223,6
"Muy mala",0.177,0.169,0.186,0.323,0.201,0.131,0.037,0.21,0.139,0.175,0.187,0.148,0.155,0.262,0.255,0.088,6
"No sabe",0.058,0.081,0.032,0.122,0.032,0.092,0.009,0.031,0.065,0.095,0.099,0.044,0.145,0.021,0.069,0.025,6
"Positiva",0.252,0.265,0.236,0.04,0.257,0.335,0.307,0.282,0.223,0.241,0.315,0.274,0.159,0.219,0.219,0.265,4
"Neutra",0.294,0.26,0.334,0.338,0.277,0.245,0.383,0.288,0.299,0.298,0.223,0.269,0.293,0.352,0.256,0.399,4
"Negativa",0.396,0.394,0.398,0.5,0.434,0.328,0.301,0.399,0.413,0.366,0.363,0.413,0.403,0.408,0.456,0.311,4
"No sabe",0.058,0.081,0.032,0.122,0.032,0.092,0.009,0.031,0.065,0.095,0.099,0.044,0.145,0.021,0.069,0.025,4
