"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P06","Al candidato del Frente de Todos",0.521,0.183,0.473,0.453,0.285,0.434,0.168,0.327,0.113
"P06","Al candidato de Juntos por el Cambio",0.301,0.626,0.158,0.338,0.194,0.132,0.317,0.494,0.335
"P06","Al candidato de la Izquierda",0.02,0.089,0.026,0.058,0.17,0.225,0.037,0.019,0.051
"P06","A otro candidato",0.025,0,0.115,0.101,0.266,0.163,0.24,0,0.286
"P06","No sabe",0.133,0.102,0.228,0.05,0.085,0.046,0.238,0.16,0.215
"P07","A Gustavo Menéndez",0.536,1,0.792,0.473,0.52,0.4,0.55,0.198,0.58
"P07","A Karina Menéndez",0.444,0,0.188,0.051,0.12,0.4,0.3,0.801,0.015
"P07","A Florencia Lizaraso",0,0,0.008,0.159,0.36,0,0,0.001,0.367
"P07","No sabe",0.02,0,0.012,0.317,0,0.2,0.15,0,0.038
"P08","A Gustavo Menéndez por el Frente de Todos",0.495,0,0.442,0.181,0.219,0.317,0.124,0.289,0.041
"P08","A Raúl Othacehé por el Frente de Todos",0.053,0.076,0.143,0.169,0.348,0.163,0.168,0.081,0.208
"P08","A David Zencich por Juntos por el Cambio",0.274,0.309,0.113,0.234,0.163,0.156,0.214,0.312,0.2
"P08","A Pablo Cocuzza por Juntos por el Cambio",0.037,0.452,0.047,0.116,0.015,0.132,0.007,0.122,0.104
"P08","Al candidato de Javier Milei por La Libertad Avanza",0.122,0.063,0.146,0.151,0,0.046,0.1,0.071,0.259
"P08","Al candidato del Frente de Izquierda",0,0.026,0.08,0.037,0,0.145,0.159,0.036,0.06
"P08","En blanco",0,0,0.017,0.034,0.17,0,0,0,0.019
"P08","No sabe",0.019,0.074,0.012,0.078,0.085,0.041,0.228,0.089,0.109
"P10","A Gustavo Menéndez por el Frente de Todos",0.615,0.042,0.425,0.288,0.182,0.433,0.089,0.392,0.062
"P10","A Raúl Othacehé por un partido vecinal",0.043,0.054,0.083,0.086,0.33,0,0.06,0.144,0.203
"P10","A David Zencich por Juntos por el Cambio",0.155,0.733,0.187,0.236,0.274,0.105,0.202,0.207,0.182
"P10","A Pablo Cocuzza por Juntos por el Cambio",0.047,0.05,0.105,0.1,0,0.19,0.116,0.121,0.075
"P10","Al candidato de Javier Milei por La Libertad Avanza",0.074,0.063,0.147,0.093,0,0,0.099,0.117,0.285
"P10","Al candidato del Frente de Izquierda",0,0.026,0.026,0.063,0.17,0.185,0.185,0.019,0.016
"P10","En blanco",0,0,0.014,0.038,0,0,0.018,0,0.042
"P10","No sabe",0.066,0.032,0.013,0.096,0.044,0.087,0.231,0,0.135
"P12","Lo votaría",0.53,0.068,0.471,0.245,0.302,0.433,0.116,0.175,0.03
"P12","Puede que lo vote",0.075,0.233,0.119,0.089,0.023,0.146,0.471,0.019,0.098
"P12","Nunca lo votaría",0.3,0.639,0.402,0.484,0.409,0.335,0.382,0.699,0.746
"P12","No sabe",0.095,0.06,0.008,0.182,0.266,0.086,0.031,0.107,0.126
"P13","Lo votaría",0.34,0.028,0.277,0.119,0.345,0,0.029,0.142,0.218
"P13","Puede que lo vote",0.139,0.093,0.073,0.181,0.05,0.196,0.282,0.142,0.11
"P13","Nunca lo votaría",0.435,0.847,0.642,0.561,0.52,0.658,0.467,0.639,0.579
"P13","No sabe",0.086,0.032,0.008,0.139,0.085,0.146,0.222,0.077,0.093
"P14","Lo votaría",0.317,0.125,0.149,0.241,0.068,0,0.139,0.283,0.232
"P14","Puede que lo vote",0.147,0.292,0.096,0.19,0.372,0.106,0.229,0.21,0.19
"P14","Nunca lo votaría",0.342,0.418,0.7,0.406,0.499,0.706,0.424,0.288,0.38
"P14","No sabe",0.194,0.165,0.055,0.163,0.061,0.188,0.208,0.219,0.198
"P15","Lo votaría",0.256,0.108,0.03,0.111,0.021,0.19,0.213,0.027,0.201
"P15","Puede que lo vote",0.268,0.633,0.207,0.197,0.281,0.106,0.055,0.236,0.215
"P15","Nunca lo votaría",0.207,0.046,0.703,0.488,0.593,0.577,0.51,0.413,0.381
"P15","No sabe",0.269,0.213,0.06,0.204,0.105,0.127,0.222,0.324,0.203
"P16","Lo votaría",0.382,0.073,0.107,0.119,0.122,0.312,0.132,0.231,0.041
"P16","Puede que lo vote",0.038,0.203,0.21,0.186,0.454,0.161,0.325,0.131,0.036
"P16","Nunca lo votaría",0.299,0.648,0.654,0.467,0.404,0.354,0.508,0.58,0.846
"P16","No sabe",0.281,0.076,0.029,0.228,0.02,0.173,0.035,0.058,0.077
"P17","Lo votaría",0.205,0,0.063,0.027,0.26,0,0.068,0.077,0.08
"P17","Puede que lo vote",0.148,0.225,0.081,0.21,0.256,0.121,0.172,0.121,0.052
"P17","Nunca lo votaría",0.373,0.652,0.724,0.401,0.388,0.706,0.479,0.607,0.703
"P17","No sabe",0.274,0.123,0.132,0.362,0.096,0.173,0.281,0.195,0.165
"P18","Lo votaría",0.166,0,0.012,0,0,0,0.097,0,0.028
"P18","Puede que lo vote",0.347,0.272,0.106,0.096,0.21,0.041,0.029,0.121,0.073
"P18","Nunca lo votaría",0.268,0.563,0.693,0.417,0.446,0.543,0.565,0.553,0.679
"P18","No sabe",0.219,0.165,0.189,0.487,0.344,0.416,0.309,0.326,0.22
"P19","Lo votaría",0.379,0,0.018,0.008,0.081,0,0.118,0.028,0.074
"P19","Puede que lo vote",0.168,0.511,0.125,0.148,0.21,0.041,0.083,0.23,0.081
"P19","Nunca lo votaría",0.244,0.071,0.767,0.342,0.415,0.623,0.384,0.382,0.644
"P19","No sabe",0.209,0.418,0.09,0.502,0.294,0.336,0.415,0.36,0.201
"P21","La seguridad",0.819,0.382,0.269,0.339,0.365,0.385,0.562,0.453,0.415
"P21","El tránsito",0.008,0.025,0.045,0.044,0,0.067,0,0,0.01
"P21","El arreglo de las calles",0.115,0.505,0.456,0.187,0,0,0.147,0.095,0.134
"P21","El estado de las escuelas y la educación",0.046,0.03,0,0.271,0,0,0.044,0,0.019
"P21","El sistema de salud",0,0,0.069,0.101,0.591,0.079,0.064,0.182,0.124
"P21","El deporte y la cultura",0,0,0.015,0.031,0,0.271,0.017,0,0.01
"P21","La obra pública",0,0,0.009,0.002,0.044,0,0.159,0,0.022
"P21","La luminaria",0.012,0.027,0.029,0.003,0,0.156,0.007,0.224,0.004
"P21","No sabe",0,0.031,0.108,0.022,0,0.042,0,0.046,0.262
"P22","Agua corriente y cloacas",0.714,0.182,0.476,0.548,0.528,0.582,0.462,0.799,0.478
"P22","Energía eléctrica",0.076,0.02,0.055,0.054,0,0.134,0.041,0.028,0.128
"P22","Red de gas natural",0.024,0.475,0.23,0.109,0.042,0.045,0.052,0.046,0.081
"P22","Recolección de residuos",0.052,0.323,0.113,0.145,0.344,0,0.362,0.057,0.167
"P22","Ninguno",0.134,0,0.126,0.144,0.086,0.239,0.083,0.07,0.146
"P23","Los robos",0.877,0.772,0.61,0.574,0.4,0.649,0.41,0.653,0.517
"P23","El narcotráfico",0.03,0.14,0.126,0.16,0.328,0.204,0.197,0.145,0.131
"P23","La ausencia de patrulleros y personal policial",0.021,0.025,0.119,0.156,0.161,0,0.26,0.167,0.266
"P23","Otro",0.059,0.063,0.121,0.04,0.111,0.106,0.123,0,0.056
"P23","Ninguno",0.013,0,0.024,0.07,0,0.041,0.01,0.035,0.03
"P24","Muy buena",0.096,0.442,0.317,0.119,0.048,0.04,0.01,0.169,0.056
"P24","Buena",0.062,0.08,0.131,0.156,0.135,0.396,0.208,0.228,0.062
"P24","Ni buena ni mala",0.611,0.251,0.244,0.221,0.421,0.242,0.592,0.328,0.211
"P24","Mala",0.016,0.14,0.14,0.261,0.349,0.197,0.056,0.162,0.321
"P24","Muy mala",0.026,0.087,0.153,0.152,0.047,0.044,0.115,0.095,0.302
"P24","No sabe",0.189,0,0.015,0.091,0,0.081,0.019,0.018,0.048
"P25","Muy buena",0.288,0.105,0.201,0.032,0.049,0.039,0.147,0,0.008
"P25","Buena",0.062,0.026,0.137,0.192,0.109,0.383,0.193,0.072,0.03
"P25","Ni buena ni mala",0.412,0.281,0.277,0.287,0.245,0.324,0.462,0.206,0.231
"P25","Mala",0.066,0.202,0.183,0.245,0.296,0.213,0.052,0.372,0.226
"P25","Muy mala",0.06,0.386,0.188,0.184,0.301,0,0.112,0.068,0.452
"P25","No sabe",0.112,0,0.014,0.06,0,0.041,0.034,0.282,0.053
"P26","Muy buena",0.276,0.13,0.215,0.062,0.068,0.357,0.02,0.079,0.008
"P26","Buena",0.019,0.026,0.168,0.159,0.151,0,0.071,0.228,0.018
"P26","Ni buena ni mala",0.459,0.199,0.261,0.231,0.099,0.263,0.435,0.037,0.128
"P26","Mala",0.096,0.103,0.087,0.261,0.216,0.339,0.204,0.332,0.256
