"var","categoria","La seguridad","El tránsito","El arreglo de las calles","El estado de las escuelas y la educación","El sistema de salud","El deporte y la cultura","La obra pública","La luminaria","No sabe"
"P06","Al candidato del Frente de Todos",0.219,0.644,0.349,0.637,0.233,0.228,0.418,0.606,0.27
"P06","Al candidato de Juntos por el Cambio",0.39,0.022,0.306,0.222,0.335,0.413,0.023,0.205,0.201
"P06","Al candidato de la Izquierda",0.058,0.106,0.036,0.038,0.041,0,0.047,0,0.094
"P06","A otro candidato",0.171,0.228,0.204,0.035,0.2,0.157,0.423,0.038,0.085
"P06","No sabe",0.162,0,0.105,0.068,0.191,0.202,0.089,0.151,0.35
"P07","A Gustavo Menéndez",0.706,0.052,0.278,0.545,0.901,0,0.6,0.731,0.546
"P07","A Karina Menéndez",0.268,0.052,0.639,0.013,0.025,0.2,0,0.241,0.034
"P07","A Florencia Lizaraso",0.011,0.87,0.011,0.007,0.049,0,0,0,0.403
"P07","No sabe",0.015,0.026,0.072,0.435,0.025,0.8,0.4,0.028,0.017
"P08","A Gustavo Menéndez por el Frente de Todos",0.164,0.34,0.267,0.247,0.141,0.097,0.182,0.571,0.147
"P08","A Raúl Othacehé por el Frente de Todos",0.102,0.271,0.141,0.176,0.306,0.218,0,0.215,0.336
"P08","A David Zencich por Juntos por el Cambio",0.269,0,0.208,0.055,0.204,0.189,0.047,0.214,0.182
"P08","A Pablo Cocuzza por Juntos por el Cambio",0.094,0.022,0.093,0.084,0.098,0.252,0.292,0,0.026
"P08","Al candidato de Javier Milei por La Libertad Avanza",0.152,0.228,0.21,0.347,0.11,0.032,0.03,0,0.092
"P08","Al candidato del Frente de Izquierda",0.049,0.106,0.027,0.023,0.093,0,0.367,0,0.108
"P08","En blanco",0.04,0,0.014,0,0.027,0,0,0,0.005
"P08","No sabe",0.13,0.033,0.04,0.068,0.021,0.212,0.082,0,0.104
"P10","A Gustavo Menéndez por el Frente de Todos",0.233,0.34,0.29,0.273,0.145,0.097,0.147,0.608,0.216
"P10","A Raúl Othacehé por un partido vecinal",0.074,0.271,0.056,0.056,0.282,0.029,0,0.166,0.345
"P10","A David Zencich por Juntos por el Cambio",0.236,0,0.267,0.185,0.219,0.295,0.035,0.226,0.112
"P10","A Pablo Cocuzza por Juntos por el Cambio",0.107,0.022,0.074,0.152,0.088,0.204,0,0,0.024
"P10","Al candidato de Javier Milei por La Libertad Avanza",0.148,0.228,0.228,0.159,0.097,0,0,0,0.169
"P10","Al candidato del Frente de Izquierda",0.056,0.106,0.031,0.038,0.038,0,0.415,0,0.023
"P10","En blanco",0.038,0,0.014,0,0.074,0,0,0,0
"P10","No sabe",0.108,0.033,0.04,0.137,0.057,0.375,0.403,0,0.111
"P12","Lo votaría",0.188,0.366,0.277,0.348,0.141,0.132,0.147,0.324,0.181
"P12","Puede que lo vote",0.14,0.111,0.107,0.089,0.151,0.234,0.425,0.079,0.096
"P12","Nunca lo votaría",0.534,0.278,0.589,0.495,0.546,0.464,0.136,0.526,0.654
"P12","No sabe",0.138,0.245,0.027,0.068,0.162,0.17,0.292,0.071,0.069
"P13","Lo votaría",0.191,0.161,0.162,0.117,0.305,0.061,0,0.299,0.219
"P13","Puede que lo vote",0.098,0.245,0.225,0.184,0.141,0.131,0.367,0.239,0.018
