"var","categoria","A Gustavo Menéndez por el Frente de Todos","A Raúl Othacehé por el Frente de Todos","A David Zencich por Juntos por el Cambio","A Pablo Cocuzza por Juntos por el Cambio","Al candidato de Javier Milei por La Libertad Avanza","Al candidato del Frente de Izquierda","En blanco","No sabe"
"P06","Al candidato del Frente de Todos",0.795,0.251,0.196,0.128,0.038,0.17,0,0.202
"P06","Al candidato de Juntos por el Cambio",0.077,0.32,0.708,0.61,0.162,0,0.025,0.034
"P06","Al candidato de la Izquierda",0.01,0,0.069,0.009,0.092,0.466,0.18,0.104
"P06","A otro candidato",0.106,0.219,0.003,0.233,0.427,0.249,0.392,0.111
"P06","No sabe",0.012,0.21,0.024,0.02,0.281,0.115,0.403,0.549
"P07","A Gustavo Menéndez",0.666,0.873,0.23,0.211,0,0.06,0,0.53
"P07","A Karina Menéndez",0.258,0.089,0.47,0.52,0,0.203,0,0
"P07","A Florencia Lizaraso",0.031,0.026,0.3,0,0,0.601,0,0
"P07","No sabe",0.045,0.012,0,0.269,1,0.136,0,0.47
"P10","A Gustavo Menéndez por el Frente de Todos",0.847,0.12,0.252,0.078,0.053,0.006,0,0.016
"P10","A Raúl Othacehé por un partido vecinal",0,0.488,0.021,0.055,0.028,0.079,0,0.046
"P10","A David Zencich por Juntos por el Cambio",0.133,0.065,0.668,0.357,0.114,0,0,0
"P10","A Pablo Cocuzza por Juntos por el Cambio",0.009,0.244,0.027,0.407,0,0.121,0.018,0.009
"P10","Al candidato de Javier Milei por La Libertad Avanza",0,0.057,0.016,0.044,0.718,0.158,0,0
"P10","Al candidato del Frente de Izquierda",0.007,0,0.016,0,0.018,0.636,0.199,0
"P10","En blanco",0,0.02,0,0.005,0,0,0.63,0.058
"P10","No sabe",0.004,0.006,0,0.054,0.069,0,0.153,0.871
"P12","Lo votaría",0.78,0.102,0.161,0.278,0.05,0.059,0,0.029
"P12","Puede que lo vote",0.187,0.174,0.079,0.125,0.077,0.258,0,0.237
"P12","Nunca lo votaría",0.022,0.596,0.716,0.469,0.725,0.677,0.809,0.366
"P12","No sabe",0.011,0.128,0.044,0.128,0.148,0.006,0.191,0.368
"P13","Lo votaría",0.283,0.526,0.145,0.105,0.154,0,0.029,0.048
